smiles,n_measurements,n_sources,p_herg_median,p_herg_best,herg_value_nm_median,herg_value_nm_best,endpoints,sources,compound_ids,target_names,document_years,potency_class,active_100nM,active_1uM,herg_blocker_label,herg_label_policy
O=C(N[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1cccc2cc[nH]c12,1,1,10.67778070526608,10.67778070526608,0.021,0.021,IC50,ChEMBL,CHEMBL4595328,hERG / KCNH2,2023.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1cc2cccc(C(=O)N[C@H]3CC[C@@]4(O)[C@H]5Cc6ccc(O)c7c6[C@@]4(CCN5CC4CC4)[C@H]3O7)c2[nH]1.Cl,1,1,9.853871964321762,9.853871964321762,0.14,0.14,IC50,ChEMBL,CHEMBL5432371,hERG / KCNH2,2023.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)cc1,1,1,9.853871964321762,9.853871964321762,0.14,0.14,IC50,ChEMBL,CHEMBL1257821,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CCCc2ccccc2)c1,1,1,9.602059991327963,9.602059991327963,0.25,0.25,IC50,ChEMBL,CHEMBL1257820,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)s1,1,1,9.585026652029182,9.585026652029182,0.26,0.26,IC50,ChEMBL,CHEMBL1257578,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCCCCCCc1cccc(CCCCCCC)[n+]1C.O=S(=O)([O-])C(F)(F)F,2,1,9.454694646085796,9.55284196865778,0.36,0.28,Kd;Ki,ChEMBL,CHEMBL3590463,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CCc2ccccc2)c1,1,1,9.42021640338319,9.42021640338319,0.38,0.38,IC50,ChEMBL,CHEMBL1257698,hERG / KCNH2,2010.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CS(=O)(=O)Nc1ccc(CCN(CCOc2ccc(NS(C)(=O)=O)cc2)c2ccc([N+](=O)[O-])c3nonc23)cc1,1,1,9.4089353929735,9.4089353929735,0.39,0.39,Ki,ChEMBL,CHEMBL227134,hERG / KCNH2,2007.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O=C1COc2ccc(CNC34CCC(CCc5ccnc6cc(C(F)(F)F)cnc56)(CC3)OC4)nc2N1,1,1,9.4089353929735,9.4089353929735,0.39,0.39,IC50,ChEMBL,CHEMBL3422978,hERG / KCNH2,2015.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COC1OC2(CCN(Cc3ccccc3)CC2)c2cnn(-c3ccccc3)c21,1,1,9.387216143280265,9.387216143280265,0.41,0.41,IC50,ChEMBL,CHEMBL410832,hERG / KCNH2,2008.0,high_potency_<=100nM,True,True,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
