smiles,n_measurements,n_sources,p_activity_median,p_activity_best,value_nm_median,value_nm_best,endpoints,sources,compound_ids,target_names,document_years,potency_class,active_100nM,active_1uM
B(CNS(=O)(=O)C1=C(C=C(C=C1)C2=NNN=N2)C(F)(F)F)(O)O,1,1,10.301029995663981,10.301029995663981,0.05,0.05,Ki,PubChem,71549453.0,,,high_potency_<=100nM,True,True
CCN(C(C)C)C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(CN(C2)[C@H](CCCNCCOC)C(C)C)C1,2,1,10.002182402701225,10.045757490560675,0.1,0.09,IC50,BindingDB,689587,Menin,,high_potency_<=100nM,True,True
CC(C)N(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@H]3CC[C@H](NS(C)(=O)=O)CC3)CC2)C1)C(C)C,1,1,9.98296666070122,9.98296666070122,0.104,0.104,Ki,ChEMBL,CHEMBL5267644,Menin,2024,high_potency_<=100nM,True,True
CCN(C(C)C)C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(CN(C2)[C@H](CCCN(C)CCOC)C(C)C)C1,2,1,9.8767507096021,10.008773924307505,0.139,0.098,IC50,BindingDB,689589;689590,Menin,,high_potency_<=100nM,True,True
CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2(F)CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,1,1,9.0,9.0,1.0,1.0,IC50,ChEMBL,CHEMBL6053681,Menin,2021,high_potency_<=100nM,True,True
CCc1nccn1C[C@]([C@H]1CCC[C@@H]1NC(=O)OC)(C1CCN(CC2(F)CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN(C)C)CC1)c1cccc(F)c1,1,1,9.0,9.0,1.0,1.0,IC50,BindingDB,506357,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CC(F)(F)C2)CC1)c1cccc(F)c1,1,1,9.0,9.0,1.0,1.0,IC50,BindingDB,50511905,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,1,1,9.0,9.0,1.0,1.0,IC50,ChEMBL,CHEMBL4530300,Menin,2020,high_potency_<=100nM,True,True
O=c1cccc2n1[C@@H]1C[C@H](C2)CN(CC(O)CCCc2ccccc2)C1,1,1,9.0,9.0,1.0,1.0,IC50,ChEMBL,CHEMBL4211366,Menin,2018,high_potency_<=100nM,True,True
OC(CCCc1ccccc1)CN1C[C@@H]2C[C@H](C1)n1c(C2)cccc1=O,1,1,9.0,9.0,1.0,1.0,IC50,BindingDB,50454121,Menin,,high_potency_<=100nM,True,True
