PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,336875632,90455046,CC1=C(C=CC2=C1C=C(N2)C#N)CN3CCC(CC3)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,T1/2,=,0.2333,hr
2,404672755,117636594,CCC(=O)N1CCN(CC1)CCN2C3=C(C=C2C#N)C(=C(C=C3)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F)C,Unspecified,,,,T1/2,=,0.2167,hr
3,404672781,117636582,CC1=C(C=CC2=C1C=C(N2CCC3CCN(CC3)S(=O)(=O)C)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Unspecified,,,,T1/2,>,1,hr
4,404673311,130375985,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)S(=O)(=O)C(F)(F)F)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Unspecified,,,,T1/2,=,0.25,hr
5,404674036,118886397,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C(=O)CCC4CCCC4)C#N)CN5CCC(CC5)NC6=C7C=C(SC7=NC=N6)CC(F)(F)F,Unspecified,,,,T1/2,=,0.1667,hr
6,404674491,117636547,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)S(=O)(=O)NC)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Unspecified,,,,T1/2,=,0.4,hr
7,404674530,145964987,CC1=C(C=CC2=C1C=C(N2CCC3CCN(CC3)C=O)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Unspecified,,,,T1/2,=,0.4167,hr
8,404674551,130376007,CC1=C(C=CC2=C1C=C(N2C[C@H]3CNC(=O)CO3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Unspecified,,,,T1/2,>,1,hr
9,404675319,130375983,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C(=O)CF)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Unspecified,,,,T1/2,=,0.095,hr
10,404676680,130375988,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C(=O)C(F)F)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Unspecified,,,,T1/2,=,0.08167,hr
11,404677328,117636542,CC1=C(C=CC2=C1C=C(N2CCC3CCNCC3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Unspecified,,,,T1/2,>,1,hr
12,404679100,117636546,CC1=C(C=CC2=C1C=C(N2CCN3CCOCC3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Unspecified,,,,T1/2,<,0.05,hr
13,404680446,117636548,CCS(=O)(=O)N1CCN(CC1)CCN2C3=C(C=C2C#N)C(=C(C=C3)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F)C,Unspecified,,,,T1/2,=,0.3167,hr
14,404681457,118886386,CC1=C(C=CC2=C1C=C(N2CC3CNC(=O)CO3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Unspecified,,,,T1/2,>,1,hr
15,404681745,117636540,CC1=C(C=CC2=C1C=C(N2CC3=CC=NN3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Unspecified,,,,T1/2,=,0.35,hr
16,404682143,130375987,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C(=O)C(F)(F)F)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Unspecified,,,,T1/2,=,0.2333,hr
17,404686863,130376005,CC1=C(C=CC2=C1C=C(N2C[C@@H]3CNC(=O)CO3)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Unspecified,,,,T1/2,=,0.9833,hr
18,404689729,117636565,CC1=C(C=CC2=C1C=C(N2CCN3CCN(CC3)C)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC=N5)CC(F)(F)F,Unspecified,,,,T1/2,=,0.1533,hr
