PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,PubChem Standard Value,IC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,MICROMOLAR,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,
1,517716872,132212720,CC(C)C1=NC=NC=C1C2=C(C=CC(=C2)F)OC3=CN=CN=C3N4CC5(C4)CN(C5)CC6CCC7(CC6)OCCO7,Active,,,,IC50,0.156,156,Q03164,BDBM725692,Histone-lysine N-methyltransferase 2A
2,517716873,169978062,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CCC(=O)N6,Active,,,,IC50,0.0363,36.3,Q03164,BDBM725693,Histone-lysine N-methyltransferase 2A
3,517716874,176456268,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CC6CCC5CC67CCC(=O)C7,Active,,,,IC50,0.024,24,Q03164,BDBM725694,Histone-lysine N-methyltransferase 2A
4,517716875,176456269,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC6CCC5CC67CCC(=O)C7,Active,,,,IC50,0.029,29,Q03164,BDBM725695,Histone-lysine N-methyltransferase 2A
5,517716876,176456270,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@H]5CC6CCC5CC67CCC(=O)C7,Active,,,,IC50,0.113,113,Q03164,BDBM725696,Histone-lysine N-methyltransferase 2A
6,517716877,176456268,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CC6CCC5CC67CCC(=O)C7,Active,,,,IC50,0.029,29,Q03164,BDBM725697,Histone-lysine N-methyltransferase 2A
7,517716878,176456269,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC6CCC5CC67CCC(=O)C7,Active,,,,IC50,0.0121,12.1,Q03164,BDBM725698,Histone-lysine N-methyltransferase 2A
8,517716879,176456270,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@H]5CC6CCC5CC67CCC(=O)C7,Active,,,,IC50,0.0607,60.7,Q03164,BDBM725699,Histone-lysine N-methyltransferase 2A
9,517716880,176456268,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CC6CCC5CC67CCC(=O)C7,Active,,,,IC50,0.034,34,Q03164,BDBM725700,Histone-lysine N-methyltransferase 2A
10,517716881,169978136,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CCC(=O)N6,Active,,,,IC50,0.0621,62.1,Q03164,BDBM725701,Histone-lysine N-methyltransferase 2A
11,517716882,176456271,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CCC(=O)C6,Active,,,,IC50,0.0672,67.2,Q03164,BDBM725702,Histone-lysine N-methyltransferase 2A
12,517716883,176456272,CC(C)N(C1CC1)C(=O)C2=C(C=CC(=C2)F)OC3=C(N=CN=N3)N4CC5(C4)CCN(CC5)CC6CCC7(CC6)CCC(=O)C7,Active,,,,IC50,0.167,167,Q03164,BDBM725703,Histone-lysine N-methyltransferase 2A
13,517716884,176456273,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC6CCC5CC67CCC(=O)C7,Active,,,,IC50,0.0213,21.3,Q03164,BDBM725704,Histone-lysine N-methyltransferase 2A
14,517716885,176456274,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@H]5CC6CCC5CC67CCC(=O)C7,Active,,,,IC50,0.0249,24.9,Q03164,BDBM725705,Histone-lysine N-methyltransferase 2A
15,517716886,176456275,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC6CC[C@H]5CC67CCC(=O)C7,Active,,,,IC50,0.177,177,Q03164,BDBM725706,Histone-lysine N-methyltransferase 2A
16,517716887,176456276,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC6CC[C@@H]5CC67CCC(=O)C7,Active,,,,IC50,0.0334,33.4,Q03164,BDBM725707,Histone-lysine N-methyltransferase 2A
17,517716888,176456277,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@H]5CC6CC[C@H]5CC67CCC(=O)C7,Active,,,,IC50,0.0165,16.5,Q03164,BDBM725708,Histone-lysine N-methyltransferase 2A
18,517716889,176456278,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@H]5CC6CC[C@@H]5CC67CCC(=O)C7,Active,,,,IC50,0.142,142,Q03164,BDBM725709,Histone-lysine N-methyltransferase 2A
19,517716890,176456279,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)C[C@@H]5CC6CCC5CC67CCC(=O)C7,Active,,,,IC50,0.103,103,Q03164,BDBM725710,Histone-lysine N-methyltransferase 2A
20,517716891,176456280,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)C[C@@H]5CC6CC[C@H]5CC67CCC(=O)C7,Active,,,,IC50,0.0492,49.2,Q03164,BDBM725711,Histone-lysine N-methyltransferase 2A
21,517716892,176456281,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CC6CCC5CC67CCC(=O)C7,Active,,,,IC50,0.0909,90.9,Q03164,BDBM725712,Histone-lysine N-methyltransferase 2A
22,517716893,176456282,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)C[C@@H]5CC6CCC5CC67CCC(=O)C7,Active,,,,IC50,0.0347,34.7,Q03164,BDBM725713,Histone-lysine N-methyltransferase 2A
23,517716894,176456283,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)C[C@H]5CC6CCC5CC67CCC(=O)C7,Active,,,,IC50,0.142,142,Q03164,BDBM725714,Histone-lysine N-methyltransferase 2A
24,517716895,176456284,CC(C)N(C1CC1)C(=O)C2=C(C=CC(=C2)F)OC3=C(N=CN=N3)N4CC5(C4)CCN(CC5)C[C@H]6CC7CCC6CC78CCC(=O)C8,Active,,,,IC50,0.163,163,Q03164,BDBM725715,Histone-lysine N-methyltransferase 2A
25,517716896,176456285,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(=O)C(C6)(COC)COC,Active,,,,IC50,0.005,5,Q03164,BDBM725716,Histone-lysine N-methyltransferase 2A
26,517716897,176456286,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(=O)C(C6)(COC)COC,Active,,,,IC50,0.0063,6.3,Q03164,BDBM725717,Histone-lysine N-methyltransferase 2A
27,517716898,176456286,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(=O)C(C6)(COC)COC,Active,,,,IC50,0.0033,3.3,Q03164,BDBM725718,Histone-lysine N-methyltransferase 2A
28,517716899,169978574,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(C(=O)N6)(COC)COC,Active,,,,IC50,0.006,6,Q03164,BDBM725719,Histone-lysine N-methyltransferase 2A
29,517716900,176456287,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(=O)C(C6)(C)C,Active,,,,IC50,0.0098,9.8,Q03164,BDBM725720,Histone-lysine N-methyltransferase 2A
30,517716901,176456288,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(=O)C(C6)(C)C,Active,,,,IC50,0.0166,16.6,Q03164,BDBM725721,Histone-lysine N-methyltransferase 2A
31,517716902,176456288,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(=O)C(C6)(C)C,Active,,,,IC50,0.012,12,Q03164,BDBM725722,Histone-lysine N-methyltransferase 2A
32,517716903,176456289,CC(C)N(C1CCC1)C(=O)C2=C(C=CC(=C2)F)OC3=CN=CN=C3N4CC5(C4)CCN(CC5)CC6CCC7(CC6)CC(=O)C(C7)(C)C,Active,,,,IC50,0.0312,31.2,Q03164,BDBM725723,Histone-lysine N-methyltransferase 2A
33,517716904,176456289,CC(C)N(C1CCC1)C(=O)C2=C(C=CC(=C2)F)OC3=CN=CN=C3N4CC5(C4)CCN(CC5)CC6CCC7(CC6)CC(=O)C(C7)(C)C,Active,,,,IC50,0.0074,7.4,Q03164,BDBM725724,Histone-lysine N-methyltransferase 2A
34,517716905,176456290,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(=O)C(C6)(C)C,Active,,,,IC50,0.0163,16.3,Q03164,BDBM725725,Histone-lysine N-methyltransferase 2A
35,517716906,176456291,CC(C)N(C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(=O)C(C6)(C)C,Active,,,,IC50,0.134,134,Q03164,BDBM725726,Histone-lysine N-methyltransferase 2A
36,517716907,176456292,CC(C)N(C1CC1)C(=O)C2=C(C=CC(=C2)F)OC3=C(N=CN=N3)N4CC5(C4)CCN(CC5)CC6CCC7(CC6)CC(=O)C(C7)(C)C,Active,,,,IC50,0.033,33,Q03164,BDBM725727,Histone-lysine N-methyltransferase 2A
37,517716908,176456293,CC(C)N(C1CCC1)C(=O)C2=C(C=CC(=C2)F)OC3=C(N=CN=N3)N4CC5(C4)CCN(CC5)CC6CCC7(CC6)CC(=O)C(C7)(C)C,Active,,,,IC50,0.0393,39.3,Q03164,BDBM725728,Histone-lysine N-methyltransferase 2A
38,517716909,176456294,[2H]C([2H])([2H])C1(CC2(CCC(CC2)CN3CCC4(CC3)CN(C4)C5=C(N=NC=N5)OC6=C(C=C(C=C6)F)C(=O)N(CC)C(C)C)CC1=O)C,Active,,,,IC50,0.0084,8.4,Q03164,BDBM725729,Histone-lysine N-methyltransferase 2A
39,517716910,176456295,[2H]C([2H])([2H])C1(CC2(CCC(CC2)CN3CCC4(CC3)CN(C4)C5=C(N=NC=N5)OC6=C(C=C(C=C6)F)C(=O)N(C(C)C)C(C)C)CC1=O)C,Active,,,,IC50,0.0064,6.4,Q03164,BDBM725730,Histone-lysine N-methyltransferase 2A
40,517716911,176456296,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CCC6(CC5)C[C@H](C(=O)C6)COC,Active,,,,IC50,0.0036,3.6,Q03164,BDBM725731,Histone-lysine N-methyltransferase 2A
41,517716912,176456297,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CCC6(CC5)C[C@H](C(=O)C6)COC,Active,,,,IC50,0.0044,4.4,Q03164,BDBM725732,Histone-lysine N-methyltransferase 2A
42,517716913,176456298,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)C[C@@H](C(=O)C6)COC,Active,,,,IC50,0.0129,12.9,Q03164,BDBM725733,Histone-lysine N-methyltransferase 2A
