PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Mean Potency,IC50 Run 1,Comments Run 1,Date Run 1,Titration Run 1,IC50 Run 2,Comments Run 2,Date Run 2,Titration Run 2
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,STRING,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Mean potency from assay runs of compound.,Concentration of half-maximal inhibition of protein binding by compound.,Observations made during assay execution.,Date of assay execution.,URL for graphic image of inhibitory concentration-response by compound.,Concentration of half-maximal inhibition of protein binding by compound.,Observations made during assay execution.,Date of assay execution.,URL for graphic image of inhibitory concentration-response by compound.
RESULT_UNIT,,,,,,,,MICROMOLAR,MICROMOLAR,NONE,NONE,NONE,NONE,NONE,NONE,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,
1,103147639,49791889,C1CCC(C1)[C@](C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O,Active,99,,,0.34,0.26,,1/4/2011,http://ncgc.nih.gov/pub/ncgcvanderbilt/imgs/103147639_1.png,0.41,,1/6/2011,http://ncgc.nih.gov/pub/ncgcvanderbilt/imgs/103147639_2.png
2,103147640,49791890,C1CCC(C1)[C@@](C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O,Active,97,,,0.41,0.46,,1/4/2011,http://ncgc.nih.gov/pub/ncgcvanderbilt/imgs/103147640_1.png,0.37,,1/6/2011,http://ncgc.nih.gov/pub/ncgcvanderbilt/imgs/103147640_2.png
3,103147637,49791887,C1CCC(CC1)[C@](C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O,Active,97,,,0.57,0.45,,1/4/2011,http://ncgc.nih.gov/pub/ncgcvanderbilt/imgs/103147637_1.png,0.69,,1/6/2011,http://ncgc.nih.gov/pub/ncgcvanderbilt/imgs/103147637_2.png
4,99432383,46926632,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O,Active,95,,,0.88,1,,11/10/2010,http://ncgc.nih.gov/pub/ncgcvanderbilt/imgs/99432383_1.png,0.77,,11/12/2010,http://ncgc.nih.gov/pub/ncgcvanderbilt/imgs/99432383_2.png
5,103147638,49791888,C1CCC(CC1)[C@@](C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O,Active,94,,,1.13,1.3,,1/4/2011,http://ncgc.nih.gov/pub/ncgcvanderbilt/imgs/103147638_1.png,0.95,,1/6/2011,http://ncgc.nih.gov/pub/ncgcvanderbilt/imgs/103147638_2.png
6,99432384,46926633,C1CCC(CC1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O.C(=O)(C(F)(F)F)O,Active,92,,,1.68,2.1,,11/10/2010,http://ncgc.nih.gov/pub/ncgcvanderbilt/imgs/99432384_1.png,1.25,,11/12/2010,http://ncgc.nih.gov/pub/ncgcvanderbilt/imgs/99432384_2.png
