aid,assay_name,assay_source_id,current_source_name,source_names,activity_outcome_method,active_sid_count,total_sid_count,target_count,deposit_date,modify_date,assay_description
2061541,"Menin/MLL Homogenous Time-Resolved Fluorescence (HTRF) Assay from US Patent US20250197392: ""CRYSTALLINE FORMS OF AN INHIBITOR OF THE MENIN/MLL INTERACTION""",BindingDB_13020_1,BindingDB,BindingDB,Confirmatory,,,,2025/11/17 00:00,2025/11/17 00:00,"To an untreated, white 384-well microtiter plate was added 40 nL 200  test compound in DMSO and 4 ?L 2  terbium chelate-labeled menin (vide infra for preparation) in assay buffer (40 mM Tris HCl, pH 7.5, 50 mM NaCl, 1 mM DTT (dithiothreitol) and 0.05% Pluronic F-127). After incubation of test compound and terbium chelate-labeled menin for 30 min at ambient temperature, 4 ?L 2 FITC-MBM1 peptide (FITC-?-alanine-SARWRFPARPGT-NH2) (?FITC? means fluorescein isothiocyanate) in assay buffer was added, the microtiter plate centrifuged at 1000 rpm for 1 min and the assay mixtures incubated for 15 min at ambient temperature. The relative amount of menin-FITC-MBM1 complex present in an assay mixture is determined by measuring the homogenous time-resolved fluorescence (HTRF) of the terbium/FITC donor/acceptor fluorphore pair using an EnVision microplate reader (ex. 337 nm/terbium em. 490 nm/FITC em. 520 nm) at ambient temperature. The degree of fluorescence resonance energy transfer (the HTRF value) is expressed as the ratio of the fluorescence emission intensities of the FITC and terbium fluorophores (Fem 520 nm/Fem 490 nm). The final concentrations of reagents in the binding assay are 200 pM terbium chelate-labeled menin, 75 nM FITC-MBM1 peptide and 0.5% DMSO in assay buffer. Dose-response titrations of test compounds are conducted using an 11 point, four-fold serial dilution scheme, starting typically at 10 ?M. "
2061141,"Menin-MLL Interaction Inhibitory Activity Assay from US Patent US20250074910: ""MENIN INHIBITOR AND USE THEREOF""",BindingDB_12757_1,BindingDB,BindingDB,Confirmatory,86,86,1,2025/08/22 00:00,2025/08/22 00:00,"The inhibition of Menin/MLL-4-43 peptide interaction by small molecule inhibitors was quantitatively detected by fluorescence polarization competition assay. The experiment was performed in a 384-well plate (Corning, Cat #3575) using a reaction buffer consisting of 50 mM Tris, pH 7.5, 50 mM NaCl, and 1 mM DTT. A 40 ?L reaction system included 10 ?L of 8 nM Menin recombinant protein and 10 ?L of the test compound at different concentrations. The compound was pre-incubated with Menin protein for 15 min, and then 20 ?L of 10 nM FITC-MLL4-43-peptide was added. After incubation on a shaker at 25  C. for 60 min, the fluorescence polarization signal (FP 485 520 520) was read using BMG PHERAStar detection. The experimental data was analyzed and processed by GraphPad Prism 6 software to obtain the IC50 value. "
1963621,"Menin-MLL In Vitro Inhibitory Activity from US Patent US20240140953: ""INHIBITORS OF MENIN-MLL INTERACTION""",BindingDB_12022_1,BindingDB,BindingDB,Confirmatory,1,1,2,2024/08/22 00:00,2024/11/12 00:00,"Each compound was diluted to a final concentration of 5 mM in DMSO. 15 ml Falcon tubes were used for making the dilution. These 5 mM stocks were stored in 2 ml light-protective Eppendorf tubes in multiple 50 ul aliquots to prevent repeated freeze-thaw of the entire stock.The following concentrations were decided for each compound: 0.01 uM, 0.03 uM, 0.1 uM, 0.3 uM, 0.5 uM, 1 uM, 3 uM and 5 uM.First, 2  working stocks for each desired concentration were made using the standard RPMI 10% FBS medium as the diluent.Specifically, working stocks of 0.02 uM, 0.06 uM, 0.2 uM, 0.6 uM, 1 uM, 2 uM, 6 uM and 10 uM (2  of the desired concentrations mentioned above) were made from the 5 mM stock (see note at the bottom for more details).100 ul of each working stock dilution was added to the respective well containing 100 ul of plated cells, thereby achieving a 1  drug concentration. A similar strategy was used for the DMSO control arm. "
1852582,"Suppression of MEIS1 gene transcription in human MV4-11 cells xenografted in BALB/c nude mouse at 15 mg/kg, iv measured after 24 hrs by RT-PCR analysis",CHEMBL5107304,ChEMBL,ChEMBL,,1,1,,2023/06/29 00:00,2023/06/29 00:00,"Title: Discovery of Novel, Potent, and Selective Small-Molecule Menin-Mixed Lineage Leukemia Interaction Inhibitors through Attempting Introduction of Hydrophilic Groups._||_Abstract: Introduction of the <i>N</i>,<i>N</i>-dimethylaminoethoxy group to pyrido[3,2-<i>d</i>]pyrimidine led to the discovery of menin-mixed lineage leukemia (MLL) interaction inhibitor <b>C20</b>. <b>C20</b> showed strong binding affinity to menin protein and achieved sub-micromolar potency in cell growth inhibition. <b>C20</b> had good selectivity for the inhibition of the interaction between menin and MLL in the kinase profile evaluation. Pharmacokinetic studies demonstrated that <b>C20</b> possessed good stability and low clearance rate in liver microsomes and acceptable bioavailability in rats. Subsequent oral administration of <b>C20</b> showed potent antitumor activity in the MV4;11 subcutaneous xenograft models of MLL-rearranged leukemia. The docking study showed that <b>C20</b> bound highly with menin, and the <i>N</i>,<i>N</i>-dimethylaminoethoxy group occupied the F9 pocket of menin. This study proved that introducing a hydrophilic group into the F9 pocket of menin would be a new strategy for the design of menin-MLL interaction inhibitors with potent binding affinity and improved physical properties. "
1852581,"Suppression of HOXA9 gene transcription in human MV4-11 cells xenografted in BALB/c nude mouse at 15 mg/kg, iv measured at 24 hrs by RT-PCR analysis",CHEMBL5107303,ChEMBL,ChEMBL,,1,1,,2023/06/29 00:00,2023/06/29 00:00,"Title: Discovery of Novel, Potent, and Selective Small-Molecule Menin-Mixed Lineage Leukemia Interaction Inhibitors through Attempting Introduction of Hydrophilic Groups._||_Abstract: Introduction of the <i>N</i>,<i>N</i>-dimethylaminoethoxy group to pyrido[3,2-<i>d</i>]pyrimidine led to the discovery of menin-mixed lineage leukemia (MLL) interaction inhibitor <b>C20</b>. <b>C20</b> showed strong binding affinity to menin protein and achieved sub-micromolar potency in cell growth inhibition. <b>C20</b> had good selectivity for the inhibition of the interaction between menin and MLL in the kinase profile evaluation. Pharmacokinetic studies demonstrated that <b>C20</b> possessed good stability and low clearance rate in liver microsomes and acceptable bioavailability in rats. Subsequent oral administration of <b>C20</b> showed potent antitumor activity in the MV4;11 subcutaneous xenograft models of MLL-rearranged leukemia. The docking study showed that <b>C20</b> bound highly with menin, and the <i>N</i>,<i>N</i>-dimethylaminoethoxy group occupied the F9 pocket of menin. This study proved that introducing a hydrophilic group into the F9 pocket of menin would be a new strategy for the design of menin-MLL interaction inhibitors with potent binding affinity and improved physical properties. "
1852580,"Antitumor activity against human MV4-11 cells xenografted in BALB/c nude mouse assessed as tumor growth inhibition at 30 mg/kg, po administered every second day for 16 days by calipers analysis",CHEMBL5107302,ChEMBL,ChEMBL,,,1,,2023/06/29 00:00,2023/06/29 00:00,"Title: Discovery of Novel, Potent, and Selective Small-Molecule Menin-Mixed Lineage Leukemia Interaction Inhibitors through Attempting Introduction of Hydrophilic Groups._||_Abstract: Introduction of the <i>N</i>,<i>N</i>-dimethylaminoethoxy group to pyrido[3,2-<i>d</i>]pyrimidine led to the discovery of menin-mixed lineage leukemia (MLL) interaction inhibitor <b>C20</b>. <b>C20</b> showed strong binding affinity to menin protein and achieved sub-micromolar potency in cell growth inhibition. <b>C20</b> had good selectivity for the inhibition of the interaction between menin and MLL in the kinase profile evaluation. Pharmacokinetic studies demonstrated that <b>C20</b> possessed good stability and low clearance rate in liver microsomes and acceptable bioavailability in rats. Subsequent oral administration of <b>C20</b> showed potent antitumor activity in the MV4;11 subcutaneous xenograft models of MLL-rearranged leukemia. The docking study showed that <b>C20</b> bound highly with menin, and the <i>N</i>,<i>N</i>-dimethylaminoethoxy group occupied the F9 pocket of menin. This study proved that introducing a hydrophilic group into the F9 pocket of menin would be a new strategy for the design of menin-MLL interaction inhibitors with potent binding affinity and improved physical properties. "
1852579,"Antitumor activity against human MV4-11 cells xenografted in BALB/c nude mouse assessed as tumor growth inhibition at 6 mg/kg, po administered every second day for 16 days by calipers analysis",CHEMBL5107301,ChEMBL,ChEMBL,,,1,,2023/06/29 00:00,2023/06/29 00:00,"Title: Discovery of Novel, Potent, and Selective Small-Molecule Menin-Mixed Lineage Leukemia Interaction Inhibitors through Attempting Introduction of Hydrophilic Groups._||_Abstract: Introduction of the <i>N</i>,<i>N</i>-dimethylaminoethoxy group to pyrido[3,2-<i>d</i>]pyrimidine led to the discovery of menin-mixed lineage leukemia (MLL) interaction inhibitor <b>C20</b>. <b>C20</b> showed strong binding affinity to menin protein and achieved sub-micromolar potency in cell growth inhibition. <b>C20</b> had good selectivity for the inhibition of the interaction between menin and MLL in the kinase profile evaluation. Pharmacokinetic studies demonstrated that <b>C20</b> possessed good stability and low clearance rate in liver microsomes and acceptable bioavailability in rats. Subsequent oral administration of <b>C20</b> showed potent antitumor activity in the MV4;11 subcutaneous xenograft models of MLL-rearranged leukemia. The docking study showed that <b>C20</b> bound highly with menin, and the <i>N</i>,<i>N</i>-dimethylaminoethoxy group occupied the F9 pocket of menin. This study proved that introducing a hydrophilic group into the F9 pocket of menin would be a new strategy for the design of menin-MLL interaction inhibitors with potent binding affinity and improved physical properties. "
1852578,Oral bioavailability in in Sprague-Dawley rat at 15 mg/kg,CHEMBL5107300,ChEMBL,ChEMBL,,,1,,2023/06/29 00:00,2023/06/29 00:00,"Title: Discovery of Novel, Potent, and Selective Small-Molecule Menin-Mixed Lineage Leukemia Interaction Inhibitors through Attempting Introduction of Hydrophilic Groups._||_Abstract: Introduction of the <i>N</i>,<i>N</i>-dimethylaminoethoxy group to pyrido[3,2-<i>d</i>]pyrimidine led to the discovery of menin-mixed lineage leukemia (MLL) interaction inhibitor <b>C20</b>. <b>C20</b> showed strong binding affinity to menin protein and achieved sub-micromolar potency in cell growth inhibition. <b>C20</b> had good selectivity for the inhibition of the interaction between menin and MLL in the kinase profile evaluation. Pharmacokinetic studies demonstrated that <b>C20</b> possessed good stability and low clearance rate in liver microsomes and acceptable bioavailability in rats. Subsequent oral administration of <b>C20</b> showed potent antitumor activity in the MV4;11 subcutaneous xenograft models of MLL-rearranged leukemia. The docking study showed that <b>C20</b> bound highly with menin, and the <i>N</i>,<i>N</i>-dimethylaminoethoxy group occupied the F9 pocket of menin. This study proved that introducing a hydrophilic group into the F9 pocket of menin would be a new strategy for the design of menin-MLL interaction inhibitors with potent binding affinity and improved physical properties. "
1852577,"Volume of distribution at steady state in Sprague-Dawley rat at 15 mg/kg, po",CHEMBL5107299,ChEMBL,ChEMBL,,,1,,2023/06/29 00:00,2023/06/29 00:00,"Title: Discovery of Novel, Potent, and Selective Small-Molecule Menin-Mixed Lineage Leukemia Interaction Inhibitors through Attempting Introduction of Hydrophilic Groups._||_Abstract: Introduction of the <i>N</i>,<i>N</i>-dimethylaminoethoxy group to pyrido[3,2-<i>d</i>]pyrimidine led to the discovery of menin-mixed lineage leukemia (MLL) interaction inhibitor <b>C20</b>. <b>C20</b> showed strong binding affinity to menin protein and achieved sub-micromolar potency in cell growth inhibition. <b>C20</b> had good selectivity for the inhibition of the interaction between menin and MLL in the kinase profile evaluation. Pharmacokinetic studies demonstrated that <b>C20</b> possessed good stability and low clearance rate in liver microsomes and acceptable bioavailability in rats. Subsequent oral administration of <b>C20</b> showed potent antitumor activity in the MV4;11 subcutaneous xenograft models of MLL-rearranged leukemia. The docking study showed that <b>C20</b> bound highly with menin, and the <i>N</i>,<i>N</i>-dimethylaminoethoxy group occupied the F9 pocket of menin. This study proved that introducing a hydrophilic group into the F9 pocket of menin would be a new strategy for the design of menin-MLL interaction inhibitors with potent binding affinity and improved physical properties. "
1852576,"Volume of distribution at steady state in Sprague-Dawley rat at 5 mg/kg, iv",CHEMBL5107298,ChEMBL,ChEMBL,,,1,,2023/06/29 00:00,2023/06/29 00:00,"Title: Discovery of Novel, Potent, and Selective Small-Molecule Menin-Mixed Lineage Leukemia Interaction Inhibitors through Attempting Introduction of Hydrophilic Groups._||_Abstract: Introduction of the <i>N</i>,<i>N</i>-dimethylaminoethoxy group to pyrido[3,2-<i>d</i>]pyrimidine led to the discovery of menin-mixed lineage leukemia (MLL) interaction inhibitor <b>C20</b>. <b>C20</b> showed strong binding affinity to menin protein and achieved sub-micromolar potency in cell growth inhibition. <b>C20</b> had good selectivity for the inhibition of the interaction between menin and MLL in the kinase profile evaluation. Pharmacokinetic studies demonstrated that <b>C20</b> possessed good stability and low clearance rate in liver microsomes and acceptable bioavailability in rats. Subsequent oral administration of <b>C20</b> showed potent antitumor activity in the MV4;11 subcutaneous xenograft models of MLL-rearranged leukemia. The docking study showed that <b>C20</b> bound highly with menin, and the <i>N</i>,<i>N</i>-dimethylaminoethoxy group occupied the F9 pocket of menin. This study proved that introducing a hydrophilic group into the F9 pocket of menin would be a new strategy for the design of menin-MLL interaction inhibitors with potent binding affinity and improved physical properties. "
1852575,"Total clearance in Sprague-Dawley rat at 15 mg/kg, po",CHEMBL5107297,ChEMBL,ChEMBL,,,1,,2023/06/29 00:00,2023/06/29 00:00,"Title: Discovery of Novel, Potent, and Selective Small-Molecule Menin-Mixed Lineage Leukemia Interaction Inhibitors through Attempting Introduction of Hydrophilic Groups._||_Abstract: Introduction of the <i>N</i>,<i>N</i>-dimethylaminoethoxy group to pyrido[3,2-<i>d</i>]pyrimidine led to the discovery of menin-mixed lineage leukemia (MLL) interaction inhibitor <b>C20</b>. <b>C20</b> showed strong binding affinity to menin protein and achieved sub-micromolar potency in cell growth inhibition. <b>C20</b> had good selectivity for the inhibition of the interaction between menin and MLL in the kinase profile evaluation. Pharmacokinetic studies demonstrated that <b>C20</b> possessed good stability and low clearance rate in liver microsomes and acceptable bioavailability in rats. Subsequent oral administration of <b>C20</b> showed potent antitumor activity in the MV4;11 subcutaneous xenograft models of MLL-rearranged leukemia. The docking study showed that <b>C20</b> bound highly with menin, and the <i>N</i>,<i>N</i>-dimethylaminoethoxy group occupied the F9 pocket of menin. This study proved that introducing a hydrophilic group into the F9 pocket of menin would be a new strategy for the design of menin-MLL interaction inhibitors with potent binding affinity and improved physical properties. "
1852574,"Total clearance in Sprague-Dawley rat at 5 mg/kg, iv",CHEMBL5107296,ChEMBL,ChEMBL,,,1,,2023/06/29 00:00,2023/06/29 00:00,"Title: Discovery of Novel, Potent, and Selective Small-Molecule Menin-Mixed Lineage Leukemia Interaction Inhibitors through Attempting Introduction of Hydrophilic Groups._||_Abstract: Introduction of the <i>N</i>,<i>N</i>-dimethylaminoethoxy group to pyrido[3,2-<i>d</i>]pyrimidine led to the discovery of menin-mixed lineage leukemia (MLL) interaction inhibitor <b>C20</b>. <b>C20</b> showed strong binding affinity to menin protein and achieved sub-micromolar potency in cell growth inhibition. <b>C20</b> had good selectivity for the inhibition of the interaction between menin and MLL in the kinase profile evaluation. Pharmacokinetic studies demonstrated that <b>C20</b> possessed good stability and low clearance rate in liver microsomes and acceptable bioavailability in rats. Subsequent oral administration of <b>C20</b> showed potent antitumor activity in the MV4;11 subcutaneous xenograft models of MLL-rearranged leukemia. The docking study showed that <b>C20</b> bound highly with menin, and the <i>N</i>,<i>N</i>-dimethylaminoethoxy group occupied the F9 pocket of menin. This study proved that introducing a hydrophilic group into the F9 pocket of menin would be a new strategy for the design of menin-MLL interaction inhibitors with potent binding affinity and improved physical properties. "
1852573,"AUC (0 to infinity) in Sprague-Dawley rat at 15 mg/kg, po",CHEMBL5107295,ChEMBL,ChEMBL,,,1,,2023/06/29 00:00,2023/06/29 00:00,"Title: Discovery of Novel, Potent, and Selective Small-Molecule Menin-Mixed Lineage Leukemia Interaction Inhibitors through Attempting Introduction of Hydrophilic Groups._||_Abstract: Introduction of the <i>N</i>,<i>N</i>-dimethylaminoethoxy group to pyrido[3,2-<i>d</i>]pyrimidine led to the discovery of menin-mixed lineage leukemia (MLL) interaction inhibitor <b>C20</b>. <b>C20</b> showed strong binding affinity to menin protein and achieved sub-micromolar potency in cell growth inhibition. <b>C20</b> had good selectivity for the inhibition of the interaction between menin and MLL in the kinase profile evaluation. Pharmacokinetic studies demonstrated that <b>C20</b> possessed good stability and low clearance rate in liver microsomes and acceptable bioavailability in rats. Subsequent oral administration of <b>C20</b> showed potent antitumor activity in the MV4;11 subcutaneous xenograft models of MLL-rearranged leukemia. The docking study showed that <b>C20</b> bound highly with menin, and the <i>N</i>,<i>N</i>-dimethylaminoethoxy group occupied the F9 pocket of menin. This study proved that introducing a hydrophilic group into the F9 pocket of menin would be a new strategy for the design of menin-MLL interaction inhibitors with potent binding affinity and improved physical properties. "
1852572,"AUC (0 to infinity) in Sprague-Dawley rat at 5 mg/kg, iv",CHEMBL5107294,ChEMBL,ChEMBL,,,1,,2023/06/29 00:00,2023/06/29 00:00,"Title: Discovery of Novel, Potent, and Selective Small-Molecule Menin-Mixed Lineage Leukemia Interaction Inhibitors through Attempting Introduction of Hydrophilic Groups._||_Abstract: Introduction of the <i>N</i>,<i>N</i>-dimethylaminoethoxy group to pyrido[3,2-<i>d</i>]pyrimidine led to the discovery of menin-mixed lineage leukemia (MLL) interaction inhibitor <b>C20</b>. <b>C20</b> showed strong binding affinity to menin protein and achieved sub-micromolar potency in cell growth inhibition. <b>C20</b> had good selectivity for the inhibition of the interaction between menin and MLL in the kinase profile evaluation. Pharmacokinetic studies demonstrated that <b>C20</b> possessed good stability and low clearance rate in liver microsomes and acceptable bioavailability in rats. Subsequent oral administration of <b>C20</b> showed potent antitumor activity in the MV4;11 subcutaneous xenograft models of MLL-rearranged leukemia. The docking study showed that <b>C20</b> bound highly with menin, and the <i>N</i>,<i>N</i>-dimethylaminoethoxy group occupied the F9 pocket of menin. This study proved that introducing a hydrophilic group into the F9 pocket of menin would be a new strategy for the design of menin-MLL interaction inhibitors with potent binding affinity and improved physical properties. "
1852571,"AUC (0 to t) in Sprague-Dawley rat at 15 mg/kg, po",CHEMBL5107293,ChEMBL,ChEMBL,,,1,,2023/06/29 00:00,2023/06/29 00:00,"Title: Discovery of Novel, Potent, and Selective Small-Molecule Menin-Mixed Lineage Leukemia Interaction Inhibitors through Attempting Introduction of Hydrophilic Groups._||_Abstract: Introduction of the <i>N</i>,<i>N</i>-dimethylaminoethoxy group to pyrido[3,2-<i>d</i>]pyrimidine led to the discovery of menin-mixed lineage leukemia (MLL) interaction inhibitor <b>C20</b>. <b>C20</b> showed strong binding affinity to menin protein and achieved sub-micromolar potency in cell growth inhibition. <b>C20</b> had good selectivity for the inhibition of the interaction between menin and MLL in the kinase profile evaluation. Pharmacokinetic studies demonstrated that <b>C20</b> possessed good stability and low clearance rate in liver microsomes and acceptable bioavailability in rats. Subsequent oral administration of <b>C20</b> showed potent antitumor activity in the MV4;11 subcutaneous xenograft models of MLL-rearranged leukemia. The docking study showed that <b>C20</b> bound highly with menin, and the <i>N</i>,<i>N</i>-dimethylaminoethoxy group occupied the F9 pocket of menin. This study proved that introducing a hydrophilic group into the F9 pocket of menin would be a new strategy for the design of menin-MLL interaction inhibitors with potent binding affinity and improved physical properties. "
