smiles,n_measurements,n_sources,p_activity_median,p_activity_best,value_nm_median,value_nm_best,endpoints,sources,compound_ids,target_names,document_years,potency_class,active_100nM,active_1uM,predicted_herg_blocker_probability,predicted_herg_risk
B(CNS(=O)(=O)C1=C(C=C(C=C1)C2=NNN=N2)C(F)(F)F)(O)O,1,1,10.30102999566398,10.30102999566398,0.05,0.05,Ki,PubChem,71549453.0,,,high_potency_<=100nM,True,True,0.08573460308076586,low
CCN(C(C)C)C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(CN(C2)[C@H](CCCNCCOC)C(C)C)C1,2,1,10.002182402701225,10.045757490560677,0.1,0.09,IC50,BindingDB,689587,Menin,,high_potency_<=100nM,True,True,0.44005720526812403,medium
CC(C)N(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@H]3CC[C@H](NS(C)(=O)=O)CC3)CC2)C1)C(C)C,1,1,9.98296666070122,9.98296666070122,0.104,0.104,Ki,ChEMBL,CHEMBL5267644,Menin,2024,high_potency_<=100nM,True,True,0.4060634950569642,medium
CCN(C(C)C)C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(CN(C2)[C@H](CCCN(C)CCOC)C(C)C)C1,2,1,9.8767507096021,10.008773924307503,0.139,0.098,IC50,BindingDB,689589;689590,Menin,,high_potency_<=100nM,True,True,0.5558170465333571,medium
CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2(F)CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,1,1,9.0,9.0,1.0,1.0,IC50,ChEMBL,CHEMBL6053681,Menin,2021,high_potency_<=100nM,True,True,0.644349354346837,medium
CCc1nccn1C[C@]([C@H]1CCC[C@@H]1NC(=O)OC)(C1CCN(CC2(F)CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN(C)C)CC1)c1cccc(F)c1,1,1,9.0,9.0,1.0,1.0,IC50,BindingDB,506357,Menin,,high_potency_<=100nM,True,True,0.7752873675277426,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CC(F)(F)C2)CC1)c1cccc(F)c1,1,1,9.0,9.0,1.0,1.0,IC50,BindingDB,50511905,Menin,,high_potency_<=100nM,True,True,0.8806710956533786,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,1,1,9.0,9.0,1.0,1.0,IC50,ChEMBL,CHEMBL4530300,Menin,2020,high_potency_<=100nM,True,True,0.7896346132861572,high
O=c1cccc2n1[C@@H]1C[C@H](C2)CN(CC(O)CCCc2ccccc2)C1,1,1,9.0,9.0,1.0,1.0,IC50,ChEMBL,CHEMBL4211366,Menin,2018,high_potency_<=100nM,True,True,0.3350066993286526,medium
OC(CCCc1ccccc1)CN1C[C@@H]2C[C@H](C1)n1c(C2)cccc1=O,1,1,9.0,9.0,1.0,1.0,IC50,BindingDB,50454121,Menin,,high_potency_<=100nM,True,True,0.6355044058620212,medium
B(CNS(=O)(=O)C1=CC=C(C=C1)C2=NNN=N2)(O)O,1,1,8.920818753952375,8.920818753952375,1.2,1.2,Ki,PubChem,71549452.0,,,high_potency_<=100nM,True,True,0.03107755473987281,low
CCCNC(=O)N[C@@H]1CC[C@@H](CN2CCC3(CN(C3)c3ncncc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)CC2)OC1,1,1,8.903089986991944,8.903089986991944,1.25,1.25,Ki,BindingDB,656643,Histone-lysine N-methyltransferase 2A/Menin,,high_potency_<=100nM,True,True,0.4424207847697057,medium
CCN(C(C)C)C(=O)c1cc(F)ccc1Oc1cnc(C)nc1N1CC2(C1)CCN(C[C@@H]1CC[C@H](CO1)NS(=O)(=O)CC)CC2,1,1,8.903089986991944,8.903089986991944,1.25,1.25,Ki,BindingDB,656820,Histone-lysine N-methyltransferase 2A/Menin,,high_potency_<=100nM,True,True,0.29100705810805155,low
CCN(C(C)C)C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(C1)CCN(C[C@@H]1CC[C@H](CO1)NC(=O)NCC1CC1)CC2,1,1,8.903089986991944,8.903089986991944,1.25,1.25,Ki,BindingDB,656647,Histone-lysine N-methyltransferase 2A/Menin,,high_potency_<=100nM,True,True,0.34247556032231785,medium
CCN(C(C)C)C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(C1)CCN(C[C@@H]1CC[C@H](CO1)NS(=O)(=O)CCN(C)C)CC2,1,1,8.903089986991944,8.903089986991944,1.25,1.25,Ki,BindingDB,656824,Histone-lysine N-methyltransferase 2A/Menin,,high_potency_<=100nM,True,True,0.3276451729476975,medium
N=C(N)NCCC[C@H](NC(=O)COCCOCCOCCNC(=O)c1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H]1CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cc(F)cc(F)c2)NC1=O,1,1,8.853871964321762,8.853871964321762,1.4,1.4,Kd,ChEMBL,CHEMBL2314822,Menin,2013,high_potency_<=100nM,True,True,0.5469459450853223,medium
NC(=N)NCCC[C@H](NC(=O)COCCOCCOCCNC(=O)c1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc12)C(=O)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H]1CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(N)=N)NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cc(F)cc(F)c2)NC1=O,1,1,8.853871964321762,8.853871964321762,1.4,1.4,Kd,BindingDB,50489222,Menin,,high_potency_<=100nM,True,True,0.5491928310053548,medium
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN(C)C)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CC2)CC1)c1cccc(F)c1,1,1,8.769551078621726,8.769551078621726,1.7,1.7,IC50,BindingDB,50582737,Menin,,high_potency_<=100nM,True,True,0.8285063794438239,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN(C)C)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,1,1,8.769551078621726,8.769551078621726,1.7,1.7,IC50,ChEMBL,CHEMBL5076146,Menin,2021,high_potency_<=100nM,True,True,0.8369419975622157,high
CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,2,1,8.734260541478871,8.769551078621726,1.85,1.7,IC50,ChEMBL,CHEMBL4457657,Menin,2020;2021,high_potency_<=100nM,True,True,0.6797571980062618,medium
CCc1nccn1C[C@]([C@H]1CCC[C@@H]1NC(=O)OC)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN(C)C)CC1)c1cccc(F)c1,2,1,8.734260541478871,8.769551078621726,1.85,1.7,IC50,BindingDB,50511899,Menin,,high_potency_<=100nM,True,True,0.8024208571437171,high
CCC1=NC=CN1C[C@]([C@H]2CCC[C@@H]2NC(=O)OC)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN(C)C)C7=CC(=CC=C7)F,3,1,8.698970004336019,8.769551078621726,2.0,1.7,IC50,PubChem,153315442.0,,,high_potency_<=100nM,True,True,0.7923336386703133,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](Cn1ccnn1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN(C)C)CC1)c1cccc(F)c1,2,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511900,Menin,,high_potency_<=100nM,True,True,0.8226857556513871,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](Cn1ccnn1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,2,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL4454017,Menin,2020;2021,high_potency_<=100nM,True,True,0.7359024925943842,high
C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](CN5CCC5)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL4553102,Menin,2020,high_potency_<=100nM,True,True,0.47518929700448964,medium
C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL5886290,Menin,2021,high_potency_<=100nM,True,True,0.5185339933667048,medium
C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(F)(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL5766765,Menin,2021,high_potency_<=100nM,True,True,0.5958037074395054,medium
C=CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](C#N)(c5cccc(F)c5)[C@H]5CCC[C@@H]5OC(=O)NC)CC4)C3)cc2)cc1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL5794245,Menin,2021,high_potency_<=100nM,True,True,0.5780555940467074,medium
C=CC(=O)Nc1cccc(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](C#N)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL5884894,Menin,2021,high_potency_<=100nM,True,True,0.5568001315365558,medium
C=CC(=O)Nc1cccc(S(=O)(=O)c2ccc(N3CC(F)(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL5983807,Menin,2021,high_potency_<=100nM,True,True,0.7072005841227361,high
CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCCC5)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL5817522,Menin,2021,high_potency_<=100nM,True,True,0.7293664015541003,high
CCc1nccn1C[C@]([C@H]1CCC[C@@H]1NC(=O)OC)(C1CCN(CC2(F)CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)C=C)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,506346,Menin,,high_potency_<=100nM,True,True,0.7516921085341293,high
CCc1nccn1C[C@]([C@H]1CCC[C@@H]1NC(=O)OC)(C1CCN(CC2(F)CN(C2)c2ccc(cc2)S(=O)(=O)c2cccc(NC(=O)C=C)c2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,506341,Menin,,high_potency_<=100nM,True,True,0.8050881797210997,high
CCc1nccn1C[C@]([C@H]1CCC[C@@H]1NC(=O)OC)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)C=C)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,506340,Menin,,high_potency_<=100nM,True,True,0.7818707396872572,high
CCc1nccn1C[C@]([C@H]1CCC[C@@H]1NC(=O)OC)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CCCCC2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,506364,Menin,,high_potency_<=100nM,True,True,0.8318347025271013,high
CNC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccc(NC(=O)C=C)cc2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,506342,Menin,,high_potency_<=100nM,True,True,0.7543281603049545,high
