structure_id,endpoint,assay_family,n_measurements,n_source_rows,n_cross_source_mirror_rows_collapsed,n_sources,n_exact_measurements,n_censored_measurements,n_approximate_measurements,p_activity_median,p_activity_best,p_activity_min,value_nm_median,value_nm_best,endpoints,n_endpoints,endpoint_families,n_endpoint_families,assay_families,n_assay_families,sources,compound_ids,target_names,document_years,relations,smiles,original_smiles,canonical_smiles,standardized_smiles,inchi_key,standard_inchi_key,structure_standardization_status,activity_range_log10,is_activity_heterogeneous,heterogeneity_log_spread_threshold,censoring_policy,aggregation_value_semantics,potency_class,active_100nM,active_1uM,scored_menin_endpoint,scored_menin_assay_family,has_observed_primary_herg_record,predicted_herg_blocker_probability,predicted_herg_probability_entropy_bits,herg_max_training_tanimoto,herg_nearest_training_smiles,herg_inside_applicability_domain,predicted_herg_risk,mol_wt,exact_mol_wt,logp,tpsa,h_bond_donors,h_bond_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,fraction_csp3,heavy_atom_count,formal_charge,invalid_structure,qed,pains_alert_count,brenk_alert_count,nih_alert_count,pains_alerts,brenk_alerts,nih_alerts,scaffold_key,scaffold_method,series_id,series_size,connectivity_key,connectivity_group_size,nearest_neighbor_achiral_tanimoto,nearest_neighbor_achiral_structure_id,nearest_neighbor_chiral_tanimoto,nearest_neighbor_chiral_structure_id,local_novelty_achiral,property_window_violation_count,property_window_violations,property_desirability,ro5_violation_count,veber_violation_count,apparent_ligand_efficiency_kcal_per_mol_per_heavy_atom,apparent_lipophilic_ligand_efficiency,similarity_cluster_id,similarity_cluster_size,similarity_cluster_representative,observed_herg_blocker_label,observed_p_herg_median,observed_herg_value_nm_median,observed_herg_measurement_count,pk_observation_count,pk_endpoint_count,pk_endpoints,pk_species,pk_matrices,herg_evidence_status,herg_probability_used_for_decision,herg_prediction_used,observed_herg_used,potency_desirability,qed_desirability,evidence_desirability,herg_desirability,discovery_score_without_safety,complete_evidence_score,chemistry_evidence_gate,experimental_followup_tier,potency_property_pareto_rank,complete_evidence_pareto_rank,discovery_rank_without_safety,complete_evidence_rank,sensitivity_scenarios_eligible,sensitivity_rank_min,sensitivity_rank_median,sensitivity_rank_max,sensitivity_rank_span
STR-32FEF1FCB73DC9ADA20D,IC50,biochemical_binding,1,2,1,2,1,0,0,8.522878745280337,8.522878745280337,8.522878745280337,3.0,3.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5974610,Menin,2021,=,CC(=O)O[C@H]1CCC[C@@H]1C1(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)CN(C)Cc2ccc(F)cc21,CC(=O)O[C@H]1CCC[C@@H]1C1(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)CN(C)Cc2ccc(F)cc21,CC(=O)O[C@H]1CCC[C@@H]1C1(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)CN(C)Cc2ccc(F)cc21,CC(=O)O[C@H]1CCC[C@@H]1C1(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)CN(C)Cc2ccc(F)cc21,CMKBAOQEJWGPEB-LPHAKTNPSA-N,CMKBAOQEJWGPEB-LPHAKTNPSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8902746122561651,0.4990870886623466,0.2427184432744979,CC(=O)Nc1cccc(N2CCN(CC3CCN(S(=O)(=O)CC4CCCCC4)CC3)CC2)c1,False,high,623.8350000000003,623.319306172,5.025200000000005,70.16,0.0,7.0,8.0,7.0,2.0,0.6285714285714286,44.0,0.0,0.0,0.3825855173479281,0,0,0,,,,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1)C1CC1,bemis_murcko,SER-8B11BACADDC8B4B4,15,CMKBAOQEJWGPEB,2,1.0,STR-913D178EB83662F51B15,0.8354430379746836,STR-B714BC7381C3BA11A1BD,0.0,0,,1.0,2,0,0.2642092411036905,3.497678745280332,CLU-B51E94A231067934,5,STR-B714BC7381C3BA11A1BD,,,,,0,0,,,,unknown_outside_applicability_domain,,False,False,0.8409595817601124,0.3825855173479281,0.7777777777777777,,0.7726686119946752,,True,priority_2_potent_safety_data_gap,1,,3,,1,4,4.0,4,0
STR-E4F36A98E00A8B27E8BD,IC50,biochemical_binding,1,2,1,2,1,0,0,8.698970004336019,8.698970004336019,8.698970004336019,2.0,2.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL4454017,Menin,2020,=,COC(=O)N[C@H]1CCC[C@@H]1[C@](Cn1ccnn1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](Cn1ccnn1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](Cn1ccnn1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](Cn1ccnn1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,UDCCIJLZCSLTOS-ANCAAGCLSA-N,UDCCIJLZCSLTOS-ANCAAGCLSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8437938967319986,0.6251555957122892,0.2318840622901916,O=C(N[C@H]1CCN(CC2CCC2)C[C@@H]1C(=O)NC1(c2ncccn2)CC1)c1cc(-c2ccc(F)cc2F)on1,False,high,791.0069999999997,790.4000160799999,3.830600000000003,133.20999999999998,1.0,10.0,14.0,7.0,3.0,0.5609756097560976,56.0,0.0,0.0,0.2405884544829769,0,1,0,,Michael_acceptor_1,,O=S(=O)(c1ccc(N2CC(CN3CCC(C(Cn4ccnn4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CNC1,bemis_murcko,SER-034771967D4F78CF,1,UDCCIJLZCSLTOS,1,0.8431372549019608,STR-37892E2865C156499B87,0.8431372549019608,STR-37892E2865C156499B87,0.1568627450980392,1,mol_wt:above_max,0.8333333333333334,1,1,0.21188205510561306,4.868370004336016,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334,,,,,0,0,,,,unknown_outside_applicability_domain,,False,False,0.8996566681120063,0.2405884544829769,0.7777777777777777,,0.7383278397192354,,True,priority_2_potent_safety_data_gap,1,,5,,1,16,16.0,16,0
STR-DA4F708C5ED8977F505E,IC50,biochemical_binding,2,3,1,2,2,0,0,8.502182402701225,8.522878745280337,8.481486060122112,3.15,3.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL4435830,Menin,2019;2020,=,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,PJMFCNODKBGQNV-HDDNKGPMSA-N,PJMFCNODKBGQNV-HDDNKGPMSA-N,standardized,0.0413926851582253,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8775959841908442,0.5362318818545906,0.2366412281990051,O=C(N[C@H]1CCN(CC2CCC2)C[C@@H]1C(=O)NC1(c2ncccn2)CC1)c1cc(-c2ccc(F)cc2F)on1,False,high,734.9389999999997,734.3625679520001,4.062480000000003,126.28999999999998,1.0,9.0,12.0,6.0,2.0,0.5641025641025641,52.0,0.0,0.0,0.321666341925171,0,1,0,,Michael_acceptor_1,,O=S(=O)(c1ccc(N2CC(CN3CCC(C(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CNC1,bemis_murcko,SER-0A8207C373DE3400,9,PJMFCNODKBGQNV,1,0.8645833333333334,STR-78872E7698A00B065699,0.865979381443299,STR-78872E7698A00B065699,0.13541666666666663,1,mol_wt:above_max,0.8333333333333334,1,1,0.2230187845631629,4.439702402701221,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334,,,,,0,0,,,,unknown_outside_applicability_domain,,False,False,0.827162020040704,0.321666341925171,0.8750913271694803,,0.7336877213599601,,True,priority_2_potent_safety_data_gap,1,,6,,1,27,27.0,27,0
STR-213F84F38B4A2B9413E0,IC50,biochemical_binding,2,3,1,2,2,0,0,7.8278038631574445,7.886056647693163,7.769551078621726,15.0,13.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL4459554,Menin,2019;2021,=,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCC1,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCC1,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCC1,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCC1,YPKFPYBBBHEOQJ-UHFFFAOYSA-N,YPKFPYBBBHEOQJ-UHFFFAOYSA-N,standardized,0.1165055690714371,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8863853428234102,0.5107234930475886,0.2444444447755813,CC(=O)Nc1cccc(N2CCN(CC3CCN(S(=O)(=O)CC4CCCCC4)CC3)CC2)c1,False,high,561.8360000000001,561.3388987440001,5.782500000000007,52.650000000000006,1.0,5.0,7.0,7.0,2.0,0.6470588235294118,40.0,0.0,0.0,0.46437632740382245,0,0,0,,,,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCC1,bemis_murcko,SER-8766DF06D1ECE89F,1,YPKFPYBBBHEOQJ,1,0.9830508474576272,STR-5D9D18A659624B9D4D9E,0.9830508474576272,STR-5D9D18A659624B9D4D9E,0.016949152542372836,0,,1.0,2,0,0.26692811173366887,2.0453038631574376,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729,,,,,0,0,,,,unknown_outside_applicability_domain,,False,False,0.5898503595405753,0.46437632740382245,0.8500536991984098,,0.6814792598261543,,True,priority_2_potent_safety_data_gap,1,,11,,1,105,105.0,105,0
STR-972288F8D4D50B5E44FE,IC50,biochemical_binding,2,3,1,2,2,0,0,7.796729909783022,7.823908740944319,7.769551078621726,16.0,15.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL4476073,Menin,2019;2021,=,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,NIMLAJOQSRTWMK-UHFFFAOYSA-N,NIMLAJOQSRTWMK-UHFFFAOYSA-N,standardized,0.0543576623225927,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8426609621328897,0.6279055131044698,0.25,Cc1ccccc1N1CCN(C[C@@H]2CCc3cccnc3[C@@H](O)C2)CC1,False,high,570.8030000000002,570.3028475840001,5.294000000000006,65.54,1.0,6.0,7.0,7.0,3.0,0.5,41.0,0.0,0.0,0.4163596540165264,0,0,0,,,,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,bemis_murcko,SER-3BBBF6CEAC67F2A5,1,NIMLAJOQSRTWMK,1,0.873015873015873,STR-718AB1E455060CA519A1,0.873015873015873,STR-718AB1E455060CA519A1,0.12698412698412698,0,,1.0,2,0,0.2593838926083913,2.5027299097830165,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB,,,,,0,0,,,,unknown_outside_applicability_domain,,False,False,0.5898503595405753,0.4163596540165264,0.8707696681146913,,0.6746380543375325,,True,priority_2_potent_safety_data_gap,1,,12,,1,119,119.0,119,0
STR-971462EFAE13318C0E1F,IC50,biochemical_binding,1,2,1,2,1,0,0,8.522878745280337,8.522878745280337,8.522878745280337,3.0,3.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5816906,Menin,2021,=,CN1Cc2ccccc2C(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)([C@H]2CCC[C@@H]2OC(N)=O)C1,CN1Cc2ccccc2C(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)([C@H]2CCC[C@@H]2OC(N)=O)C1,CN1Cc2ccccc2C(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)([C@H]2CCC[C@@H]2OC(N)=O)C1,CN1Cc2ccccc2C(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)([C@H]2CCC[C@@H]2OC(N)=O)C1,ONOOCFLWRHTSIH-AFLWYUAHSA-N,ONOOCFLWRHTSIH-AFLWYUAHSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8517518718397382,0.6054388252628679,0.2450980395078659,CCOC(=O)N1CCC(CN2CC[C@H](N3C(=O)Cc4ccccc43)C2)CC1,False,high,643.8539999999999,643.3192259200001,4.710000000000004,109.07,1.0,8.0,8.0,7.0,3.0,0.5,46.0,0.0,0.0,0.3762183201027378,0,0,0,,,,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,bemis_murcko,SER-20F67B855744F824,19,ONOOCFLWRHTSIH,1,0.8875,STR-593538869CBBD1EB1B7D,0.8875,STR-593538869CBBD1EB1B7D,0.11250000000000004,0,,1.0,1,0,0.2527218827948344,3.812878745280333,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB,,,,,0,0,,,,unknown_outside_applicability_domain,,False,False,0.8409595817601124,0.3762183201027378,0.7777777777777777,,0.771395172545637,,True,priority_2_potent_safety_data_gap,2,,22,,1,5,5.0,5,0
STR-34DA364C524542BAF54B,IC50,biochemical_binding,1,1,0,1,1,0,0,9.0,9.0,9.0,1.0,1.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL,CHEMBL4530300,Menin,2020,=,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,LAHJBSUOBULURD-HHKHNSFJSA-N,LAHJBSUOBULURD-HHKHNSFJSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8384379956354719,0.6380333040899026,0.240601509809494,O=C(N[C@H]1CCN(CC2CCC2)C[C@@H]1C(=O)NC1(c2ncccn2)CC1)c1cc(-c2ccc(F)cc2F)on1,False,high,827.0269999999997,826.406324584,4.633900000000005,105.74,1.0,9.0,14.0,8.0,2.0,0.627906976744186,58.0,0.0,0.0,0.27336193397443753,0,1,0,,Michael_acceptor_1,,O=C(C=CCN1CCC1)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC(C(CN5CCC5)(c5ccccc5)C5CCCC5)CC4)C3)cc2)C1,bemis_murcko,SER-B212B95A94D293C5,3,LAHJBSUOBULURD,1,0.9148936170212766,STR-F32727EFAF81D38C7334,0.9148936170212766,STR-F32727EFAF81D38C7334,0.08510638297872342,1,mol_wt:above_max,0.8333333333333334,1,1,0.21165517241379314,4.366099999999995,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334,,,,,0,0,,,,unknown_outside_applicability_domain,,False,False,1.0,0.27336193397443753,0.611111111111111,,0.7694872016097024,,True,priority_2_potent_safety_data_gap,2,,23,,1,6,6.0,6,0
STR-070A2DB3A5A9041ED5EA,IC50,biochemical_binding,1,2,1,2,1,0,0,8.397940008672037,8.397940008672037,8.397940008672037,4.0,4.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5975630,Menin,2021,=,CCN1Cc2ccccc2C(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)([C@H]2CCC[C@@H]2NC(=O)NC)C1,CCN1Cc2ccccc2C(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)([C@H]2CCC[C@@H]2NC(=O)NC)C1,CCN1Cc2ccccc2C(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)([C@H]2CCC[C@@H]2NC(=O)NC)C1,CCN1Cc2ccccc2C(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)([C@H]2CCC[C@@H]2NC(=O)NC)C1,MYYYSVGFHODGCR-AFLWYUAHSA-N,MYYYSVGFHODGCR-AFLWYUAHSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8789935461924108,0.532246982913249,0.2427184432744979,CC(=O)Nc1cccc(N2CCN(CC3CCN(S(=O)(=O)CC4CCCCC4)CC3)CC2)c1,False,high,633.903,633.3712614919999,4.642100000000004,84.99000000000001,2.0,6.0,9.0,7.0,2.0,0.6388888888888888,45.0,0.0,0.0,0.4188212705599909,0,0,0,,,,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1)C1CC1,bemis_murcko,SER-8B11BACADDC8B4B4,15,MYYYSVGFHODGCR,1,0.8734177215189873,STR-F48E770257629D6757F9,0.8717948717948718,STR-F48E770257629D6757F9,0.12658227848101267,0,,1.0,1,0,0.2545508927073036,3.755840008672034,CLU-426D02ED5BFF1983,10,STR-BD3C32C55755152AB6D1,,,,,0,0,,,,unknown_outside_applicability_domain,,False,False,0.7993133362240125,0.4188212705599909,0.7777777777777777,,0.7604808480535743,,True,priority_2_potent_safety_data_gap,2,,24,,1,9,9.0,9,0
STR-4DD88D5839EF83BB667C,IC50,biochemical_binding,1,1,0,1,1,0,0,8.397940008672037,8.397940008672037,8.397940008672037,4.0,4.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL,CHEMBL4164572,Menin,2018,=,NS(=O)(=O)Cc1ccc(CN2CCC3(CCN(c4ncnc5sc(CC(F)(F)F)cc45)C3)C2)cc1,NS(=O)(=O)Cc1ccc(CN2CCC3(CCN(c4ncnc5sc(CC(F)(F)F)cc45)C3)C2)cc1,NS(=O)(=O)Cc1ccc(CN2CCC3(CCN(c4ncnc5sc(CC(F)(F)F)cc45)C3)C2)cc1,NS(=O)(=O)Cc1ccc(CN2CCC3(CCN(c4ncnc5sc(CC(F)(F)F)cc45)C3)C2)cc1,MTGHKVNRTSXZHZ-UHFFFAOYSA-N,MTGHKVNRTSXZHZ-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8673120988224663,0.5647639518762788,0.239130437374115,COC(=O)C1(CNC(=O)c2cc(Cl)cc(Cl)c2)CCN(Cc2ccc(C(F)(F)F)cc2)CC1,False,high,525.6220000000002,525.1480017320001,3.687000000000003,92.42,1.0,7.0,6.0,5.0,3.0,0.4782608695652174,35.0,0.0,0.0,0.527932707540526,0,0,0,,,,c1ccc(CN2CCC3(CCN(c4ncnc5sccc45)C3)C2)cc1,bemis_murcko,SER-0CFBA55DF63719F3,7,MTGHKVNRTSXZHZ,1,0.7916666666666666,STR-E06BC321EF0DF7985DE6,0.7916666666666666,STR-E06BC321EF0DF7985DE6,0.20833333333333337,0,,1.0,1,0,0.32727971919510457,4.7109400086720346,CLU-B67275E4621D323B,8,STR-4DD88D5839EF83BB667C,,,,,0,0,,,,unknown_outside_applicability_domain,,False,False,0.7993133362240125,0.527932707540526,0.611111111111111,,0.7600809132274592,,True,priority_2_potent_safety_data_gap,2,,25,,1,10,10.0,10,0
STR-F10D2D8306F0D924B76B,IC50,biochemical_binding,1,2,1,2,1,0,0,8.698970004336019,8.698970004336019,8.698970004336019,2.0,2.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5886290,Menin,2021,=,C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,LXSIPWFLROWVOQ-VJZJJTPSSA-N,LXSIPWFLROWVOQ-VJZJJTPSSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8830499569569652,0.5205298440933865,0.2481203079223632,O=C(N[C@H]1CCN(CC2CCC2)C[C@@H]1C(=O)NC1(c2ncccn2)CC1)c1cc(-c2ccc(F)cc2F)on1,False,high,760.9769999999999,760.3782180160001,5.066200000000005,117.08000000000003,1.0,8.0,13.0,7.0,3.0,0.5365853658536586,54.0,0.0,0.0,0.24056053846144249,0,1,2,,Michael_acceptor_1,acrylate;halo_acrylate,O=S(=O)(c1ccc(N2CC(CN3CCC(C(Cn4ccnc4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CNC1,bemis_murcko,SER-01C7163C23A2198D,4,LXSIPWFLROWVOQ,1,0.8557692307692307,STR-1336D74CEEF07820B1AB,0.8476190476190476,STR-1336D74CEEF07820B1AB,0.14423076923076927,1,mol_wt:above_max,0.8333333333333334,2,1,0.21972953862804318,3.632770004336014,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334,,,,,0,0,,,,unknown_outside_applicability_domain,,False,False,0.8996566681120063,0.24056053846144249,0.7777777777777777,,0.7383222565149286,,True,priority_2_potent_safety_data_gap,2,,27,,1,17,17.0,17,0
