connectivity_key,structure_id_a,structure_id_b,standard_inchi_key_a,standard_inchi_key_b,p_activity_a,p_activity_b,absolute_delta_pactivity,interpretation
VDJTWLOLAUELBT,STR-33EC56FC5D9EE8140CC4,STR-50194E6CF0AF9E3900D0,VDJTWLOLAUELBT-YFTHYISFSA-N,VDJTWLOLAUELBT-VHYZKNOSSA-N,8.698970004336019,5.657577319177793,3.0413926851582254,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
ZSXCXYOKSWOXBU,STR-85CC09FA46180DEFBF79,STR-F3E4FB7B2DAC6DD0B0EA,ZSXCXYOKSWOXBU-VNIGXCIGSA-N,ZSXCXYOKSWOXBU-CLDIWPSMSA-N,7.886056647693163,4.860120913598763,3.0259357340944,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
ATMCISWSCCZRKA,STR-88BBF77299762B038C6D,STR-A723964BC2F481BF1509,ATMCISWSCCZRKA-FWBANIIHSA-N,ATMCISWSCCZRKA-ANOPSCNCSA-N,6.625251653989896,3.783570169123749,2.8416814848661467,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
IQANJWWWYDKCSR,STR-38D78133670C2C6A5AEA,STR-A03DAF6611859C5C8983,IQANJWWWYDKCSR-XPZBDPFPSA-N,IQANJWWWYDKCSR-KCUXUGRMSA-N,5.79317412396815,3.034737135044418,2.758436988923732,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
QUXGGZVJCJQVBS,STR-229990C98B9D4B27D490,STR-35F6D1EC02194FC314E7,QUXGGZVJCJQVBS-QWKOWPTQSA-N,QUXGGZVJCJQVBS-SRBHEWTHSA-N,5.337242168318426,7.886056647693163,2.5488144793747374,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
IFDKQQVTCZCWIE,STR-B56EF6AC340F28C175E6,STR-E71EA49855240EBB6F7C,IFDKQQVTCZCWIE-GSBZAIBZSA-N,IFDKQQVTCZCWIE-FYZJSYNQSA-N,7.958607314841775,5.508638306165727,2.4499690086760477,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
XVLUCSMHEWTUJD,STR-7C604423619052A15AC8,STR-F56D36E1BD6B0DD11077,XVLUCSMHEWTUJD-IEKJTBOOSA-N,XVLUCSMHEWTUJD-ORITWGEGSA-N,8.154901959985743,5.77642098432889,2.378480975656853,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
FKYDKSHIPWIYBA,STR-3BD3AAFB21D6F0AE245A,STR-B51853407B4A9AF321D2,FKYDKSHIPWIYBA-QHCPKHFHSA-N,FKYDKSHIPWIYBA-HSZRJFAPSA-N,4.152489034796752,6.508638306165727,2.3561492713689747,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
LBZIHFPAAWTXAW,STR-B3713976D3715B01F866,STR-CD94BD50EF1121AE4E8B,LBZIHFPAAWTXAW-AOYPEHQESA-N,LBZIHFPAAWTXAW-RSXGOPAZSA-N,7.236572006437063,4.92009553233328,2.3164764741037835,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
KXPSUXIZTPMMPF,STR-8A96AEE3549DB26F33DD,STR-A540B6064EC41BB600F8,KXPSUXIZTPMMPF-XPZBDPFPSA-N,KXPSUXIZTPMMPF-KCUXUGRMSA-N,7.795880017344075,5.484126156288321,2.311753861055754,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
PUYITSCFEXVUDJ,STR-39162221D259757C11ED,STR-B9B055BBCE39C09309A4,PUYITSCFEXVUDJ-MROBMTMESA-N,PUYITSCFEXVUDJ-QAFYHTLISA-N,8.221848749616356,5.947306058075032,2.274542691541324,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
TZVOKEYLSRSBPK,STR-6D83836432314425AF74,STR-72BF5FE38870FA3B6280,TZVOKEYLSRSBPK-JOCHJYFZSA-N,TZVOKEYLSRSBPK-QFIPXVFZSA-N,6.309803919971486,4.051391450123564,2.258412469847922,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
YYRTZOYRPFJVQM,STR-BF401908AD838E3D878A,STR-FF3501C24AF8F8557BD2,YYRTZOYRPFJVQM-CKTNNRQRSA-N,YYRTZOYRPFJVQM-JWTXWEFBSA-N,5.568636235841012,7.823908740944319,2.2552725051033065,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
CJQQTVQISYHBBS,STR-40FF751350DD414E6552,STR-E082AD0DE1F3A12CC536,CJQQTVQISYHBBS-MODKJIOJSA-N,CJQQTVQISYHBBS-CVYBXRIJSA-N,4.943095148663527,7.180456064458131,2.2373609157946035,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
ZDFHPRMYCCSWNO,STR-6F61DD7B53632CC333BC,STR-A1381CEB41898F753D78,ZDFHPRMYCCSWNO-NNTSECMXSA-N,ZDFHPRMYCCSWNO-KZNDPDLVSA-N,5.292429823902063,7.508638306165727,2.2162084822636636,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
WBULQNFTJPOIQV,STR-077D7D9C480B1958E4A3,STR-435B0469D981B3FB0F4C,WBULQNFTJPOIQV-XMMPIXPASA-N,WBULQNFTJPOIQV-DEOSSOPVSA-N,4.224025668870631,6.431798275933005,2.207772607062374,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
XOMQNBYRAKVRPP,STR-D2049436E0A3A1A3ABCB,STR-F935C48B5CC4A6286518,XOMQNBYRAKVRPP-VPUSJEBWSA-N,XOMQNBYRAKVRPP-XNMGPUDCSA-N,5.1095789811990855,7.275724130399211,2.1661451492001254,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
MJKJCKNSGHMGKB,STR-2CFC8301293C2B82E4A6,STR-D4CCFA73123FE6C43206,MJKJCKNSGHMGKB-VWLOTQADSA-N,MJKJCKNSGHMGKB-RUZDIDTESA-N,4.064492734175287,6.214670164989233,2.1501774308139456,connectivity-equivalent variant; stereochemistry/protonation/source identity requires review
