connectivity_key,connectivity_group_size,structure_id,standard_inchi_key,standardized_smiles,p_activity_median,series_id,sources,compound_ids
BAJNALQCHSQUMV,4,STR-BDF33E354DAE4939F700,BAJNALQCHSQUMV-AHKZPQOWSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](C[C@H](O)CN(C)C(C)C)C(C)C)C2)C(C)C,6.795880017344075,SER-F7B9115420359440,PubChem,168720890
BAJNALQCHSQUMV,4,STR-4F507812C726BEF9FE1F,BAJNALQCHSQUMV-XNMGPUDCSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](C[C@@H](O)CN(C)C(C)C)C(C)C)C2)C(C)C,6.309803919971486,SER-F7B9115420359440,PubChem,168720871
BAJNALQCHSQUMV,4,STR-BB65ACE90322DCB1AF4C,BAJNALQCHSQUMV-BDYUSTAISA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](C[C@H](O)CN(C)C(C)C)C(C)C)C2)C(C)C,4.735182176990463,SER-F7B9115420359440,PubChem,168720915
BAJNALQCHSQUMV,4,STR-97B7AB1532A54CF194EB,BAJNALQCHSQUMV-VPUSJEBWSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](C[C@@H](O)CN(C)C(C)C)C(C)C)C2)C(C)C,4.732593581247096,SER-F7B9115420359440,PubChem,168720878
GGIYEWDSYGQHQG,4,STR-918CDACAD6A3ADC5DD7E,GGIYEWDSYGQHQG-XNMGPUDCSA-N,CCN(CC)C[C@H](O)C[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,7.102372908709558,SER-F7B9115420359440,PubChem,168720921
GGIYEWDSYGQHQG,4,STR-B00EBDE672D151BF05E0,GGIYEWDSYGQHQG-VPUSJEBWSA-N,CCN(CC)C[C@H](O)C[C@@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,6.6777807052660805,SER-F7B9115420359440,PubChem,168720852
GGIYEWDSYGQHQG,4,STR-4FD9E5C0590E883535A1,GGIYEWDSYGQHQG-AHKZPQOWSA-N,CCN(CC)C[C@@H](O)C[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,5.34008379993015,SER-F7B9115420359440,PubChem,168720869
GGIYEWDSYGQHQG,4,STR-25FD7B5E9510CCADC7E9,GGIYEWDSYGQHQG-BDYUSTAISA-N,CCN(CC)C[C@@H](O)C[C@@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,5.260427655549908,SER-F7B9115420359440,PubChem,168720906
GORAKAHLMGAALX,4,STR-25ACFB2C189546A8CDF4,GORAKAHLMGAALX-LBNVMWSVSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](C[C@H](C)CN(C)CCOC)C(C)C)C2)C(C)C,6.585026652029182,SER-F7B9115420359440,PubChem,156531788
GORAKAHLMGAALX,4,STR-8E158147825BE52377FD,GORAKAHLMGAALX-NAKRPHOHSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](C[C@@H](C)CN(C)CCOC)C(C)C)C2)C(C)C,5.866461091629782,SER-F7B9115420359440,PubChem,168720911
