connectivity_key,structures,maximum_p_activity,minimum_p_activity,structure_ids,activity_span_log10
BAJNALQCHSQUMV,4,6.795880017344075,4.732593581247096,STR-4F507812C726BEF9FE1F;STR-97B7AB1532A54CF194EB;STR-BB65ACE90322DCB1AF4C;STR-BDF33E354DAE4939F700,2.0632864360969787
GGIYEWDSYGQHQG,4,7.102372908709558,5.260427655549908,STR-25FD7B5E9510CCADC7E9;STR-4FD9E5C0590E883535A1;STR-918CDACAD6A3ADC5DD7E;STR-B00EBDE672D151BF05E0,1.8419452531596505
GORAKAHLMGAALX,4,6.585026652029182,4.909741947068683,STR-25ACFB2C189546A8CDF4;STR-8E158147825BE52377FD;STR-A81FD784C5400DE7DDA0;STR-DADA1B47F9BA05C17134,1.6752847049604984
GTILRIPAVDNTIG,4,5.443697499232712,3.8535618647142256,STR-40E0E7043CC563C31D2B;STR-4C43BCDB33EE423B9ECC;STR-8131638FF64AE92C8993;STR-DE57A0D88EA762894E60,1.5901356345184867
GWDOGFQBFWTQSO,4,8.221848749616356,6.402304814074488,STR-09E54D8A9B952AC86D2A;STR-377B42435916FCE77AA8;STR-4342C90FE7E456F909D0;STR-913F46730FAF3C502A72,1.8195439355418683
HGNXEODCTLZEEQ,4,7.055517327849831,5.266000713461613,STR-00EAB22F635715DE8799;STR-19696E299ED51B516AAC;STR-34A22E8D07A7D066A07D;STR-7B1655073C306BE222B5,1.7895166143882175
LBZIHFPAAWTXAW,4,7.236572006437063,4.92009553233328,STR-B3713976D3715B01F866;STR-CD94BD50EF1121AE4E8B;STR-D1C0AC976A090EAA245E;STR-F2780D30E185047C1A28,2.3164764741037835
LPQSXRARPNKWLW,4,6.292429823902063,4.564155634015559,STR-0C1D3CBEB06D4D0E10FA;STR-28D764E3D7E6595F8FAA;STR-5C1522C845914F088582;STR-B53DCF54F31F57F891A0,1.7282741898865046
WZDYSMKHVNWSMO,4,5.995678626217357,4.392009141452825,STR-104DDD12D2A71EF11558;STR-13DD6488A0AF0E3C9021;STR-CB25E0AA22D6E282838A;STR-D863AF536402BD1BA1AF,1.6036694847645316
XOMQNBYRAKVRPP,4,7.275724130399211,5.1095789811990855,STR-148B8C4077863A1C12AD;STR-1E3B65B659C49B92801F;STR-D2049436E0A3A1A3ABCB;STR-F935C48B5CC4A6286518,2.1661451492001254
AUWUGRCKTQSGJY,3,7.251811972993799,6.95337673444808,STR-2427F8EACDBEB2183A48;STR-7F50B57FFABE6350EAF5;STR-C21882423633547B198F,0.2984352385457196
FFGIAMNWBZNVQQ,3,6.991399828238082,5.6020599913279625,STR-607EE12240E722EC08AE;STR-6CA56A9373037E1AABA1;STR-852CFBD6CFCE9E722768,1.3893398369101195
IFIHGWNVFQFWAX,3,7.102372908709558,6.366531544420413,STR-079F3F9421D0EFF32E86;STR-5151BA76FE38FE2C9C70;STR-96042A1C627CE2CBBC1F,0.7358413642891453
