structure_id_a,structure_id_b,core_smiles,variable_fragment_a,variable_fragment_b,transformation,core_heavy_atoms,variable_heavy_atoms_a,variable_heavy_atoms_b,p_activity_a,p_activity_b,absolute_delta_pactivity,achiral_morgan_tanimoto,is_activity_cliff,shared_assay_id,shared_document_id,evidence_context_grade
STR-09E54D8A9B952AC86D2A,STR-A723964BC2F481BF1509,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CNC(=O)O[C@H]1CCC[C@@H]1[*:1],CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],CNC(=O)O[C@H]1CCC[C@@H]1[*:1]>>CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],35,10,11,8.221848749616356,3.783570169123749,4.438278580492607,0.8354430379746836,True,True,True,same_assay
STR-7C604423619052A15AC8,STR-A723964BC2F481BF1509,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CC(=O)O[C@H]1CCC[C@@H]1[*:1],CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],CC(=O)O[C@H]1CCC[C@@H]1[*:1]>>CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],35,9,11,8.154901959985743,3.783570169123749,4.371331790861994,0.8571428571428571,True,True,True,same_assay
STR-33ECA7BC02C166AF1729,STR-787A0E4100519807DE55,c1ccc2c(c1)CCNC2(C1CCCC1)C1CCN(CC2CN([*:1])C2)CC1,O=S(=O)(c1ccc([*:1])cc1)C1CC1,N#Cc1ccc([*:1])nc1,O=S(=O)(c1ccc([*:1])cc1)C1CC1>>N#Cc1ccc([*:1])nc1,26,12,8,7.602059991327963,3.2400301424456925,4.362029848882271,0.589041095890411,True,True,True,same_assay
STR-5B65D30F2628A312D8CA,STR-A723964BC2F481BF1509,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CNC(=O)N[C@H]1CCC[C@@H]1[*:1],CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],CNC(=O)N[C@H]1CCC[C@@H]1[*:1]>>CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],35,10,11,8.045757490560675,3.783570169123749,4.262187321436926,0.7058823529411765,True,True,True,same_assay
STR-990708AC2AD0842F3BCB,STR-A723964BC2F481BF1509,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],NC(=O)O[C@H]1CCC[C@@H]1[*:1],CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],NC(=O)O[C@H]1CCC[C@@H]1[*:1]>>CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],35,9,11,8.045757490560675,3.783570169123749,4.262187321436926,0.8333333333333334,True,True,True,same_assay
STR-787A0E4100519807DE55,STR-C388369FA2BBC8775FB4,c1ccc2c(c1)CCNC2(C1CCCC1)C1CCN(CC2CN([*:1])C2)CC1,N#Cc1ccc([*:1])nc1,CCS(=O)(=O)c1ccc([*:1])cc1,N#Cc1ccc([*:1])nc1>>CCS(=O)(=O)c1ccc([*:1])cc1,26,8,11,3.2400301424456925,7.495699914119041,4.2556697716733485,0.581081081081081,True,True,True,same_assay
STR-79D75B6A88F0457FA1C2,STR-A723964BC2F481BF1509,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CCC(=O)O[C@H]1CCC[C@@H]1[*:1],CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],CCC(=O)O[C@H]1CCC[C@@H]1[*:1]>>CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],35,10,11,8.0,3.783570169123749,4.216429830876251,0.8354430379746836,True,True,True,same_assay
STR-A723964BC2F481BF1509,STR-C24E330B171F75FD816E,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],CC(=O)N[C@H]1CCC[C@@H]1[*:1],CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1]>>CC(=O)N[C@H]1CCC[C@@H]1[*:1],35,11,9,3.783570169123749,8.0,4.216429830876251,0.7228915662650602,True,True,True,same_assay
STR-787A0E4100519807DE55,STR-F4D7C79F147C9691D2EE,c1ccc2c(c1)CCNC2(C1CCCC1)C1CCN(CC2CN([*:1])C2)CC1,N#Cc1ccc([*:1])nc1,N#Cc1ccc([*:1])cc1,N#Cc1ccc([*:1])nc1>>N#Cc1ccc([*:1])cc1,26,8,8,3.2400301424456925,7.443697499232712,4.20366735678702,0.765625,True,True,True,same_assay
STR-A62EFE6B816DF994EE32,STR-A723964BC2F481BF1509,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],COC(=O)N[C@H]1CCC[C@@H]1[*:1],CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],COC(=O)N[C@H]1CCC[C@@H]1[*:1]>>CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],35,10,11,7.958607314841775,3.783570169123749,4.175037145718026,0.7261904761904762,True,True,True,same_assay
