structure_id,n_data_gaps,data_gaps,requires_herg_measurement,requires_pk_context
STR-00A1D39E2CC2B5C8F906,3,unknown_outside_applicability_domain;no_context_compatible_pk_observation;no_replicated_primary_menin_measurement,True,True
STR-00A2ED8561E7DE80CF5F,4,unknown_outside_applicability_domain;no_context_compatible_pk_observation;no_replicated_primary_menin_measurement;single_public_source,True,True
STR-00EAB22F635715DE8799,4,unknown_outside_applicability_domain;no_context_compatible_pk_observation;no_replicated_primary_menin_measurement;single_public_source,True,True
STR-01B5E6F5633C4AF7D768,5,unknown_outside_applicability_domain;no_context_compatible_pk_observation;no_replicated_primary_menin_measurement;single_public_source;medicinal_chemistry_property_review,True,True
STR-02403E375D780F15C68E,2,no_context_compatible_pk_observation;no_replicated_primary_menin_measurement,False,True
STR-025D3FCF7FCF0D4F8D78,3,no_context_compatible_pk_observation;no_replicated_primary_menin_measurement;medicinal_chemistry_property_review,False,True
STR-026263DECB2C2D5066E0,5,unknown_outside_applicability_domain;no_context_compatible_pk_observation;no_replicated_primary_menin_measurement;single_public_source;medicinal_chemistry_property_review,True,True
STR-0298F7259BA97653A4EC,3,no_context_compatible_pk_observation;no_replicated_primary_menin_measurement;single_public_source,False,True
STR-02EB512B892EF622930F,3,unknown_outside_applicability_domain;no_context_compatible_pk_observation;no_replicated_primary_menin_measurement,True,True
STR-03825B6A51D0B0744A5D,4,unknown_outside_applicability_domain;no_context_compatible_pk_observation;no_replicated_primary_menin_measurement;single_public_source,True,True
STR-0385B7365D2BE1443660,5,unknown_outside_applicability_domain;no_context_compatible_pk_observation;no_replicated_primary_menin_measurement;single_public_source;medicinal_chemistry_property_review,True,True
STR-03A6B3C8922F75633A24,4,unknown_outside_applicability_domain;no_context_compatible_pk_observation;no_replicated_primary_menin_measurement;single_public_source,True,True
STR-0449028356C19D0EDA3B,3,unknown_outside_applicability_domain;no_context_compatible_pk_observation;no_replicated_primary_menin_measurement,True,True
