structure_id,scenario,active_objectives,requires_herg_evidence,eligible,scenario_score,scenario_rank
STR-32FEF1FCB73DC9ADA20D,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-E4F36A98E00A8B27E8BD,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-DA4F708C5ED8977F505E,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-213F84F38B4A2B9413E0,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-972288F8D4D50B5E44FE,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-971462EFAE13318C0E1F,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-34DA364C524542BAF54B,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-070A2DB3A5A9041ED5EA,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-4DD88D5839EF83BB667C,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-F10D2D8306F0D924B76B,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-70C7272DAD1CFA014D53,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-33ECA7BC02C166AF1729,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-718AB1E455060CA519A1,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-5C740F62A4861DEC230E,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-FF8C3D50A964C03AC597,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-DC0F93BC28332B505B19,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-8053B83BB63EAAF32F61,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-7A321275AB46AC4BC765,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-6F8F59E84BD75C74A25C,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-72BC2AEC0C9B5FB0C4A6,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-801FAB4C61D8E9427A35,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-40B1021373C595DF25D7,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-4B2666E7A6862E420991,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-04F547F3C923840AF4FD,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-9AA3FF70960D58F79546,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-C6C7319A2332D2316F26,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-AD35C124559ACD44BE3E,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-CAC36670E13A5F8A68CE,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-CD3ABA81D633A3E66F13,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-AC15064651DFC45CB1E4,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-6F92DD97001CC1334310,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-4F7AB474CDF6E554BFA4,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-EF3629BE766B7858BC20,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-3F32DD5F6BE1258722C6,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-DC00BFEB0D64455B5FD8,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-76F421993337A53D2B7F,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-D69A42D7CD9CD1E56E5E,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-593538869CBBD1EB1B7D,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-F32727EFAF81D38C7334,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-5A6612853CA9F9DCEA91,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-469219CCEE1D20BDAA81,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-E06BC321EF0DF7985DE6,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-B5D946FAC7CA35C5B953,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-AA28B6BCC5A0854E325E,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-0FC172F4903F344CAD3C,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-684B7A6ABD719561B71F,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-78872E7698A00B065699,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-37892E2865C156499B87,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-D5BB346CA235EBEB0149,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-5F49DD17C62232E08D24,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-8A794CDE3E0D8F1C731C,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-73526DEBB89B97E16E0E,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-09E54D8A9B952AC86D2A,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-377B42435916FCE77AA8,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-1764644935E711FBFE13,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-DF974D42229069135D77,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-843DDF86851FBE55E4F0,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-1626E26FA9CDEFB597A0,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-87D12F3BEF86165DEC76,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-74748864A5B42BEF5513,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-07E4D9678C4B52D2093A,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-5F1ACBF53225066503F2,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-E2BF2500F662553F3983,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-C0C912780560E33EFE90,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-FBAAC5A0D7488D667D40,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-7C604423619052A15AC8,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-C24FEE7237633011F0F2,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-D294CA925BADF351BAE7,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-073AD85CF5EE1E9C87AB,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-BD3C32C55755152AB6D1,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-03A6B3C8922F75633A24,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-CB65BC34DC11FA6EB615,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-02EB512B892EF622930F,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-6BB8114D41C4FAE5B067,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-22ABADFB64D91C6FE7F1,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-882FF6702A9046F460CB,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-CC119FD289E2F37C242E,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-0F9EB3D0BA8F609CF473,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-83B9ECDFE7009BAA93EB,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-B2BA33058BFAB9451C2F,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-84B6FE8D37C3E3C10CC6,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-BEA4E748379BECE8B5BF,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-3A41597854480F3DF1D0,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-3815BA4AEEA1DB9CE8BA,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-404CEFB796E101ECF803,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-64726CEBE1C119AD1032,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-3ACD95779D752A7D6CB7,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-0449028356C19D0EDA3B,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-B42C6A96CD90C7D4D5BD,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-5B65D30F2628A312D8CA,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-0EB9DFE3F3CFA3016388,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-AA4D58E6580A56C280AF,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-C4A801F174E1E034721C,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-AD791DBCBA03342A8D18,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-B3713976D3715B01F866,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-75FB4472D88CB6D25B7C,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-A62EFE6B816DF994EE32,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-39162221D259757C11ED,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-D32C4FE03E32CED2B7FB,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-D8C56496AF4C9916F0F3,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-34A22E8D07A7D066A07D,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-1A02A52BF860C4D25F9A,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-357FF7F1EF112B333FD8,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-1E41EA89AAF9C5AE998F,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-7B4D282245C89175BEA3,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-A8561A75D1EC79B3C31D,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-1380FDB405A07D2654DB,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-00EAB22F635715DE8799,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-38C10D94ABD1F231B9D1,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-79D75B6A88F0457FA1C2,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-2D6C1263F87FC6A92E1C,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-A70185AE5063299B6804,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-D32B5F55634E895AF4B1,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-489F6A3FCA46D9527C55,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-913F46730FAF3C502A72,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-4EBA07B20CCDE9D2E322,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-BEF59984678C49DF2998,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-F48E770257629D6757F9,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-D3A497B4DE3B2E0622F3,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-918CDACAD6A3ADC5DD7E,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-142DC3F04BDF2ABC0F0A,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-1E16751A99CB4CD1A2D3,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-F935C48B5CC4A6286518,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-7574D071910577A50816,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-2E8A075F614E722CE8DF,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-EE40493687FAFB4EE02B,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-FF3501C24AF8F8557BD2,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-6C6AF265A6F8A1F38DBC,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-633580C0DD9263988A9F,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-00A2ED8561E7DE80CF5F,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-BA4B8BF78E2F3EDB8F63,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-4963BC6466091AE476AA,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-C221EB3A1209DD6114DE,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-F0B0F7988A153B3EBBAB,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-38B1872E6995BD9A227F,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-94C191645BE5B0A1978A,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-62EAA7BC9A8608AAD9F0,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-B437BC949901A5D8DC9A,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-148B8C4077863A1C12AD,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-E0F070490CE8D61ABB41,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-6D12E542BA59225B503F,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-CE767B2CC0FDE9DEDE13,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-648FC2156F27220D48EE,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-8327CD7E287E5727BD93,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-0C136D4784FF4E1D4A7F,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-452401AF18DD4279C7FE,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-8C3A97B1A2D095352AF3,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-ADF0DC68688651046789,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-2C30E7D0A7F4E210317C,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-36D06C665413C80AFB22,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-CA5FBB5B185EEEDFCC44,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-A3B4307502A8FF889516,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-CEC3B82DF09531954FAB,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-E79EEF3E7440D2C5F50E,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-BB5DA7F787A2FB885A08,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-851AFDDDDD073021FE40,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-147345C311E96CDE5202,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-3B3C5B252A05FD26B962,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-CBD434F7064DC5235A11,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-91DBBE357E18B4934420,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-D9830BB6778F6B1CAA5F,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-1574B99AB38B91861720,base_complete,potency;qed;property;evidence;herg,True,False,,
STR-34FE1D5BDCFE7B2EB7FE,base_complete,potency;qed;property;evidence;herg,True,True,0.7116028469055646,1
STR-0B18427EF6CEB8CC075B,base_complete,potency;qed;property;evidence;herg,True,True,0.6163304075665069,4
STR-21E735B2891431212E1A,base_complete,potency;qed;property;evidence;herg,True,True,0.5643210075987792,28
STR-DE2EA720A2F505856D97,base_complete,potency;qed;property;evidence;herg,True,True,0.5453210565446571,47
STR-DAA31E2085C9B01F8A70,base_complete,potency;qed;property;evidence;herg,True,True,0.5321108337927195,53
STR-C388369FA2BBC8775FB4,base_complete,potency;qed;property;evidence;herg,True,True,0.5228125919890745,59
STR-841FC2EFD5AAF36FB504,base_complete,potency;qed;property;evidence;herg,True,True,0.4758653726912929,101
STR-4A902F7AC5A334C3F331,base_complete,potency;qed;property;evidence;herg,True,True,0.6152988366471159,5
STR-571CCDCD3D693D6D5618,base_complete,potency;qed;property;evidence;herg,True,True,0.5803987404161708,17
STR-B56EF6AC340F28C175E6,base_complete,potency;qed;property;evidence;herg,True,True,0.5610094510892104,31
