selection_order,selection_category,selection_rationale,paired_cliff_id,structure_id,standardized_smiles,p_activity_median,series_id,series_size,qed,property_window_violation_count,herg_evidence_status,pk_observation_count,local_novelty_achiral,experimental_followup_tier
1,potent_safety_gap,potent/property-qualified public evidence; obtain direct hERG and compatible PK before progression,,STR-32FEF1FCB73DC9ADA20D,CC(=O)O[C@H]1CCC[C@@H]1C1(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)CN(C)Cc2ccc(F)cc21,8.522878745280337,SER-8B11BACADDC8B4B4,15,0.3825855173479281,0,unknown_outside_applicability_domain,0,0.0,priority_2_potent_safety_data_gap
2,potent_safety_gap,potent/property-qualified public evidence; obtain direct hERG and compatible PK before progression,,STR-E4F36A98E00A8B27E8BD,COC(=O)N[C@H]1CCC[C@@H]1[C@](Cn1ccnn1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,8.698970004336019,SER-034771967D4F78CF,1,0.2405884544829769,1,unknown_outside_applicability_domain,0,0.1568627450980392,priority_2_potent_safety_data_gap
3,potent_safety_gap,potent/property-qualified public evidence; obtain direct hERG and compatible PK before progression,,STR-DA4F708C5ED8977F505E,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,8.502182402701225,SER-0A8207C373DE3400,9,0.321666341925171,1,unknown_outside_applicability_domain,0,0.13541666666666663,priority_2_potent_safety_data_gap
4,potent_safety_gap,potent/property-qualified public evidence; obtain direct hERG and compatible PK before progression,,STR-213F84F38B4A2B9413E0,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CCCC1,7.8278038631574445,SER-8766DF06D1ECE89F,1,0.46437632740382245,0,unknown_outside_applicability_domain,0,0.016949152542372836,priority_2_potent_safety_data_gap
5,potent_safety_gap,potent/property-qualified public evidence; obtain direct hERG and compatible PK before progression,,STR-972288F8D4D50B5E44FE,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,7.796729909783022,SER-3BBBF6CEAC67F2A5,1,0.4163596540165264,0,unknown_outside_applicability_domain,0,0.12698412698412698,priority_2_potent_safety_data_gap
6,potent_safety_gap,potent/property-qualified public evidence; obtain direct hERG and compatible PK before progression,,STR-971462EFAE13318C0E1F,CN1Cc2ccccc2C(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)([C@H]2CCC[C@@H]2OC(N)=O)C1,8.522878745280337,SER-20F67B855744F824,19,0.3762183201027378,0,unknown_outside_applicability_domain,0,0.11250000000000004,priority_2_potent_safety_data_gap
7,potent_safety_gap,potent/property-qualified public evidence; obtain direct hERG and compatible PK before progression,,STR-34DA364C524542BAF54B,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,9.0,SER-B212B95A94D293C5,3,0.27336193397443753,1,unknown_outside_applicability_domain,0,0.08510638297872342,priority_2_potent_safety_data_gap
8,potent_safety_gap,potent/property-qualified public evidence; obtain direct hERG and compatible PK before progression,,STR-070A2DB3A5A9041ED5EA,CCN1Cc2ccccc2C(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)([C@H]2CCC[C@@H]2NC(=O)NC)C1,8.397940008672037,SER-8B11BACADDC8B4B4,15,0.4188212705599909,0,unknown_outside_applicability_domain,0,0.12658227848101267,priority_2_potent_safety_data_gap
9,potent_safety_gap,potent/property-qualified public evidence; obtain direct hERG and compatible PK before progression,,STR-4DD88D5839EF83BB667C,NS(=O)(=O)Cc1ccc(CN2CCC3(CCN(c4ncnc5sc(CC(F)(F)F)cc45)C3)C2)cc1,8.397940008672037,SER-0CFBA55DF63719F3,7,0.527932707540526,0,unknown_outside_applicability_domain,0,0.20833333333333337,priority_2_potent_safety_data_gap
10,potent_safety_gap,potent/property-qualified public evidence; obtain direct hERG and compatible PK before progression,,STR-F10D2D8306F0D924B76B,C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,8.698970004336019,SER-01C7163C23A2198D,4,0.24056053846144249,1,unknown_outside_applicability_domain,0,0.14423076923076927,priority_2_potent_safety_data_gap
11,potent_safety_gap,potent/property-qualified public evidence; obtain direct hERG and compatible PK before progression,,STR-70C7272DAD1CFA014D53,CC(C)N(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CN(C(=O)C3NC4CCC3CC4)C2)C1)C(C)C,8.154901959985743,SER-A61E4F29FD542291,1,0.5601901259998842,0,unknown_outside_applicability_domain,0,0.20253164556962022,priority_2_potent_safety_data_gap
12,potent_safety_gap,potent/property-qualified public evidence; obtain direct hERG and compatible PK before progression,,STR-33ECA7BC02C166AF1729,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CC1,7.602059991327963,SER-88BF110C8AC128BC,2,0.5428156071723601,0,unknown_outside_applicability_domain,0,0.017241379310344862,priority_2_potent_safety_data_gap
13,liability_characterization,potent chemistry with modeled/observed hERG concern; characterize liability and exposure margin,,STR-34FE1D5BDCFE7B2EB7FE,O=c1cccc2n1[C@@H]1C[C@H](C2)CN(CC(O)CCCc2ccccc2)C1,9.0,SER-87DF4ACBBC600AE2,1,0.8693079130263618,0,predicted_high_concern,0,0.7848101265822784,priority_3_potent_liability_flag
14,liability_characterization,potent chemistry with modeled/observed hERG concern; characterize liability and exposure margin,,STR-9E4FCF8CA68285C7D759,CC(=O)N[C@H]1CCC[C@@H]1C1(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5cnn(C)c5)cc4)C3)CC2)CNCc2ccccc21,8.397940008672037,SER-B210E620CAC4DB11,7,0.3913749689446152,0,predicted_high_concern,0,0.0,priority_3_potent_liability_flag
15,liability_characterization,potent chemistry with modeled/observed hERG concern; characterize liability and exposure margin,,STR-768449AFD0A1BD14A41D,CNC(=O)O[C@H]1CCC[C@@H]1C(Cn1ccnc1C)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,8.522878745280337,SER-647213101879D186,10,0.3661417999083218,0,predicted_high_concern,0,0.14634146341463417,priority_3_potent_liability_flag
16,liability_characterization,potent chemistry with modeled/observed hERG concern; characterize liability and exposure margin,,STR-0B18427EF6CEB8CC075B,C#CC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,8.397940008672037,SER-FBD8412D03D2F209,47,0.5496426370008535,0,predicted_high_concern,0,0.18181818181818177,priority_3_potent_liability_flag
17,liability_characterization,potent chemistry with modeled/observed hERG concern; characterize liability and exposure margin,,STR-4A902F7AC5A334C3F331,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN(C)C)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,8.769551078621726,SER-6F3389DAFB00746E,25,0.3730649894694384,0,predicted_high_concern,0,0.15000000000000002,priority_3_potent_liability_flag
18,liability_characterization,potent chemistry with modeled/observed hERG concern; characterize liability and exposure margin,,STR-33EC56FC5D9EE8140CC4,C=CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](C#N)(c5cccc(F)c5)[C@H]5CCC[C@@H]5OC(=O)NC)CC4)C3)cc2)cc1,8.698970004336019,SER-D0CCC78DDD1F06F9,22,0.23448115093128094,1,predicted_high_concern,0,0.0,priority_3_potent_liability_flag
19,liability_characterization,potent chemistry with modeled/observed hERG concern; characterize liability and exposure margin,,STR-BAFF2FF7D3D8F1D2F783,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2C[C@@H]1CNC(=O)CO1,8.443697499232712,SER-E8FAB356E73C31D0,3,0.3225900364299884,0,predicted_high_concern,2,0.0,priority_3_potent_liability_flag
20,liability_characterization,potent chemistry with modeled/observed hERG concern; characterize liability and exposure margin,,STR-1F39727F90F76C636B4B,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,8.397940008672037,SER-6F3389DAFB00746E,25,0.41166876595771296,0,predicted_high_concern,0,0.1392405063291139,priority_3_potent_liability_flag
21,novel_scaffold_exploration,exploration arm selected for local structural novelty and scaffold diversity,,STR-0B5E0ED39466F3487654,NCC(CCN1CC=C(c2ccc(Cl)cc2)CC1)(c1ccccc1)C1CCCC1,6.080921907623926,SER-B53BB290E6C8D9C2,1,0.6168518343918769,0,predicted_high_concern,0,0.6756756756756757,priority_5_context_only
22,novel_scaffold_exploration,exploration arm selected for local structural novelty and scaffold diversity,,STR-CBD434F7064DC5235A11,COCCCNCCC[C@H](C(C)C)N1CC2(CCN(C3=CN(Oc4ccc(F)cc4C(=O)N(C[13CH3])CC[13CH3])NC=N3)C2)C1,7.173925197299173,SER-D5D5779017A91B65,1,0.20372688793073052,1,unknown_outside_applicability_domain,0,0.42307692307692313,priority_2_potent_safety_data_gap
23,novel_scaffold_exploration,exploration arm selected for local structural novelty and scaffold diversity,,STR-2849978768635A47ED8E,Cc1nccn1CC(c1ccccc1)(C1CCCC1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,7.537602002101044,SER-B43CA4AD0B00D725,1,0.28723615559630467,1,predicted_high_concern,0,0.4137931034482759,priority_3_potent_liability_flag
24,novel_scaffold_exploration,exploration arm selected for local structural novelty and scaffold diversity,,STR-43E0D8D9D40EE11F8225,FC(F)Cc1cc2c(N3CCC4(CCN(Cc5ccc(N6CCOCC6)cc5)C4)C3)ncnc2s1,8.0,SER-9ECF8616A0B4413B,1,0.49988653643977365,0,predicted_high_concern,0,0.4,priority_4_chemistry_review
25,novel_scaffold_exploration,exploration arm selected for local structural novelty and scaffold diversity,,STR-452401AF18DD4279C7FE,O=S(=O)(c1ccccc1)c1ccc(N2CC(CN3CCC(C(CN4CCCC4)(c4ccccc4)[C@H]4C=CCC4)CC3)C2)cc1,7.657577319177793,SER-CB21B8EBB5EA0000,1,0.2404749010269373,1,unknown_outside_applicability_domain,0,0.3661971830985915,priority_2_potent_safety_data_gap
26,novel_scaffold_exploration,exploration arm selected for local structural novelty and scaffold diversity,,STR-633580C0DD9263988A9F,Cc1cc(S(=O)(=O)c2ccc(N3CC(CN4CCC(C5(C6=CCCC6)CN(C)Cc6ccccc65)CC4)C3)cc2)ccn1,7.055517327849831,SER-4C4BF83C9D3649D4,1,0.31849804191310116,0,unknown_outside_applicability_domain,0,0.3448275862068966,priority_2_potent_safety_data_gap
27,novel_scaffold_exploration,exploration arm selected for local structural novelty and scaffold diversity,,STR-062343CE45A5FA8286D4,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2[nH]c(C#N)cc12,7.494850021680094,SER-7316D5A44E17908B,1,0.3891495034252596,0,predicted_high_concern,3,0.32558139534883723,priority_3_potent_liability_flag
28,novel_scaffold_exploration,exploration arm selected for local structural novelty and scaffold diversity,,STR-B8749C56BFCE6CE70125,N#Cc1ccc(OCCCN2CC=C(C3(C4CCCC4)NCCc4ccccc43)CC2)cc1,6.154901959985743,SER-C6E2380FEBF64C42,1,0.4744533358735718,0,predicted_high_concern,0,0.31343283582089554,priority_5_context_only
29,activity_cliff_confirmation,confirm a high-similarity ≥100-fold potency cliff in a harmonized repeat assay,CLF-C354F656A653D47F,STR-72BF5FE38870FA3B6280,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCO)C(C)C)C2)C(C)C,4.051391450123564,SER-F7B9115420359440,176,0.5141199334030181,0,unknown_outside_applicability_domain,0,0.0,priority_5_context_only
30,activity_cliff_confirmation,confirm a high-similarity ≥100-fold potency cliff in a harmonized repeat assay,CLF-C354F656A653D47F,STR-7E1F0EE1EE4F776E8704,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCCOC)C(C)C)C2)C(C)C,8.527758663924915,SER-F7B9115420359440,176,0.30827029508121145,1,unknown_outside_applicability_domain,0,0.06024096385542166,priority_4_chemistry_review
31,activity_cliff_confirmation,confirm a high-similarity ≥100-fold potency cliff in a harmonized repeat assay,CLF-0867F2078539F102,STR-09E54D8A9B952AC86D2A,CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,8.221848749616356,SER-B92687DE56E5CCCB,44,0.35067617285133945,0,unknown_outside_applicability_domain,0,0.0,priority_2_potent_safety_data_gap
32,activity_cliff_confirmation,confirm a high-similarity ≥100-fold potency cliff in a harmonized repeat assay,CLF-0867F2078539F102,STR-A723964BC2F481BF1509,CC(C)C(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,3.783570169123749,SER-B92687DE56E5CCCB,44,0.2528651396217214,0,predicted_high_concern,0,0.0,priority_5_context_only
