task_id,task_type,evidence_domain,endpoint,assay_family,label_kind,label_unit,observation_kind,default_task_eligible,sensitivity_task_eligible,required_modalities,policy_version,row_count,relation_counts_json,intended_use,prohibited_claim
TASK-004A87834A39CAE50167DE09,sensitivity__herg__standard_binding_free_energy__herg_binding__kcal_mol__continuous_exact,herg,standard_binding_free_energy,herg_binding,continuous_exact,kcal/mol,derived,False,True,small_molecule_structure;protein_sequence,platform-task-contract-v1,1,"{""="":1}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-0F150248605B06D35054AB3A,default__other__ic50__other_bioactivity__nm__continuous_censored,other,IC50,other_bioactivity,continuous_censored,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,57001,"{""<"":2055,""<="":117,"">"":54570,"">="":154,""interval"":105}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-16651799910722449EFC3A06,default__binding__ki__other_bioactivity__nm__continuous_censored,binding,Ki,other_bioactivity,continuous_censored,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,74298,"{""<"":229,""<="":1,"">"":74053,"">="":7,""interval"":8}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-16D26014A6EE2CCBB0F180D8,default__other__ec50__other_bioactivity__nm__continuous_censored,other,EC50,other_bioactivity,continuous_censored,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,21736,"{""<"":1066,""<="":12,"">"":20202,"">="":90,""interval"":366}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-185C1D81F9F284D5C0B37F92,default__herg__ic50__herg_functional__nm__continuous_exact,herg,IC50,herg_functional,continuous_exact,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,137,"{""="":137}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-1B148EB4AA206DC14BAAAE7C,default__binding__kd__other_bioactivity__nm__continuous_censored,binding,Kd,other_bioactivity,continuous_censored,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,360,"{""<"":26,"">"":333,"">="":1}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-1DCA90F0D65AD70DE64631D2,sensitivity__binding__standard_binding_free_energy__other_bioactivity__kcal_mol__continuous_exact,binding,standard_binding_free_energy,other_bioactivity,continuous_exact,kcal/mol,derived,False,True,small_molecule_structure;protein_sequence,platform-task-contract-v1,5458,"{""="":5458}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-24FCDD605CA028A5E5121026,default__binding__kd__other_bioactivity__nm__continuous_exact,binding,Kd,other_bioactivity,continuous_exact,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,5458,"{""="":5458}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-28F030031D94BE74C58104B5,default__binding__kd__binding__nm__continuous_censored,binding,Kd,binding,continuous_censored,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,95999,"{""<"":3426,""<="":48,"">"":92372,"">="":98,""interval"":55}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-3170A418BCD7BD16A41B2DA6,default__binding__ic50__pk_adme__nm__continuous_exact,binding,IC50,pk_adme,continuous_exact,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,1,"{""="":1}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-4CF2E06E5EFAC79EBC548ADE,default__binding__ki__other_bioactivity__nm__continuous_exact,binding,Ki,other_bioactivity,continuous_exact,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,49818,"{""="":49818}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-57C6160C66621BD45C149F77,default__binding__ki__binding__nm__continuous_exact,binding,Ki,binding,continuous_exact,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,407926,"{""="":407926}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-5D547122E1CE24483AB2BE65,default__binding__ki__pk_adme__nm__continuous_exact,binding,Ki,pk_adme,continuous_exact,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,15,"{""="":15}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-66C4C3DD1BBEBB893306A8E1,default__binding__ec50__pk_adme__nm__continuous_exact,binding,EC50,pk_adme,continuous_exact,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,4,"{""="":4}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-6ADA59E8239A06F9F9A019FE,default__other__ec50__other_bioactivity__nm__continuous_exact,other,EC50,other_bioactivity,continuous_exact,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,91936,"{""="":91936}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-719C577BE05E84FE7F1DC58E,default__binding__kd__binding__nm__continuous_exact,binding,Kd,binding,continuous_exact,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,62334,"{""="":62334}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-862A7CCDB5290EB3CD6BF292,sensitivity__herg__standard_binding_free_energy__herg_other__kcal_mol__continuous_exact,herg,standard_binding_free_energy,herg_other,continuous_exact,kcal/mol,derived,False,True,small_molecule_structure;protein_sequence,platform-task-contract-v1,44,"{""="":44}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-8985AC2B746DC2CF410D1ACE,default__binding__ic50__binding__nm__continuous_exact,binding,IC50,binding,continuous_exact,nM,experimental_summary,True,False,small_molecule_structure;protein_sequence,platform-task-contract-v1,1107075,"{""="":1107075}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
TASK-9039BC395D75BD7807787ADB,sensitivity__binding__standard_binding_free_energy__pk_adme__kcal_mol__continuous_exact,binding,standard_binding_free_energy,pk_adme,continuous_exact,kcal/mol,derived,False,True,small_molecule_structure;protein_sequence,platform-task-contract-v1,2,"{""="":2}",endpoint-specific supervised modeling under frozen group/temporal splits,"not clinical efficacy, QT/TdP risk, or cross-endpoint equivalence"
