dataset,reason,n_rows,n_structures
menin,unsupported_endpoint,4039,1089
menin,eligible,3798,1471
menin,missing_or_non_numeric_value,3720,1014
menin,missing_unit,3300,1016
menin,missing_structure,1382,1
menin,chembl_nonstandard_measurement,949,453
menin,unsupported_unit,699,488
menin,target_not_relevant,268,250
menin,chembl_data_validity_warning,45,43
menin,nonpositive_value,29,6
menin,chembl_potential_duplicate,22,19
menin,invalid_structure,2,1
herg,unsupported_endpoint,17959,11559
herg,eligible,17654,15926
herg,chembl_nonstandard_measurement,11908,6217
herg,unsupported_unit,11212,8407
herg,missing_or_non_numeric_value,10545,5228
herg,missing_unit,6563,4092
herg,chembl_potential_duplicate,2223,1386
herg,nonpositive_value,547,454
herg,chembl_data_validity_warning,482,380
herg,assay_variant_excluded,258,35
herg,missing_structure,102,1
