structure_id,endpoint,assay_family,n_measurements,n_source_rows,n_cross_source_mirror_rows_collapsed,n_sources,n_exact_measurements,n_censored_measurements,n_approximate_measurements,p_activity_median,p_activity_best,p_activity_min,value_nm_median,value_nm_best,endpoints,n_endpoints,endpoint_families,n_endpoint_families,assay_families,n_assay_families,sources,compound_ids,target_names,document_years,relations,smiles,original_smiles,canonical_smiles,standardized_smiles,inchi_key,standard_inchi_key,structure_standardization_status,activity_range_log10,is_activity_heterogeneous,heterogeneity_log_spread_threshold,censoring_policy,aggregation_value_semantics,potency_class,active_100nM,active_1uM
STR-510CF8EB9D92CA4FC9A9,Ki,biochemical_binding,1,1,0,1,1,0,0,10.301029995663981,10.301029995663981,10.301029995663981,0.05,0.05,Ki,1,binding_affinity,1,biochemical_binding,1,PubChem,71549453,,2016,=,O=S(=O)(NCB(O)O)c1ccc(-c2nn[nH]n2)cc1C(F)(F)F,B(CNS(=O)(=O)C1=C(C=C(C=C1)C2=NNN=N2)C(F)(F)F)(O)O,O=S(=O)(NCB(O)O)c1ccc(-c2nn[nH]n2)cc1C(F)(F)F,O=S(=O)(NCB(O)O)c1ccc(-c2nn[nH]n2)cc1C(F)(F)F,KJEUORQIESDSSV-UHFFFAOYSA-N,KJEUORQIESDSSV-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True
STR-7E1F0EE1EE4F776E8704,IC50,biochemical_inhibition,2,2,0,1,2,0,0,10.002182402701225,10.045757490560675,9.958607314841775,0.1,0.09,IC50,1,inhibitory_potency,1,biochemical_inhibition,1,BindingDB,689587,Menin,,=,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCCOC)C(C)C)C2)C(C)C,CCN(C(C)C)C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(CN(C2)[C@H](CCCNCCOC)C(C)C)C1,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCCOC)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCCOC)C(C)C)C2)C(C)C,PFCVKXYYUQIAHS-AREMUKBSSA-N,PFCVKXYYUQIAHS-AREMUKBSSA-N,standardized,0.08715017571890016,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True
STR-B2AA5A0FB80A562D611E,Ki,biochemical_binding,1,1,0,1,1,0,0,9.98296666070122,9.98296666070122,9.98296666070122,0.104,0.104,Ki,1,binding_affinity,1,biochemical_binding,1,ChEMBL,CHEMBL5267644,Menin,2024,=,CC(C)N(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@H]3CC[C@H](NS(C)(=O)=O)CC3)CC2)C1)C(C)C,CC(C)N(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@H]3CC[C@H](NS(C)(=O)=O)CC3)CC2)C1)C(C)C,CC(C)N(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@H]3CC[C@H](NS(C)(=O)=O)CC3)CC2)C1)C(C)C,CC(C)N(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@H]3CC[C@H](NS(C)(=O)=O)CC3)CC2)C1)C(C)C,ADHHOUXZPBYYSU-YOCNBXQISA-N,ADHHOUXZPBYYSU-YOCNBXQISA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True
STR-CAD50D46562C0D29D331,IC50,biochemical_inhibition,2,2,0,1,2,0,0,9.8767507096021,10.008773924307505,9.744727494896694,0.139,0.098,IC50,1,inhibitory_potency,1,biochemical_inhibition,1,BindingDB,689589;689590,Menin,,=,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CCOC)C(C)C)C2)C(C)C,CCN(C(C)C)C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(CN(C2)[C@H](CCCN(C)CCOC)C(C)C)C1,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CCOC)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CCOC)C(C)C)C2)C(C)C,PDUGAXSIWNMIBQ-HHHXNRCGSA-N,PDUGAXSIWNMIBQ-HHHXNRCGSA-N,standardized,0.26404642941081136,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True
STR-BD9FCFA15F8B311D296A,IC50,biochemical_inhibition,1,1,0,1,1,0,0,9.301029995663981,9.301029995663981,9.301029995663981,0.5,0.5,IC50,1,inhibitory_potency,1,biochemical_inhibition,1,PubChem,172447626,,2025,=,CNc1nc(NC2CCN(Cc3ccc4c(cc(C#N)n4CC45CC(NC=O)(C4)C5)c3C)CC2)c2cc(CCC(F)(F)F)sc2n1,CC1=C(C=CC2=C1C=C(N2CC34CC(C3)(C4)NC=O)C#N)CN5CCC(CC5)NC6=C7C=C(SC7=NC(=N6)NC)CCC(F)(F)F,CNc1nc(NC2CCN(Cc3ccc4c(cc(C#N)n4CC45CC(NC=O)(C4)C5)c3C)CC2)c2cc(CCC(F)(F)F)sc2n1,CNc1nc(NC2CCN(Cc3ccc4c(cc(C#N)n4CC45CC(NC=O)(C4)C5)c3C)CC2)c2cc(CCC(F)(F)F)sc2n1,XVEVAEBDYQDZRJ-UHFFFAOYSA-N,XVEVAEBDYQDZRJ-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True
STR-DC80B2DAE37FF4BEDB8F,IC50,biochemical_inhibition,1,1,0,1,1,0,0,9.301029995663981,9.301029995663981,9.301029995663981,0.5,0.5,IC50,1,inhibitory_potency,1,biochemical_inhibition,1,PubChem,130443890,,2024,=,CNc1nc(NC2CCN(Cc3ccc4c(cc(C#N)n4CC45CC(NC=O)(C4)C5)c3C)CC2)c2cc(CC(F)(F)F)sc2n1,CC1=C(C=CC2=C1C=C(N2CC34CC(C3)(C4)NC=O)C#N)CN5CCC(CC5)NC6=C7C=C(SC7=NC(=N6)NC)CC(F)(F)F,CNc1nc(NC2CCN(Cc3ccc4c(cc(C#N)n4CC45CC(NC=O)(C4)C5)c3C)CC2)c2cc(CC(F)(F)F)sc2n1,CNc1nc(NC2CCN(Cc3ccc4c(cc(C#N)n4CC45CC(NC=O)(C4)C5)c3C)CC2)c2cc(CC(F)(F)F)sc2n1,MBFYNGBMAACLAT-UHFFFAOYSA-N,MBFYNGBMAACLAT-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True
STR-073AD85CF5EE1E9C87AB,Ki,biochemical_binding,1,2,1,2,1,0,0,9.0,9.0,9.0,1.0,1.0,Ki,1,binding_affinity,1,biochemical_binding,1,BindingDB;ChEMBL,CHEMBL4585198,Menin,2019,=,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,MIDBFVUJIVFIOM-UHFFFAOYSA-N,MIDBFVUJIVFIOM-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True
STR-073AD85CF5EE1E9C87AB,Ki,cellular_functional,1,1,0,1,1,0,0,9.0,9.0,9.0,1.0,1.0,Ki,1,binding_affinity,1,cellular_functional,1,PubChem,132090541,,2021,=,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,CCN1CC2=CC=CC=C2C(C1)(C3CCCC3)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,MIDBFVUJIVFIOM-UHFFFAOYSA-N,MIDBFVUJIVFIOM-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True
STR-34DA364C524542BAF54B,IC50,biochemical_binding,1,1,0,1,1,0,0,9.0,9.0,9.0,1.0,1.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL,CHEMBL4530300,Menin,2020,=,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,LAHJBSUOBULURD-HHKHNSFJSA-N,LAHJBSUOBULURD-HHKHNSFJSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True
STR-34DA364C524542BAF54B,IC50,biochemical_inhibition,1,1,0,1,1,0,0,9.0,9.0,9.0,1.0,1.0,IC50,1,inhibitory_potency,1,biochemical_inhibition,1,BindingDB,50511905,Menin,,=,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CC(F)(F)C2)CC1)c1cccc(F)c1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,LAHJBSUOBULURD-HHKHNSFJSA-N,LAHJBSUOBULURD-HHKHNSFJSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True
