source,activity_id,molecule_chembl_id,structure_id,smiles,original_smiles,inchi_key,standard_type,standard_relation,standard_value,relation,value_raw,value_numeric,standard_units,admet_category,admet_endpoint,admet_directionality,admet_inclusion_rule,species,matrix,administration_route,experimental_context,assay_description,assay_type,target_chembl_id,target_pref_name,document_chembl_id,document_year,is_admet_analysis_ready,admet_quality_flags,structure_standardization_status
ChEMBL,15626010,CHEMBL3126192,STR-82C71875AD45FB58A735,N#Cc1ccc(OCCCN2CCC(C(O)(c3nccs3)C3CCCC3)CC2)cc1,N#Cc1ccc(OCCCN2CCC(C(O)(c3nccs3)C3CCCC3)CC2)cc1,INLKZOGWBUSMOY-UHFFFAOYSA-N,Vdss,=,,=,,,,distribution,volume_of_distribution,context_dependent,type:volume_distribution,rat,,intravenous,in_vivo,"Volume of distribution at steady state in rat at 0.2 mg/kg, iv",A,CHEMBL376,Rattus norvegicus,CHEMBL3585303,2015.0,False,missing_or_non_numeric_value;missing_unit,standardized
ChEMBL,15626017,CHEMBL3126192,STR-82C71875AD45FB58A735,N#Cc1ccc(OCCCN2CCC(C(O)(c3nccs3)C3CCCC3)CC2)cc1,N#Cc1ccc(OCCCN2CCC(C(O)(c3nccs3)C3CCCC3)CC2)cc1,INLKZOGWBUSMOY-UHFFFAOYSA-N,t1/2,=,,=,,,,pharmacokinetics,terminal_half_life,higher_is_more_exposure,type+description:half_life,rat,,intravenous,in_vivo,"Half life in rat at 0.2 mg/kg, iv",A,CHEMBL376,Rattus norvegicus,CHEMBL3585303,2015.0,False,missing_or_non_numeric_value;missing_unit,standardized
ChEMBL,15626024,CHEMBL3126192,STR-82C71875AD45FB58A735,N#Cc1ccc(OCCCN2CCC(C(O)(c3nccs3)C3CCCC3)CC2)cc1,N#Cc1ccc(OCCCN2CCC(C(O)(c3nccs3)C3CCCC3)CC2)cc1,INLKZOGWBUSMOY-UHFFFAOYSA-N,CL,=,,=,,,,pharmacokinetics,systemic_clearance,lower_is_more_exposure,type+description:clearance,rat,plasma,intravenous,in_vivo,"Plasma clearance in rat at 0.2 mg/kg, iv",A,CHEMBL376,Rattus norvegicus,CHEMBL3585303,2015.0,False,missing_or_non_numeric_value;missing_unit,standardized
ChEMBL,15626030,CHEMBL3126199,STR-EB3EDBE36DF9F6873496,NS(=O)(=O)c1ccc(OCCCN2CCC(C(O)(c3ccccn3)C3CCCC3)CC2)cc1,NS(=O)(=O)c1ccc(OCCCN2CCC(C(O)(c3ccccn3)C3CCCC3)CC2)cc1,NQXVDDGKDJESCO-UHFFFAOYSA-N,Fu,=,0.342,=,0.342,0.342,,distribution,fraction_unbound,higher_is_more_unbound,type+description:protein_binding,mouse,plasma,,in_vitro,Unbound fraction in mouse plasma,A,CHEMBL613589,Plasma,CHEMBL3585303,2015.0,False,missing_unit,standardized
ChEMBL,15626031,CHEMBL3126192,STR-82C71875AD45FB58A735,N#Cc1ccc(OCCCN2CCC(C(O)(c3nccs3)C3CCCC3)CC2)cc1,N#Cc1ccc(OCCCN2CCC(C(O)(c3nccs3)C3CCCC3)CC2)cc1,INLKZOGWBUSMOY-UHFFFAOYSA-N,Fu,=,0.192,=,0.192,0.192,,distribution,fraction_unbound,higher_is_more_unbound,type+description:protein_binding,mouse,plasma,,in_vitro,Unbound fraction in mouse plasma,A,CHEMBL613589,Plasma,CHEMBL3585303,2015.0,False,missing_unit,standardized
ChEMBL,15626037,CHEMBL3126199,STR-EB3EDBE36DF9F6873496,NS(=O)(=O)c1ccc(OCCCN2CCC(C(O)(c3ccccn3)C3CCCC3)CC2)cc1,NS(=O)(=O)c1ccc(OCCCN2CCC(C(O)(c3ccccn3)C3CCCC3)CC2)cc1,NQXVDDGKDJESCO-UHFFFAOYSA-N,Fu,=,0.291,=,0.291,0.291,,distribution,fraction_unbound,higher_is_more_unbound,type+description:protein_binding,human,plasma,,in_vitro,Unbound fraction in human plasma,A,CHEMBL613424,Plasma,CHEMBL3585303,2015.0,False,missing_unit,standardized
ChEMBL,15626038,CHEMBL3126192,STR-82C71875AD45FB58A735,N#Cc1ccc(OCCCN2CCC(C(O)(c3nccs3)C3CCCC3)CC2)cc1,N#Cc1ccc(OCCCN2CCC(C(O)(c3nccs3)C3CCCC3)CC2)cc1,INLKZOGWBUSMOY-UHFFFAOYSA-N,Fu,=,0.117,=,0.117,0.117,,distribution,fraction_unbound,higher_is_more_unbound,type+description:protein_binding,human,plasma,,in_vitro,Unbound fraction in human plasma,A,CHEMBL613424,Plasma,CHEMBL3585303,2015.0,False,missing_unit,standardized
ChEMBL,5080962,CHEMBL1747,STR-CCECD648E5D9E73BF475,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,NLVFBUXFDBBNBW-PBSUHMDJSA-N,Fu,=,1.0,=,1.0,1.0,,distribution,fraction_unbound,higher_is_more_unbound,type+description:protein_binding,human,,intravenous,unspecified,Fraction unbound in human after iv administration,A,CHEMBL612558,ADMET,CHEMBL1614632,2008.0,False,missing_unit,standardized
ChEMBL,5316157,CHEMBL1747,STR-CCECD648E5D9E73BF475,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,NLVFBUXFDBBNBW-PBSUHMDJSA-N,Hepatotoxicity,=,,=,,,,toxicity,hepatotoxicity,lower_is_safer,type:hepatotoxicity,rat,,,unspecified,Literature-mined public compounds from Greene et al multi-species hepatotoxicity modelling dataset,A,CHEMBL1697861,Hepatotoxicity,CHEMBL1697692,2010.0,False,missing_or_non_numeric_value;missing_unit,standardized
ChEMBL,5317001,CHEMBL1747,STR-CCECD648E5D9E73BF475,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,NLVFBUXFDBBNBW-PBSUHMDJSA-N,Hepatotoxicity,=,,=,,,,toxicity,hepatotoxicity,lower_is_safer,type:hepatotoxicity,human,,,unspecified,Human drug-induced liver injury (DILI) modelling dataset from Ekins et al,A,CHEMBL1697861,Hepatotoxicity,CHEMBL1697723,2010.0,False,missing_or_non_numeric_value;missing_unit,standardized
