action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,12639597,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000034,BAO_0000357,single protein format,N=C(N)NCCC[C@H](NC(=O)COCCOCCOCCNC(=O)c1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@H]1CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cc(F)cc(F)c2)NC1=O,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '5.19', 'le': None, 'lle': None, 'sei': None}",,CHEMBL2314822,,CHEMBL2314822,8.85,0,http://www.openphacts.org/units/Nanomolar,1844988,=,1,1,=,,Kd,nM,,1.4,CHEMBL1615381,Homo sapiens,Menin,9606,,,Kd,nM,UO_0000065,,1.4
,,12639598,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000034,BAO_0000357,single protein format,CC(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCCCCC(=O)NCCCCCC(=O)N[C@@H](CCCCNC(=O)c1ccc2c(c1)C(=O)OC21c2ccc(O)cc2OC2C=C(O)C=CC21)C(N)=O)[C@@H](C)O,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '3.18', 'le': None, 'lle': None, 'sei': None}",,CHEMBL2314821,,CHEMBL2314821,7.80,0,http://www.openphacts.org/units/Nanomolar,1844987,=,1,1,=,,Kd,nM,,15.9,CHEMBL1615381,Homo sapiens,Menin,9606,,,Kd,nM,UO_0000065,,15.9
,,12639599,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2cc(F)cc(F)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL2311406,J Med Chem,2013,,,CHEMBL2314820,,CHEMBL2314820,,0,http://www.openphacts.org/units/Nanomolar,1844986,=,1,1,=,,Ki,nM,,143000.0,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,143000.0
,,12639600,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '10.22', 'le': '0.20', 'lle': '7.38', 'sei': '3.40'}",,CHEMBL2314819,,CHEMBL2314819,8.33,0,http://www.openphacts.org/units/Nanomolar,1844985,=,1,1,=,,Ki,nM,,4.7,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,4.7
,,12639601,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '8.67', 'le': '0.17', 'lle': '6.10', 'sei': '2.82'}",,CHEMBL2314818,,CHEMBL2314818,6.91,0,http://www.openphacts.org/units/Nanomolar,1844984,=,1,1,=,,Ki,nM,,123.0,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,123.0
,,12639602,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2F)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '9.49', 'le': '0.18', 'lle': '6.75', 'sei': '3.09'}",,CHEMBL2314817,,CHEMBL2314817,7.56,0,http://www.openphacts.org/units/Nanomolar,1844983,=,1,1,=,,Ki,nM,,27.5,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,27.5
,,12639603,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc(F)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '10.25', 'le': '0.20', 'lle': '7.36', 'sei': '3.33'}",,CHEMBL2314816,,CHEMBL2314816,8.17,0,http://www.openphacts.org/units/Nanomolar,1844982,=,1,1,=,,Ki,nM,,6.8,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,6.8
,,12639604,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc(-c3ccccc3)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '5.68', 'le': '0.11', 'lle': '2.51', 'sei': '1.98'}",,CHEMBL2314815,,CHEMBL2314815,4.85,0,http://www.openphacts.org/units/Nanomolar,1844981,=,1,1,=,,Ki,nM,,14000.0,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,14000.0
,,12639605,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,CC(C)Cc1cccc(C[C@@H]2NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCNC(=N)N)NC(=O)C3(CCC3)NC(=O)[C@@H]3CCCN3C2=O)c1,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '5.91', 'le': '0.11', 'lle': '3.07', 'sei': '2.02'}",,CHEMBL2314814,,CHEMBL2314814,4.94,0,http://www.openphacts.org/units/Nanomolar,1844980,=,1,1,=,,Ki,nM,,11600.0,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,11600.0
,,12639606,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,CCc1cccc(C[C@@H]2NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCNC(=N)N)NC(=O)C3(CCC3)NC(=O)[C@@H]3CCCN3C2=O)c1,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '7.28', 'le': '0.14', 'lle': '4.65', 'sei': '2.40'}",,CHEMBL2314813,,CHEMBL2314813,5.88,0,http://www.openphacts.org/units/Nanomolar,1844979,=,1,1,=,,Ki,nM,,1330.0,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,1330.0
,,12639607,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc(C(F)(F)F)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '7.25', 'le': '0.14', 'lle': '4.45', 'sei': '2.51'}",,CHEMBL2314576,,CHEMBL2314576,6.14,0,http://www.openphacts.org/units/Nanomolar,1844676,=,1,1,=,,Ki,nM,,725.0,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,725.0
,,12639608,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,Cc1cccc(C[C@@H]2NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCNC(=N)N)NC(=O)C3(CCC3)NC(=O)[C@@H]3CCCN3C2=O)c1,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '8.17', 'le': '0.16', 'lle': '5.50', 'sei': '2.65'}",,CHEMBL2314575,,CHEMBL2314575,6.48,0,http://www.openphacts.org/units/Nanomolar,1844675,=,1,1,=,,Ki,nM,,332.0,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,332.0
,,12639609,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(Cl)cc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '7.70', 'le': '0.15', 'lle': '4.94', 'sei': '2.56'}",,CHEMBL2314574,,CHEMBL2314574,6.26,0,http://www.openphacts.org/units/Nanomolar,1844674,=,1,1,=,,Ki,nM,,549.0,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,549.0
,,12639610,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc(Cl)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '9.04', 'le': '0.18', 'lle': '6.03', 'sei': '3.00'}",,CHEMBL2314573,,CHEMBL2314573,7.35,0,http://www.openphacts.org/units/Nanomolar,1844673,=,1,1,=,,Ki,nM,,44.6,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,44.6
,,12639611,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2Cl)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '9.25', 'le': '0.18', 'lle': '6.20', 'sei': '3.07'}",,CHEMBL2314572,,CHEMBL2314572,7.52,0,http://www.openphacts.org/units/Nanomolar,1844672,=,1,1,=,,Ki,nM,,30.0,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,30.0
,,12639612,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC2CCCCC2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '7.72', 'le': '0.15', 'lle': '4.66', 'sei': '2.48'}",,CHEMBL2314571,,CHEMBL2314571,6.06,0,http://www.openphacts.org/units/Nanomolar,1844671,=,1,1,=,,Ki,nM,,862.0,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,862.0
,,12639613,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)NCCC[C@@H]1NC(=O)C2(CCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '7.29', 'le': '0.14', 'lle': '4.72', 'sei': '2.36'}",,CHEMBL2314570,,CHEMBL2314570,5.78,0,http://www.openphacts.org/units/Nanomolar,1844670,=,1,1,=,,Ki,nM,,1660.0,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,1660.0
,,12639614,[],CHEMBL2320318,Binding affinity to menin (unknown origin) after 60 mins by fluorescence polarization assay,B,,,BAO_0000192,BAO_0000357,single protein format,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,,,CHEMBL2311406,J Med Chem,2013,"{'bei': '9.72', 'le': '0.18', 'lle': '6.90', 'sei': '3.09'}",,CHEMBL2314569,,CHEMBL2314569,7.57,0,http://www.openphacts.org/units/Nanomolar,1844669,=,1,1,=,,Ki,nM,,26.7,CHEMBL1615381,Homo sapiens,Menin,9606,,,Ki,nM,UO_0000065,,26.7
