PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,318375133,72201086,CC1(CN=C(S1)N2CCN(CC2)C3=C4C=C(SC4=NC=N3)CC(F)(F)F)C,Active,,,,0.1183,IC50,=,118.3,nM,
2,336873618,66571643,C1CN(CCC1CN[C@@H]2C[C@H]2C3=CC=CC=C3)CC4=CC=C(C=C4)C(=O)O,Inactive,,,Potential missing data,,IC50,,,,Not Active
3,374263536,73417116,C1[C@H]([C@@H]1N)C2=CC=CC=C2.C1[C@@H]([C@H]1N)C2=CC=CC=C2,Inactive,,,Potential missing data,,IC50,,,,Not Active
4,440112763,155512517,C1CC(CCC1N[C@@H]2C[C@H]2C3=CC=CC=C3)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,50.75,IC50,=,50750,nM,
5,440115449,155514293,C1CN(CCC1N[C@@H]2C[C@H]2C3=CC(=C(C=C3)F)F)C4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,100,IC50,>,100000,nM,
6,440117999,155515963,C1CN(CCC1N[C@@H]2C[C@H]2C3=CC=CC=C3)C4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,10.24,IC50,=,10240,nM,
7,440122580,155519027,C1CC(CCC1N[C@H]2C[C@@H]2C3=CC=CC=C3)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,100,IC50,>,100000,nM,
8,440150116,155512517,C1CC(CCC1N[C@@H]2C[C@H]2C3=CC=CC=C3)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,36.93,IC50,=,36930,nM,
9,440161450,155542351,C1CC(CCC1CN[C@@H]2C[C@H]2C3=CC=CC=C3)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,100,IC50,>,100000,nM,
10,440165820,155544104,C1CN(CCC1N[C@H]2C[C@@H]2C3=CC=CC=C3)C4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,34.54,IC50,=,34540,nM,
11,440170245,155519027,C1CC(CCC1N[C@H]2C[C@@H]2C3=CC=CC=C3)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,24.73,IC50,=,24730,nM,
12,440173445,155547117,C1CC(CCC1N[C@@H]2C[C@H]2C3=CC(=C(C=C3)F)F)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,Active,,,,2.13,IC50,=,2130,nM,
13,440184757,155551671,C1CN(CCC1CN[C@H]2C[C@@H]2C3=CC=CC=C3)C4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,100,IC50,>,100000,nM,
14,440193462,155555069,C1CC(CCC1CN[C@H]2C[C@@H]2C3=CC=CC=C3)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,100,IC50,>,100000,nM,
15,440199236,155557424,C1CC(CCC1CN[C@@H]2C[C@H]2C3=CC(=C(C=C3)F)F)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,100,IC50,>,100000,nM,
16,440209876,155561606,C1CN(CCC1CN[C@@H]2C[C@H]2C3=CC=CC=C3)C4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,17.33,IC50,=,17330,nM,
17,440226849,155547117,C1CC(CCC1N[C@@H]2C[C@H]2C3=CC(=C(C=C3)F)F)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,100,IC50,>,100000,nM,
18,440228386,155568919,C1CN(CCC1CN[C@@H]2C[C@H]2C3=CC(=C(C=C3)F)F)C4=C5C=C(SC5=NC=N4)CC(F)(F)F,Unspecified,,,,30.94,IC50,=,30940,nM,
