PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,PubChem Standard Value,IC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,MICROMOLAR,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,
1,252826462,1323703,CC1(CN=C(S1)N2CCN(CC2)C3=C4C5=C(CCCC5)SC4=NC=N3)C,Active,,,,IC50,1.9,1900,O00255,BDBM152211,Menin
2,252826463,790825,CCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)CC4=CC=CC=C4,Inactive,,,,IC50,42,42000,O00255,BDBM152212,Menin
3,252826464,2900089,C1CCC2=C(CC1)SC3=NC=NC(=C23)NCCCN4C=CN=C4,Inactive,,,,IC50,83,83000,O00255,BDBM152213,Menin
4,252826465,750245,CCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C4=CC=CC=N4,Inactive,,,,IC50,60,60000,O00255,BDBM152214,Menin
5,252826466,4304615,C1CCC2=C(C1)C3=C(N=CN=C3S2)N4CCNCC4,Inactive,,,,IC50,540,540000,O00255,BDBM152215,Menin
6,252826467,830961,CCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C4=NC=CC=N4,Inactive,,,,IC50,250,250000,O00255,BDBM152216,Menin
7,252826468,2142791,CN1CCN(CC1)C2=C3C(=C(OC3=NC=N2)C4=CC=CC=C4)C5=CC=CC=C5,Inactive,,,,IC50,500,500000,O00255,BDBM152217,Menin
8,252826469,42957414,CC1CCC2=C(C1)SC3=NC(=NC(=C23)N4CCN(CC4)C5=NC(=CS5)C)CN6CCOCC6,Inactive,,,,IC50,250,250000,O00255,BDBM152218,Menin
9,252826470,31981564,CC1=CSC(=N1)N2CCN(CC2)C3=C4C5=C(CCCC5)SC4=NC(=N3)C,Inactive,,,,IC50,49,49000,O00255,BDBM152219,Menin
10,252826471,25497396,CC1=C(SC2=NC=NC(=C12)N3CCN(CC3)C4=NC=CS4)C5=CC=CC=C5,Inactive,,,,IC50,71,71000,O00255,BDBM152220,Menin
11,252826472,24574432,C1CN(CCN1C2=C3C(=CSC3=NC=N2)C4=CC=C(C=C4)F)C5=NC=CS5,Inactive,,,,IC50,125,125000,O00255,BDBM152221,Menin
12,252826473,25524708,C1CN(CCN1C2=C3C=C(SC3=NC=N2)C4=CC=CC=C4)C5=NC=CS5,Inactive,,,,IC50,50,50000,O00255,BDBM152222,Menin
13,252826474,762810,CCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C,Inactive,,,,IC50,170,170000,O00255,BDBM152223,Menin
14,252826474,762810,CCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C,Inactive,,,,IC50,350,350000,O00255,BDBM152223,Menin
15,252826475,655347,CCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C4=NN=C(S4)CC,Active,,,,IC50,3.8,3800,O00255,BDBM152224,Menin
16,252826476,17436243,C1CN(CCN1C2=C3C=CSC3=NC=N2)C4=NC=CS4,Inactive,,,,IC50,29.5,29500,O00255,BDBM152225,Menin
17,252826500,2926549,CC(=O)N1C(C2=C(CC(CC2=O)C3=CC=C(C=C3)C(C)(C)C)NC4=CC=CC=C41)C5=CN=CC=C5,Inactive,,,,IC50,13,13000,O00255,BDBM152249,Menin
18,252826501,2942191,CC(=O)N1C(C2=C(CC(CC2=O)C3=CC=C(C=C3)C(C)(C)C)NC4=CC=CC=C41)C5=CC=NC=C5,Inactive,,,,IC50,29,29000,O00255,BDBM152250,Menin
19,252826502,2841540,CC1(CC2=C(C(NC3=CC=CC=C3N2)C4=CC5=C(C=C4)OCO5)C(=O)C1)C,Inactive,,,,IC50,12,12000,O00255,BDBM152251,Menin
20,252826503,2864948,CC1(CC2=C(C(NC3=CC=CC=C3N2)C4=CC(=C(C(=C4)OC)OC)OC)C(=O)C1)C,Inactive,,,,IC50,35,35000,O00255,BDBM152252,Menin
21,252826504,3636842,C1C(CC(=O)C2=C1NC3=CC=CC=C3NC2C4=CN=CC=C4)C5=CC6=C(C=C5)OCO6,Inactive,,,,IC50,63,63000,O00255,BDBM152253,Menin
22,252826505,2891515,COC1=C(C=C(C=C1)C2CC3=C(C(NC4=CC=CC=C4N3)C5=CN=CC=C5)C(=O)C2)OC,Inactive,,,,IC50,100,100000,O00255,BDBM152254,Menin
23,252826506,2894865,CC1=CC=CC=C1C2C3=C(CC(CC3=O)C4=CC(=C(C=C4)OC)OC)NC5=CC=CC=C5N2,Inactive,,,,IC50,115,115000,O00255,BDBM152255,Menin
24,252826507,3138788,C1C(CC(=O)C2=C1NC3=CC=CC=C3NC2C4=CC=NC=C4)C5=CC6=C(C=C5)OCO6,Inactive,,,,IC50,230,230000,O00255,BDBM152256,Menin
25,252826508,3151047,CC1=CC=C(C=C1)C2CC3=C(C(N(C4=CC=CC=C4N3)C(=O)C)C5=CN=CC=C5)C(=O)C2,Inactive,,,,IC50,100,100000,O00255,BDBM152257,Menin
26,252826509,3489082,CC(=O)N1C(C2=C(CC(CC2=O)C3=CC=C(C=C3)OC)NC4=CC=CC=C41)C5=CN=CC=C5,Inactive,,,,IC50,72,72000,O00255,BDBM152258,Menin
27,252826510,4575883,CC(=O)N1C(C2=C(CC(CC2=O)C3=CC(=C(C=C3)Cl)Cl)NC4=CC=CC=C41)C5=CN=CC=C5,Active,,,,IC50,7.4,7400,O00255,BDBM152259,Menin
28,252826511,2774349,CC1=NN(N=C1C(=O)N)C2=CC=CC=C2,Inactive,,,,IC50,380,380000,O00255,BDBM152260,Menin
29,252826512,459521,C1=CC(=CC(=C1)N)C2=CN=CC=C2,Inactive,,,,IC50,50,50000,O00255,BDBM152261,Menin
30,252826513,2795556,C1=CC(=CC=C1CO)C2=CC=NC=C2,Inactive,,,,IC50,510,510000,O00255,BDBM152262,Menin
31,252826514,737186,C1=CC(=CC=C1C2=CSC(=N2)CC(=O)N)F,Inactive,,,,IC50,230,230000,O00255,BDBM152263,Menin
32,252826515,712446,C1=CC=C(C=C1)C2=CSC(=N2)CC(=O)N,Inactive,,,,IC50,2000,2e+06,O00255,BDBM152264,Menin
33,252826516,16358871,COC1=CC=C(C=C1)C2=CSC(=N2)CC(=O)N,Inactive,,,,IC50,67,67000,O00255,BDBM152265,Menin
34,252826517,17473072,CC1=CC=CC=C1NC(=O)CC2=NC(=CS2)C3=CC=C(C=C3)F,Inactive,,,,IC50,122,122000,O00255,BDBM152266,Menin
35,252826518,51001637,COC(=O)CC1=NC(=CS1)C2CCCCC2,Inactive,,,,IC50,1900,1.9e+06,O00255,BDBM152267,Menin
36,252826519,9421974,C1COCCN1C(=O)CC2=NC(=CS2)C3=CC=C(C=C3)F,Inactive,,,,IC50,107,107000,O00255,BDBM152268,Menin
37,252826520,9232868,C1=CC=C(C=C1)CNC(=O)CC2=NC(=CS2)C3=CC=C(C=C3)Cl,Inactive,,,,IC50,1060,1.06e+06,O00255,BDBM152269,Menin
38,252826521,16372163,C1=CC(=CC(=C1)Cl)C2=CSC(=N2)CC(=O)N,Inactive,,,,IC50,137,137000,O00255,BDBM152270,Menin
39,252826522,16369762,CC1=CC(=C(C=C1C)C2=CSC(=N2)CC(=O)N)C,Inactive,,,,IC50,1200,1.2e+06,O00255,BDBM152271,Menin
40,252826523,9174027,COC1=C(C=C(C=C1)C2=CSC(=N2)CC(=O)N)Br,Inactive,,,,IC50,80,80000,O00255,BDBM152272,Menin
41,252826524,16369768,CCCC(=O)NC1=CC=C(C=C1)C2=C(SC(=N2)CC(=O)N)C,Inactive,,,,IC50,830,830000,O00255,BDBM152273,Menin
