PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,PubChem Standard Value,IC50 Qualifier,IC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","Qualifier (e.g. >, <, =) for PubChem Standard Value","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.","Qualifier (e.g. >, <, =) for IC50",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,,MICROMOLAR,,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,TRUE,,,,,,
1,441609754,146565056,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CN(C4)C(=O)[C@@H]5[C@@H]6CC[C@H](N5)[C@H](C6)CC7CC7,Active,,,,IC50,<,0.003,<,3,"O00255,Q03164",BDBM470578,Histone-lysine N-methyltransferase 2A/Menin
2,441609755,146565027,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C(=O)[C@@H]5[C@@H]6CC[C@H](N5)[C@@H](C6)CC7CC7,Active,,,,IC50,,0.0071,,7.1,"O00255,Q03164",BDBM470579,Histone-lysine N-methyltransferase 2A/Menin
3,441609756,146565072,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CN(C4)C(=O)[C@@H]5[C@@H]6CC[C@H](N5)[C@@H](C6)CC7CC7,Active,,,,IC50,,0.0041,,4.1,"O00255,Q03164",BDBM470580,Histone-lysine N-methyltransferase 2A/Menin
4,441609757,146430058,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C(=O)[C@@H]5[C@@H]6CC[C@H](N5)CC6=C,Active,,,,IC50,<,0.003,<,3,"O00255,Q03164",BDBM470581,Histone-lysine N-methyltransferase 2A/Menin
5,441609758,146565064,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CN(C4)C(=O)[C@@H]5[C@@H]6CC[C@H](N5)CC6=C,Active,,,,IC50,<,0.003,<,3,"O00255,Q03164",BDBM470582,Histone-lysine N-methyltransferase 2A/Menin
6,441609759,146565103,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C(=O)[C@@H]5[C@@H]6CC[C@H](N5)C(=C)C6,Active,,,,IC50,,0.0079,,7.9,"O00255,Q03164",BDBM470583,Histone-lysine N-methyltransferase 2A/Menin
7,441609760,146565044,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CN(C4)C(=O)[C@@H]5[C@@H]6CC[C@H](N5)C(=C)C6,Active,,,,IC50,,0.0062,,6.2,"O00255,Q03164",BDBM470584,Histone-lysine N-methyltransferase 2A/Menin
8,441609761,146565070,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CN(C4)C(=O)[C@@H]5[C@@H]6CC[C@H](N5)C[C@@H]6F,Active,,,,IC50,<,0.003,<,3,"O00255,Q03164",BDBM470585,Histone-lysine N-methyltransferase 2A/Menin
9,441609762,155926682,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CN(C4)C(=O)C5C6CCC(N5)CC6,Active,,,,IC50,,0.007,,7,"O00255,Q03164",BDBM470586,Histone-lysine N-methyltransferase 2A/Menin
10,471699490,146565077,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C(=O)[C@@H]5[C@@H]6CC[C@H](N5)[C@H](C6)CC7CC7,Active,,,,IC50,,0.0053,,5.3,"O00255,Q03164",BDBM558847,Histone-lysine N-methyltransferase 2A/Menin
