PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,PubChem Standard Value,Ki Qualifier,Ki,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","Qualifier (e.g. >, <, =) for PubChem Standard Value","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.","Qualifier (e.g. >, <, =) for Ki",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,,MICROMOLAR,,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,TRUE,,,,,,
1,496175656,166131394,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC[C@H](CO5)NS(=O)(=O)C,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656589,Histone-lysine N-methyltransferase 2A/Menin
2,496175657,166131282,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC[C@H](CO5)NS(=O)(=O)CC,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656590,Histone-lysine N-methyltransferase 2A/Menin
3,496175658,166131339,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC[C@H](CO5)NS(=O)(=O)C(C)C,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656591,Histone-lysine N-methyltransferase 2A/Menin
4,496175659,166131549,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC[C@H](CO5)NS(=O)(=O)C6CC6,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656592,Histone-lysine N-methyltransferase 2A/Menin
5,496175660,166131256,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC[C@H](CO5)NS(=O)(=O)C6COC6,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656593,Histone-lysine N-methyltransferase 2A/Menin
6,496175661,166131494,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC[C@H](CO5)NS(=O)(=O)C6CCC6,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656594,Histone-lysine N-methyltransferase 2A/Menin
7,496175662,166131416,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC[C@H](CO5)NS(=O)(=O)CC6CC6,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656595,Histone-lysine N-methyltransferase 2A/Menin
8,496175663,166131472,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC[C@H](CO5)NS(=O)(=O)CCOC,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656596,Histone-lysine N-methyltransferase 2A/Menin
9,496175664,166131460,CCCS(=O)(=O)N[C@@H]1CC[C@H](OC1)CN2CCC3(CC2)CN(C3)C4=NC=NC=C4OC5=C(C=C(C=C5)F)C(=O)N(CC)C(C)C,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656597,Histone-lysine N-methyltransferase 2A/Menin
10,496175665,169606744,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC[C@H](CO5)NS(=O)(=O)C6CCOC6,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656598,Histone-lysine N-methyltransferase 2A/Menin
11,496175666,166131327,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC[C@H](CO5)NC(=O)OC(C)(C)C,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656599,Histone-lysine N-methyltransferase 2A/Menin
12,496175668,166131424,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC[C@H](CO5)NS(=O)(=O)C,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656601,Histone-lysine N-methyltransferase 2A/Menin
13,496175669,166131366,CCS(=O)(=O)N[C@@H]1CC[C@H](OC1)CN2CCC3(CC2)CN(C3)C4=NC=NC=C4OC5=C(C=C(C=C5)F)C(=O)N(C(C)C)C(C)C,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656602,Histone-lysine N-methyltransferase 2A/Menin
14,496175677,166131489,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC[C@H](CO5)NS(=O)(=O)C(C)C,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656610,Histone-lysine N-methyltransferase 2A/Menin
15,496175678,166131338,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC[C@H](CO5)NS(=O)(=O)C6CC6,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656611,Histone-lysine N-methyltransferase 2A/Menin
16,496175679,166131398,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)C[C@@H]5CC[C@H](CO5)NS(=O)(=O)C6COC6,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656612,Histone-lysine N-methyltransferase 2A/Menin
17,496175680,166131363,CC(C)N(C1CC1)C(=O)C2=C(C=CC(=C2)F)OC3=CN=CN=C3N4CC5(C4)CCN(CC5)C[C@@H]6CC[C@H](CO6)NC(=O)OC(C)(C)C,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656613,Histone-lysine N-methyltransferase 2A/Menin
18,496175690,166131396,CC(C)N(C1CC1)C(=O)C2=C(C=CC(=C2)F)OC3=CN=CN=C3N4CC5(C4)CCN(CC5)C[C@@H]6CC[C@H](CO6)NS(=O)(=O)C,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656623,Histone-lysine N-methyltransferase 2A/Menin
19,496175691,166131523,CCS(=O)(=O)N[C@@H]1CC[C@H](OC1)CN2CCC3(CC2)CN(C3)C4=NC=NC=C4OC5=C(C=C(C=C5)F)C(=O)N(C6CC6)C(C)C,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656624,Histone-lysine N-methyltransferase 2A/Menin
20,496175692,166131271,CC(C)N(C1CC1)C(=O)C2=C(C=CC(=C2)F)OC3=CN=CN=C3N4CC5(C4)CCN(CC5)C[C@@H]6CC[C@H](CO6)NS(=O)(=O)C(C)C,Active,,,,Ki,<,0.001,<,1,"O00255,Q03164",BDBM656625,Histone-lysine N-methyltransferase 2A/Menin
