PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,442055083,132212657,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CCC(CC5)NS(=O)(=O)CC,Active,,,,0.01552,IC50,=,15.52,nM
2,528349511,178294449,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CCCCC7,Active,,,,0.01658,IC50,=,16.58,nM
3,528349562,178294486,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C,Active,,,,0.0665,IC50,=,66.5,nM
4,528349571,178294493,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)F,Active,,,,0.2761,IC50,=,276.1,nM
5,528349818,178294684,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CCCC7,Active,,,,0.01634,IC50,=,16.34,nM
6,528351504,178295948,CCC(=O)N[C@@H]1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCN(CC4)C5=NC=NC=C5NC6=C(C=C(C=C6)F)C(=O)N(CC)C(C)C,Active,,,,0.05221,IC50,=,52.21,nM
7,528352129,178296418,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)C(C)C4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN(C)C,Active,,,,0.01836,IC50,=,18.36,nM
8,528352751,178296867,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=CC(=C5)NC(=O)C=C,Active,,,,0.0973,IC50,=,97.3,nM
9,528353490,178297445,CCC(=O)N[C@H]1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCN(CC4)C5=NC=NC=C5NC6=C(C=C(C=C6)F)C(=O)N(CC)C(C)C,Active,,,,0.06129,IC50,=,61.29,nM
10,528353572,178297502,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)C(F)(F)F,Active,,,,0.18595,IC50,=,185.95,nM
11,528353804,178297669,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)N6CC[C@@H](C6)NC(=O)/C=C/CN(C)C,Active,,,,0.01675,IC50,=,16.75,nM
12,528356104,178299446,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)C=C,Active,,,,0.0339,IC50,=,33.9,nM
13,528356882,178300046,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)N6CC(C6)NC(=O)/C=C/CN(C)C,Active,,,,0.01229,IC50,=,12.29,nM
14,528357094,178300195,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN(C)C,Active,,,,0.0145,IC50,=,14.5,nM
15,528357412,178300426,CCC(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCN(CC4)C5=NC=NC=C5NC6=C(C=C(C=C6)F)C(=O)N(C(C)C)C(C)C,Active,,,,0.0328,IC50,=,32.8,nM
16,528357448,178300451,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)N,Active,,,,0.02161,IC50,=,21.61,nM
17,528357661,178300616,CCC(=O)NC1=CC(=CC=C1)N2CC(C2)CN3CCN(CC3)C4=NC=NC=C4NC5=C(C=C(C=C5)F)C(=O)N(C(C)C)C(C)C,Active,,,,0.0956,IC50,=,95.6,nM
18,528357680,178300633,CCC(=O)NC1CN(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCN(CC4)C5=NC=NC=C5NC6=C(C=C(C=C6)F)C(=O)N(CC)C(C)C,Active,,,,0.03422,IC50,=,34.22,nM
19,528357819,178300727,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)N6CC[C@H](C6)NC(=O)/C=C/CN(C)C,Active,,,,0.01127,IC50,=,11.27,nM
20,528357844,178300747,CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)NC(=O)C=C,Active,,,,0.034,IC50,=,34,nM
21,528357851,178300752,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)[N+](=O)[O-],Active,,,,0.05018,IC50,=,50.18,nM
22,528358352,178301118,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)NC(=O)/C=C/CN(C)C,Active,,,,0.06187,IC50,=,61.87,nM
23,528358562,178301269,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)N6CC[C@H](C6)NC(=O)C=C,Active,,,,0.03178,IC50,=,31.78,nM
24,528358616,178301306,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3C[C@H](N(C[C@@H]3C)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN(C)C)C,Active,,,,0.02231,IC50,=,22.31,nM
25,528358906,178301513,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)C#N,Active,,,,0.03879,IC50,=,38.79,nM
26,528359737,178302131,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN(C)C,Active,,,,0.01419,IC50,=,14.19,nM
27,528360295,178302535,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)N6CC[C@@H](C6)NC(=O)C=C,Active,,,,0.05138,IC50,=,51.38,nM
28,528373466,178312627,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)C(=O)C4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN(C)C,Active,,,,0.01292,IC50,=,12.92,nM
29,528373756,178312851,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)N6CC(C6)NC(=O)C=C,Active,,,,0.02288,IC50,=,22.88,nM
30,528374174,178313156,CCC(=O)C1=CC=C(C=C1)N2CC(C2)CN3CCN(CC3)C4=NC=NC=C4NC5=C(C=C(C=C5)F)C(=O)N(CC)C(C)C,Active,,,,0.04971,IC50,=,49.71,nM
31,528376920,178315096,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(C(C3)C)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN(C)C,Active,,,,0.01821,IC50,=,18.21,nM
32,528379468,178316418,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)NC2=CN=CN=C2N3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)NS(=O)(=O)C,Active,,,,0.0273,IC50,=,27.3,nM
33,528383507,178319037,CCC(=O)NC1=CC=C(C=C1)N2CC(C2)CN3CCN(CC3)C4=NC=NC=C4NC5=C(C=C(C=C5)F)C(=O)N(C(C)C)C(C)C,Active,,,,0.0483,IC50,=,48.3,nM
