PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000106889 uM,Activity at 0.0000320667 uM,Activity at 0.0000962002 uM,Activity at 0.0002886007 uM,Activity at 0.0008658020 uM,Activity at 0.00260 uM,Activity at 0.00779 uM,Activity at 0.015 uM,Activity at 0.032 uM,Activity at 0.075 uM,Activity at 0.150 uM,Activity at 0.246 uM,Activity at 0.492 uM,Activity at 0.984 uM,Activity at 1.967 uM,Activity at 3.937 uM,Activity at 7.870 uM,Activity at 15.74 uM,Activity at 31.48 uM,Activity at 62.95 uM,Activity at 125.9 uM,Activity at 191.7 uM,Activity at 383.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,1.06889e-05,3.20667e-05,9.62002e-05,0.000288601,0.000865802,0.00259741,0.00779222,0.014978,0.0315411,0.0748262,0.149673,0.245895,0.492036,0.98377,1.96745,3.93686,7.87016,15.7419,31.4806,62.9492,125.887,191.718,383.436,
1,49667546,2952491,CC1=CC=C(C=C1)C2=NN(C(C2)C3=CC=CC=C3F)C(=O)C4=CC=CC=C4F,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-10.9389,,,,,,,,,,,,-0.3478,-0.1778,-0.3465,-0.3899,0.4058,-2.2466,0.0948,-0.18,1.0732,-1.5764,-0.6831,-10.9389,QC'd by InterBioScreen
2,22410394,6902062,C1=CC=C(C=C1)C2=NN(C=C2/C=N/NC(=O)C3=CC=CC=C3O)C4=CC=CS4,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.9261,,,,,,,,,,,,-9.9573,-11.5937,-8.8231,-10.3578,-9.8582,-8.406,-7.0515,-10.1954,-8.4565,-9.6028,-11.46,-10.9261,QC'd by Enamine
3,17410967,1069494,CS(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)NC3=CC(=CC=C3)Cl,Active,42,,,Inhibitor,112.202,76.3983,,Partial curve; partial efficacy,-3.95,4.9549,0.9708,-82.1932,-5.7949,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-69.7443,,,,,,,,,,-2.1095,-10.0684,-9.7507,-5.5336,-6.9273,-9.9076,-6.6738,-2.2886,-4.1745,-6.7477,-10.7349,-69.7443,,,QC'd by DPISMR
4,24841440,16196973,CC(=O)C1=C(C=C(C=C1O)O)CC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,2.6927,,,,,,,,,,3.8744,-0.5832,9.4936,6.9906,2.3519,6.163,1.4708,6.1285,8.7318,5.2894,8.6007,2.6927,,,QC'd by AnalytiCon Discovery GmbH
5,49646648,917183,CC1=CC=C(C=C1)C(=O)SC2=CC=CC=CC2=O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,17.3284,,,,,,,,,,,,2.2361,-0.011,0.5963,2.0476,3.5189,3.8524,3.2419,2.4427,4.1814,4.7481,9.6464,17.3284,QC'd by InterBioScreen
6,24796505,2815256,COC1=CC=CC(=C1)NC(=O)N2CCCC3=CC=CC=C32,Inactive,0,,,Inactive,,,,,,,,,,4,,4.6622,,,,,,,,,,1.9028,3.9386,2.8346,8.0807,5.6114,5.0191,9.8675,3.8933,3.7095,1.8258,4.0039,4.6622,,,QC'd by ChemBridge
7,16952949,2868128,CCOC1=CC=C(C=C1)C2C3=C(C4=CC=CC=C4OC3=O)C5=C(N2)C=CC6=CC=CC=C65,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-28.1389,,,,,,,,,,1.9728,5.1763,2.7297,0.9559,1.3338,3.3683,4.0587,-1.6555,4.3428,-4.3028,-12.6463,-28.1389,,,QC'd by DPISMR
8,24826778,135439862,CCC1=CC=C(C=C1)NC(=O)CSC2=NC(=CC(=O)N2C3CCCC3)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-14.9215,,,,,,,,,,3.3741,5.7592,2.9298,6.6424,9.4149,4.7892,8.8806,2.1998,4.5474,6.0109,1.4457,-14.9215,,,QC'd by Enamine
9,17411966,5731085,CC(=O)C1=CC(=CC=C1)NS(=O)(=O)C2=CC=C(C=C2)N/C=C\C(=O)C3=CC=C(C=C3)F,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-12.9068,,,,,,,,,,4.8259,0.2828,12.1649,8.2098,3.8838,4.665,0.8152,6.9917,13.7464,7.4714,1.1787,-12.9068,,,QC'd by DPISMR
10,49724792,4089709,C1=CC=C2C(=C1)C(=O)N(S2)C3=CC(=CC=C3)S(=O)(=O)NC4=CC=CC=C4C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-24.095,,,,,,,,,,,,-1.3212,-3.649,-1.1814,-3.2174,-4.2923,-4.059,-4.7351,-4.0452,-5.1302,-6.6301,-2.2546,-24.095,QC'd by Enamine
11,49675221,3286268,CC1=C(C=C(C=C1)S(=O)(=O)N(C)C)NC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC(=C(C(=C4)OC)OC)OC,Inconclusive,27,,,Inhibitor,630.957,99,,Partial curve; partial efficacy,-3.2,1.4641,0.9099,-100,-1,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-33.1689,,,,,,,,,,,,-2.5393,-0.3957,-2.9884,-2.79,-6.1184,-2.0898,-2.8893,-0.608,0.5024,-2.3871,-12.4441,-33.1689,QC'd by Enamine
