PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,NMR STD
RESULT_TYPE,,,,,,,,STRING
RESULT_DESCR,,,,,,,,Whether saturation transfer difference was observed with 100uM compound - positive or negative.
RESULT_ATTR_CONC_MICROMOL,,,,,,,,100
1,844955,6603458,CCCC(C1=NN=NN1CC2=CC=CS2)N3CCN(CC3)C4CCCC4.Cl,Active,50,,,positive
2,842398,644666,CCCC(C1=NN=NN1CC2=CC=CO2)N3CCN(CC3)C4CCCC4,Active,50,,,positive
3,852712,6602657,CCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C4=NN=C(S4)CC.Cl,Inactive,0,,,negative
4,4244986,6603675,CCOC1=CC2=C(C(=CN=C2C=C1)C(=O)OCC)N3CCN(CC3)C.Cl,Active,50,,,positive
5,845185,6603052,CCC(C1=NN=NN1CC2=CC=C(C=C2)F)N3CCN(CC3)C4CCCCC4.Cl,Active,50,,,positive
6,865591,666850,CC1=C(C(=O)N2C(=N1)N=C(N2)C3=CC=C(C=C3)OC)CC(=O)OC,Inactive,0,,,negative
7,24779843,2497032,C1=CSC(=C1)S(=O)(=O)NC2=CC=C(C=C2)C(=O)OCC(=O)NC3=NC4=C(S3)C=C(C(=C4F)F)F,Inactive,0,,,negative
8,22409395,3888835,CC1=CC(=CC=C1)NC(=O)NC2=CC(=C(C=C2)N3CCCCC3)S(=O)(=O)NC4=CC=CC=C4OC,Inactive,0,,,negative
9,17410967,1069494,CS(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)NC3=CC(=CC=C3)Cl,Inactive,0,,,negative
10,17401702,1964957,C1=CC=C(C=C1)CSC2=CC=CC=C2C3=NN=C(S3)NC(=O)NC4=CC=CC=C4F,Inactive,0,,,negative
11,14741935,2022059,CC(C)SC1=NC(=C2C3=C(COC(C3)(C)C)SC2=N1)N4CCOCC4,Inactive,0,,,negative
12,17414227,1132322,CCC(=O)NC1=CC=C(C=C1)C2=NC(=NC(=C2)C3=CC=CC=C3)C4=CC=C(C=C4)NC(=O)CC,Inactive,0,,,negative
13,17416281,2967728,CCOC1=C(C=CC(=C1)CNCCC2=CC=C(C=C2)S(=O)(=O)N)OCC3=CC=CC=C3.Cl,Active,50,,,positive
14,17505404,54681785,CCCCN1C2=CC=CC=C2C(=C(C1=O)C(=O)NC3=C(SC=C3)C(=O)OC)O,Inactive,0,,,negative
15,24792689,135433271,C1=CC=C(C=C1)N2C(=O)C=C(N=C2SCC(=O)C3=CC=C(C=C3)Br)O,Inactive,0,,,negative
16,24805815,830963,CCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C(=O)C4=CC=CO4,Inactive,0,,,negative
17,17514493,4620915,CC1CCCCN1S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=CC=CC=C3C4=NC5=CC=CC=C5N4,Inactive,0,,,negative
18,24824264,16195689,C1CCC(CC1)CCC(=O)NCCN2[C@@H](CN3C2=NC[C@@H]3CC4=CC=C(C=C4)O)CC5=CC=C(C=C5)O,Active,50,,,positive
19,24782122,10000306,CC1=CC2=C(C=C1C)NC3=C2C=[N+](C4=CC=CC=C43)C.[I-],Inactive,0,,,negative
20,24780245,1381590,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)N,Inactive,0,,,negative
21,24782257,3193431,COC1=CC=C(C=C1)CN2C(=NN=N2)C(C3=CC4=C(C=C3)N=CC=C4)N5CCN(CC5)C6CCCCC6,Active,50,,,positive
22,26664472,66733,C1=CC=C2C=C(C=CC2=C1)NC(=O)CS,Inactive,0,,,negative
23,26666180,72512,CC1=C2C=CN=CC2=C(C3=C1NC4=C3C=C(C=C4)OC)C,Inactive,0,,,negative
24,26664708,2333,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,Inactive,0,,,negative
25,26665244,330267,CCN(CC)CC1=CC2=C(C=C1OC)C3=CN=C4C=C(C=CC4=C3N2)Cl,Inactive,0,,,negative
26,26666340,590400,CN(C)C1=CC=C(C=C1)C2CC(=CC(=O)C2)NC3=CC=CC=C3N,Inactive,0,,,negative
27,24835831,16196756,COC1=CC=CC=C1NS(=O)(=O)C2=C(C=CC(=C2)N3CC4=CC=CC=C4C3=N)N5CCOCC5.Br,Inactive,0,,,negative
28,26658300,16240808,C1COCCN1C2=C(C=C(C=C2)N3CC4=CC=CC=C4C3=N)S(=O)(=O)NC5=CC=C(C=C5)Cl.Br,Inactive,0,,,negative
29,49734564,4179895,C1=COC(=C1)C2=CC(=NO2)C(=O)NC3=CC(=C(C=C3)F)Cl,Inactive,0,,,negative
30,49735306,17252944,C1OC2=C(O1)C=C(C=C2)C3=CC(=NO3)C(=O)NC4=C(C=CC(=C4)Br)O,Inactive,0,,,negative
31,49731066,15995144,C1=COC(=C1)C2=CC(=NO2)C(=O)NC3=C(C=CC(=C3)Br)O,Inactive,0,,,negative
32,49716493,6035171,COC(=O)C1=CC=CC=C1NC2=C/C(=N\S(=O)(=O)C3=CC=C(C=C3)C(=O)O)/C4=CC=CC=C4C2=O,Inactive,0,,,negative
33,24831203,4781050,CN(C)C(CNC1=C2C3=C(CCCCC3)SC2=NC=N1)C4=CC=CO4,Active,50,,,positive
34,24827880,1536777,CC1=C(SC2=NC=NC(=C12)NC3CCN(CC3)CC4=CC=CC=C4)C,Active,50,,,positive
35,49720403,24791138,COC1=CC=CC=C1C(=O)NC2=CC=NN2C3CCN(CC3)CC4CCC=CC4,Active,50,,,positive
36,49647151,1272562,CCOC(=O)C1=CN=C2C=CC(=CC2=C1NC3=CC=C(C=C3)N4CCN(CC4)C)OC,Inactive,0,,,negative
37,49667032,3468055,CC(C1=CC=CC=C1)C2=NN=C(S2)NC(=O)NC3=CC=CC=C3F,Inactive,0,,,negative
38,49724792,4089709,C1=CC=C2C(=C1)C(=O)N(S2)C3=CC(=CC=C3)S(=O)(=O)NC4=CC=CC=C4C(=O)O,Inactive,0,,,negative
39,49678188,4831277,C1CN(CCC1C(C2=CC=CC=C2)(C3=CC=CC=C3)O)CC(COC4=CC=C(C=C4)C#N)O,Active,50,,,positive
40,49647070,1932347,CCNC1=CC=CC=C1CP(=O)(C2=CC=CC=C2)C3=CC=CC=C3O,Inactive,0,,,negative
41,49724885,24792240,C1C[N+]2(CC[N+]1(CC2)CC(=O)C3=CC=C(C=C3)F)CC(=O)C4=CC=C(C=C4)F.[Cl-],Active,50,,,positive
42,49673496,16244947,CCC[N+]1=C2C=CC=CC2=CC3=CC=CC=C31.[I-],Inactive,0,,,negative
43,49673494,16244880,CCCC[N+]1=C2C=CC=CC2=CC3=CC=CC=C31.[I-],Inactive,0,,,negative
44,49724816,16243383,CN(CCOC1=CC=C(C=C1)Cl)CC(C2=CC=CC=C2)O.C(=O)(C(=O)O)O,Inactive,0,,,negative
45,49672404,16286864,C1CN(CCN1CC(COC2=CC=C(C=C2)C#N)O)C(C3=CC=CC=C3)C4=CC=CC=C4,Active,50,,,positive
46,49732904,992586,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=C(C=C3)Br,Inactive,0,,,negative
47,49725028,2058961,COC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SCC(=O)O,Inactive,0,,,negative
48,49645433,1093763,CC1=CC=C(C=C1)C2=CC(=NO2)C(=O)NC3=C(C=CC(=C3)C)O,Inactive,0,,,negative
49,49644438,135468594,CC1=C2C(=CC=C1)C(=CC(=N2)C)N/N=C/C3=CC=C(C=C3)O,Inactive,0,,,negative
50,47201030,1468086,CCC1=NC(=C2C3=C(CCCC3)SC2=N1)N4CCN(CC4)C(=S)NCC,Inactive,0,,,negative
51,49644351,2047299,CC1=NC(=C2C3=C(CCCC3)SC2=N1)N4CCN(CC4)C,Inactive,0,,,negative
52,49667681,24761188,C1=CC=C2C(=C1)C3=C(O2)C(=NC=N3)NC4=CC=C(C=C4)O.Cl,Inactive,0,,,negative
53,49645946,24747373,CCC1=CC2=C(C=C1)N(C(=O)C2NC(=O)C)CCN3CCOCC3.Cl,Inactive,0,,,negative
54,49667058,24761147,CC(=O)NC1C2=C(C=CC(=C2)Cl)N(C1=O)CCN3CCOCC3.Cl,Inactive,0,,,negative
55,49645883,8015998,C[C@@H](C(=O)O)NC(=O)C1=NC=C2C(=C1)C3=CC=CC=C3N2,Inactive,0,,,negative
56,49646104,24747418,CCOC1=CC2=C(C=C1)N(C(=O)C2NC(=O)C)CCN3CCOCC3.Cl,Inactive,0,,,negative
57,49645932,8016348,C[C@@H](C(=O)OC)NC(=O)C1=NC=C2C(=C1)C3=CC=CC=C3N2,Inactive,0,,,negative
58,49665176,17580184,CC1=CC2=C(C=C1)N(C(=O)C2NC(=O)C)CCN3CCOCC3,Inactive,0,,,negative
59,49729254,24792594,CNC[C@H](CC1CCCCC1)NC[C@H](CC2=CC=CC=C2)NCCC34CC5CC(C3)CC(C5)C4,Inactive,0,,,negative
60,11114132,262093,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)SCCO)SCCO,Inactive,0,,,negative
61,11114291,6604950,C1C2=CC=C(CNC3=CC=[N+](CC4=CC=CC(=C4)C[N+]5=CC=C(N1)C6=CC=CC=C65)C7=CC=CC=C37)C=C2.C(=O)(C(F)(F)F)[O-].C(=O)(C(F)(F)F)[O-],Inactive,0,,,negative
62,26747927,9571016,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl.Cl.Cl,Inactive,0,,,negative
63,50112821,9282,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)[N+]3=NC(=NN3C4=CC=C(C=C4)[N+](=O)[O-])C5=CC=CC=C5)OC)[N+]6=NC(=NN6C7=CC=C(C=C7)[N+](=O)[O-])C8=CC=CC=C8,Inactive,0,,,negative
