PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Total_Fluorescence-Curve_Description,Total_Fluorescence-Fit_LogAC50,Total_Fluorescence-Fit_HillSlope,Total_Fluorescence-Fit_R2,Total_Fluorescence-Fit_InfiniteActivity,Total_Fluorescence-Fit_ZeroActivity,Total_Fluorescence-Fit_CurveClass,Total_Fluorescence-Excluded_Points,Total_Fluorescence-Max_Response,Total_Fluorescence-Activity at 0.0000080105 uM,Total_Fluorescence-Activity at 0.0000240316 uM,Total_Fluorescence-Activity at 0.0000720949 uM,Total_Fluorescence-Activity at 0.0002162846 uM,Total_Fluorescence-Activity at 0.0006488539 uM,Total_Fluorescence-Activity at 0.00195 uM,Total_Fluorescence-Activity at 0.00584 uM,Total_Fluorescence-Activity at 0.011 uM,Total_Fluorescence-Activity at 0.024 uM,Total_Fluorescence-Activity at 0.056 uM,Total_Fluorescence-Activity at 0.112 uM,Total_Fluorescence-Activity at 0.196 uM,Total_Fluorescence-Activity at 0.391 uM,Total_Fluorescence-Activity at 0.783 uM,Total_Fluorescence-Activity at 1.565 uM,Total_Fluorescence-Activity at 3.131 uM,Total_Fluorescence-Activity at 6.261 uM,Total_Fluorescence-Activity at 12.52 uM,Total_Fluorescence-Activity at 25.04 uM,Total_Fluorescence-Activity at 50.09 uM,Total_Fluorescence-Activity at 100.2 uM,Total_Fluorescence-Activity at 181.8 uM,Total_Fluorescence-Activity at 287.5 uM,FP-Curve_Description,FP-Fit_LogAC50,FP-Fit_HillSlope,FP-Fit_R2,FP-Fit_InfiniteActivity,FP-Fit_ZeroActivity,FP-Fit_CurveClass,FP-Excluded_Points,FP-Max_Response,FP-Activity at 0.0000080105 uM,FP-Activity at 0.0000240316 uM,FP-Activity at 0.0000720949 uM,FP-Activity at 0.0002162846 uM,FP-Activity at 0.0006488539 uM,FP-Activity at 0.00195 uM,FP-Activity at 0.00584 uM,FP-Activity at 0.011 uM,FP-Activity at 0.024 uM,FP-Activity at 0.056 uM,FP-Activity at 0.112 uM,FP-Activity at 0.196 uM,FP-Activity at 0.391 uM,FP-Activity at 0.783 uM,FP-Activity at 1.565 uM,FP-Activity at 3.131 uM,FP-Activity at 6.261 uM,FP-Activity at 12.52 uM,FP-Activity at 25.04 uM,FP-Activity at 50.09 uM,FP-Activity at 100.2 uM,FP-Activity at 181.8 uM,FP-Activity at 287.5 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,8.01054e-06,2.40316e-05,7.20949e-05,0.000216285,0.000648854,0.00194656,0.00583969,0.0112249,0.0235289,0.055989,0.112119,0.195627,0.391389,0.782652,1.56517,3.13143,6.26122,12.5226,25.0449,50.0856,100.193,181.834,287.522,,,,,,,,,,8.01054e-06,2.40316e-05,7.20949e-05,0.000216285,0.000648854,0.00194656,0.00583969,0.0112249,0.0235289,0.055989,0.112119,0.195627,0.391389,0.782652,1.56517,3.13143,6.26122,12.5226,25.0449,50.0856,100.193,181.834,287.522,
1,49667546,2952491,CC1=CC=C(C=C1)C2=NN(C(C2)C3=CC=CC=C3F)C(=O)C4=CC=CC=C4F,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-2.6661,,,,,,,,,,,,0,3.2101,1.5006,0.8285,1.4786,-0.3467,3.2034,-0.2982,-4.5011,-4.6171,-3.9474,-2.6661,,,,,,,4,,1.7872,,,,,,,,,,,,-4.4679,-2.8432,-4.6304,-3.4119,-6.58,0.7311,-3.4931,-1.2185,-0.9748,-5.7677,-1.1373,1.7872,QC'd by InterBioScreen
2,22410394,6902062,C1=CC=C(C=C1)C2=NN(C=C2/C=N/NC(=O)C3=CC=CC=C3O)C4=CC=CS4,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-11.0185,,,,,,,,,,,,-0.3122,0.249,-0.0484,-1.9969,1.7997,-4.5564,-2.2656,-5.2267,-5.2567,-6.8108,-7.5224,-11.0185,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0,2.1121,,,,,,,,,,,,-3.5743,-4.2242,-6.2551,-7.6361,-8.3672,-6.3363,-3.0869,-4.9553,-6.2551,-0.8936,-1.7059,2.1121,QC'd by Enamine
3,17410967,1069494,CS(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)NC3=CC(=CC=C3)Cl,Inconclusive,10,,,Quencher,89.1251,46.1304,,Single point of activity,-4.05,4.9549,0.9704,-41.6304,4.5,-3,0 0 0 0 0 0 0 0 0 0 0 0,-32.192,,,,,,,,,,2.2785,4.3366,2.4591,4.2521,2.5958,3.4965,4.5124,6.0559,5.3799,3.8855,4.038,-32.192,,,,,,,,,4,,4.1051,,,,,,,,,,-1.2315,-2.2167,-3.1199,1.0673,-0.2463,-0.2463,-0.9852,3.8588,-0.9031,-1.7241,-0.9031,4.1051,,,QC'd by DPISMR
4,24841440,16196973,CC(=O)C1=C(C=C(C=C1O)O)CC(=O)O,Inconclusive,10,,,Fluorescent,70.9627,48.9111,,Partial curve; partial efficacy,-4.149,3.6272,0.9846,51.5035,2.5924,2.2,0 0 0 0 0 0 0 0 0 0 0 0,44.2745,,,,,,,,,,0.1986,1.239,3.7009,1.7998,0.537,2.4815,4.2028,4.0828,5.5288,3.9359,17.9158,44.2745,,,Partial curve; high efficacy,-4.149,3.1925,0.995,-107.368,-3.0394,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-88.5878,,,,,,,,,,-3.7767,-5.3366,-0.4926,-3.6125,-0.9852,-2.0525,-5.9934,-0.1642,-3.8588,-9.7701,-38.4236,-88.5878,,,QC'd by AnalytiCon Discovery GmbH
5,49646648,917183,CC1=CC=C(C=C1)C(=O)SC2=CC=CC=CC2=O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-7.785,,,,,,,,,,,,1.739,0.1569,-2.2176,1.7646,0.8202,1.0242,2.8883,-2.7919,0.7941,-4.3036,-5.7858,-7.785,,,,,,,4,,0.4062,,,,,,,,,,,,3.8993,3.4931,0.5686,-0.5686,-2.0309,-0.1625,0.8123,-0.4874,2.437,-0.0812,2.762,0.4062,QC'd by InterBioScreen
