PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,NMR STD,competition by NMR
RESULT_TYPE,,,,,,,,BOOLEAN,BOOLEAN
RESULT_DESCR,,,,,,,,Whether a saturation transfer difference was observed.,Whether STD was competitive with MBM1 peptide.
RESULT_UNIT,,,,,,,,NONE,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10,10
1,24805815,830963,CCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C(=O)C4=CC=CO4,Inconclusive,50,,,true,false
2,852712,6602657,CCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C4=NN=C(S4)CC.Cl,Inconclusive,50,,,true,false
3,14741935,2022059,CC(C)SC1=NC(=C2C3=C(COC(C3)(C)C)SC2=N1)N4CCOCC4,Inconclusive,50,,,true,false
4,49720403,24791138,COC1=CC=CC=C1C(=O)NC2=CC=NN2C3CCN(CC3)CC4CCC=CC4,Active,80,,,true,true
5,4244986,6603675,CCOC1=CC2=C(C(=CN=C2C=C1)C(=O)OCC)N3CCN(CC3)C.Cl,Active,80,,,true,true
6,49678188,4831277,C1CN(CCC1C(C2=CC=CC=C2)(C3=CC=CC=C3)O)CC(COC4=CC=C(C=C4)C#N)O,Active,80,,,true,true
7,49672404,16286864,C1CN(CCN1CC(COC2=CC=C(C=C2)C#N)O)C(C3=CC=CC=C3)C4=CC=CC=C4,Active,80,,,true,true
8,17416281,2967728,CCOC1=C(C=CC(=C1)CNCCC2=CC=C(C=C2)S(=O)(=O)N)OCC3=CC=CC=C3.Cl,Active,80,,,true,true
9,49724885,24792240,C1C[N+]2(CC[N+]1(CC2)CC(=O)C3=CC=C(C=C3)F)CC(=O)C4=CC=C(C=C4)F.[Cl-],Active,80,,,true,true
10,845185,6603052,CCC(C1=NN=NN1CC2=CC=C(C=C2)F)N3CCN(CC3)C4CCCCC4.Cl,Active,80,,,true,true
11,844955,6603458,CCCC(C1=NN=NN1CC2=CC=CS2)N3CCN(CC3)C4CCCC4.Cl,Active,80,,,true,true
12,50112821,9282,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)[N+]3=NC(=NN3C4=CC=C(C=C4)[N+](=O)[O-])C5=CC=CC=C5)OC)[N+]6=NC(=NN6C7=CC=C(C=C7)[N+](=O)[O-])C8=CC=CC=C8,Inconclusive,50,,,true,false
13,26665244,330267,CCN(CC)CC1=CC2=C(C=C1OC)C3=CN=C4C=C(C=CC4=C3N2)Cl,Inactive,10,,,false,
14,26664472,66733,C1=CC=C2C=C(C=CC2=C1)NC(=O)CS,Inactive,10,,,false,
15,49645946,24747373,CCC1=CC2=C(C=C1)N(C(=O)C2NC(=O)C)CCN3CCOCC3.Cl,Inactive,10,,,false,
16,49646104,24747418,CCOC1=CC2=C(C=C1)N(C(=O)C2NC(=O)C)CCN3CCOCC3.Cl,Inactive,10,,,false,
17,49665176,17580184,CC1=CC2=C(C=C1)N(C(=O)C2NC(=O)C)CCN3CCOCC3,Inactive,10,,,false,
18,49667058,24761147,CC(=O)NC1C2=C(C=CC(=C2)Cl)N(C1=O)CCN3CCOCC3.Cl,Inactive,10,,,false,
19,49645883,8015998,C[C@@H](C(=O)O)NC(=O)C1=NC=C2C(=C1)C3=CC=CC=C3N2,Inactive,10,,,false,
20,26666340,590400,CN(C)C1=CC=C(C=C1)C2CC(=CC(=O)C2)NC3=CC=CC=C3N,Inactive,10,,,false,
21,24792689,135433271,C1=CC=C(C=C1)N2C(=O)C=C(N=C2SCC(=O)C3=CC=C(C=C3)Br)O,Inconclusive,50,,,true,
22,26658300,16240808,C1COCCN1C2=C(C=C(C=C2)N3CC4=CC=CC=C4C3=N)S(=O)(=O)NC5=CC=C(C=C5)Cl.Br,Inconclusive,50,,,true,false
23,49645932,8016348,C[C@@H](C(=O)OC)NC(=O)C1=NC=C2C(=C1)C3=CC=CC=C3N2,Inconclusive,50,,,true,false
24,24831203,4781050,CN(C)C(CNC1=C2C3=C(CCCCC3)SC2=NC=N1)C4=CC=CO4,Inconclusive,50,,,true,false
25,24827880,1536777,CC1=C(SC2=NC=NC(=C12)NC3CCN(CC3)CC4=CC=CC=C4)C,Active,80,,,true,true
26,11114132,262093,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)SCCO)SCCO,Inconclusive,50,,,true,false
27,26664708,2333,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,Inconclusive,50,,,true,false
28,24835831,16196756,COC1=CC=CC=C1NS(=O)(=O)C2=C(C=CC(=C2)N3CC4=CC=CC=C4C3=N)N5CCOCC5.Br,Inconclusive,50,,,true,false
