PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0001450189 uM,Activity at 0.0003258835 uM,Activity at 0.0009776506 uM,Activity at 0.00293 uM,Activity at 0.00880 uM,Activity at 0.026 uM,Activity at 0.079 uM,Activity at 0.140 uM,Activity at 0.238 uM,Activity at 0.561 uM,Activity at 0.713 uM,Activity at 1.122 uM,Activity at 2.139 uM,Activity at 4.490 uM,Activity at 6.431 uM,Activity at 19.23 uM,Activity at 35.92 uM,Activity at 57.57 uM,Activity at 143.7 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,Activity score.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,0.000145019,0.000325884,0.000977651,0.00293295,0.00879886,0.0263966,0.0791171,0.140311,0.237869,0.561243,0.712707,1.12249,2.13891,4.48994,6.43074,19.233,35.9195,57.57,143.678,
1,144206069,123879,C1CC2=C(C[C@@H]1NS(=O)(=O)C3=CC=C(C=C3)F)C4=CC=CC=C4N2CCC(=O)O,Active,98,http://assay.nih.gov/htsws/rest/display/dm1-f3-menin-htrf/NCGC00167519-01/52367778,,Inhibitor,0.0103,106.385,,98,Complete curve; high efficacy,-7.9867,2.1211,0.9995,-102.008,4.3766,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-101.73,,6.3766,1.502,-2.3801,-40.1968,-88.7461,-101.177,,-102.189,,-103.039,,-102.702,,-101.937,-100.904,,-101.73,,QC'd by Sequoia
2,26666196,253,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,Active,97,http://assay.nih.gov/htsws/rest/display/dm1-f3-menin-htrf/MLS000736711-01/52367784,,Inhibitor,0.0146,102.81,,97,Complete curve; high efficacy,-7.8367,2.0437,0.9976,-101.245,1.5654,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-94.4973,,1.4669,0.4196,-1.5857,-25.7161,-78.5231,-98.0049,,-102.461,,-102.782,,-102.891,,-102.413,-101.84,,-94.4973,,
3,4262628,135414699,CCOC(=O)CCCCC(=O)C1=C(NC(=O)N1)CSC2=NC(=CC(=O)N2)C,Active,85,http://assay.nih.gov/htsws/rest/display/dm1-f3-menin-htrf/MLS000050819-01/52367683,,Inhibitor,3.6588,101.263,,85,Complete curve; high efficacy,-5.4367,1.4163,0.9997,-100.759,0.5044,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-98.7834,,2.09,0.1999,-0.3014,0.8067,-0.5042,0.115,,-1.0113,,-8.6672,,-31.7565,,-69.0506,-91.2877,,-98.7834,,QC'd by DPISMR
4,47200041,23724040,COCCNC(=O)CCC1CCN(CC1)CC2=CC=C(C=C2)C3=CC=CC=C3,Active,83,http://assay.nih.gov/htsws/rest/display/dm1-f3-menin-htrf/MLS001008625-01/52367766,,Inhibitor,8.1911,110.831,,83,Complete curve; high efficacy,-5.0867,1.21,0.9985,-110.831,0,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-99.8477,,2.2607,1.0965,-1.367,-1.4158,-1.7239,0.2064,,-1.7544,,-5.287,,-18.0705,,-46.2578,-83.8365,,-99.8477,,QC'd by ChemBridge
5,22400576,4299841,C[NH+]1CCC2(CC1)C(=C(NC(=C2C#N)[S-])N)C#N,Active,82,http://assay.nih.gov/htsws/rest/display/dm1-f3-menin-htrf/MLS000587487-01/52367723,,Inhibitor,10.3119,100.614,,82,Complete curve; high efficacy,-4.9867,2.7868,0.9966,-100.084,0.5297,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-99.2896,,6.6511,0.0249,1.4637,0.4771,0.6206,-1.8042,,-0.6722,,-0.3798,,-1.6327,,-19.3103,-84.8706,,-99.2896,,QC'd by InterBioScreen
