PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,GENE_SYMBOL,siRNA_ID,ZScoreRepA,ZScoreRepB,ZScoreRepC,ZScoreRepD,PUBCHEM_NCBI_GENE_ID
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,TARGET_NCBI_GENE_ID
RESULT_DESCR,,,,,,,,Gene Symbol,Reagent Identifier,EdUZscore,EdUZscore,EdUZscore,EdUZscore,
1,164221658,,,Active,,,,ABL1,SI00288323,-0.983282,-0.882903,-3.39092,-0.457345,25
2,164221659,,,Active,,,,ABL1,SI00288316,0.0880038,4.44987,-2.03191,1.45943,25
3,164221660,,,Inactive,,,,ACD,SI04136797,-0.533053,-0.208163,-0.228561,-0.678265,65057
4,164221661,,,Inactive,,,,ACD,SI04156964,0.58068,2.23143,-0.0439199,-0.0756858,65057
5,164221662,,,Inactive,,,,ACHE,SI00013664,-1.04212,-1.7857,-0.683018,-1.789,43
6,164221663,,,Inactive,,,,ACHE,SI00013657,-0.290304,5.43998,0.0679318,0.455973,43
7,164221664,,,Inactive,,,,ACIN1,SI04204781,0.0803027,-1.71003,-0.818261,-1.29659,22985
8,164221665,,,Inactive,,,,ACIN1,SI04172287,1.51196,-1.20841,0.349962,1.15163,22985
9,164221666,,,Active,,,,ACTL6A,SI02779987,-0.534891,-4.67253,-2.15465,0.23547,86
10,164221667,,,Inactive,,,,ACTL6A,SI02779994,0.851004,0.393762,-0.67058,0.366494,86
11,164221668,,,Active,,,,ACTL6B,SI00114226,-2.04295,-0.917608,-1.83865,-2.4117,51412
12,164221669,,,Inactive,,,,ACTL6B,SI00114240,1.89413,-0.213167,0.914142,0.253989,51412
13,164221670,,,Active,,,,ADAR,SI00292306,-0.0345075,1.48316,-1.06422,-2.33721,103
14,164221671,,,Inactive,,,,ADAR,SI00292299,0.773934,1.50615,-0.443282,1.35499,103
15,164221672,,,Inactive,,,,AIFM1,SI02225713,-0.475942,1.07817,-1.87218,-1.2026,9131
16,164221673,,,Inactive,,,,AIFM1,SI00301133,0.0925345,2.5025,-1.68157,-0.206831,9131
17,164221674,,,Inactive,,,,ALKBH1,SI04205005,-0.915295,-1.18316,-0.861371,-1.92724,8846
18,164221675,,,Inactive,,,,ALKBH1,SI00294595,0.772017,-0.957173,0.0289586,-0.828647,8846
19,164221676,,,Active,,,,ALKBH2,SI02664907,-0.422967,-3.41314,-3.76178,-0.312978,121642
20,164221677,,,Active,,,,ALKBH2,SI02664900,0.95615,2.39097,-2.81546,1.32301,121642
21,164221678,,,Inactive,,,,ALKBH3,SI02663892,-1.37452,-0.669303,-0.758379,0.11612,221120
22,164221679,,,Inactive,,,,ALKBH3,SI02663899,0.900024,1.09769,1.97248,0.634483,221120
23,164221680,,,Active,,,,ANKRD17,SI04137224,-3.45222,-0.818397,-2.13145,0.220062,26057
24,164221681,,,Inactive,,,,ANKRD17,SI04171419,-1.11057,0.440079,-0.972904,1.53246,26057
25,164221682,,,Inactive,,,,APC,SI02757251,-0.32942,0.384197,-0.672684,-1.63216,324
26,164221683,,,Inactive,,,,APC,SI00000588,0.255341,0.647719,0.932105,-0.561999,324
27,164221684,,,Active,,,,APEX1,SI02663346,-0.805345,-0.598878,-0.428082,-2.13589,328
28,164221685,,,Inactive,,,,APEX1,SI02663353,-0.517385,2.68457,0.0932235,0.880898,328
29,164221686,,,Active,,,,APEX2,SI02664732,-1.41952,-1.27972,-3.00059,-2.40778,27301
30,164221687,,,Inactive,,,,APEX2,SI02664739,0.641481,1.40056,-0.453937,-0.899485,27301
31,164221688,,,Active,,,,APTX,SI00159306,-3.22467,0.922483,-2.19802,-0.0589231,54840
32,164221689,,,Inactive,,,,APTX,SI02642773,0.583772,2.25879,-0.616366,0.975352,54840
33,164221690,,,Inactive,,,,ARID1A,SI00083727,-1.77,2.18198,0.0498865,-0.640497,8289
34,164221691,,,Inactive,,,,ARID1A,SI00083713,-1.00672,2.29242,0.205421,-0.54992,8289
35,164221692,,,Active,,,,ARID1B,SI04171216,-0.27734,-1.71983,-2.00222,-2.25989,57492
36,164221693,,,Inactive,,,,ARID1B,SI04261789,0.088943,0.253796,-0.360913,1.64947,57492
37,164221694,,,Active,,,,ASF1A,SI04156292,-0.330407,-0.789628,-7.83994,-1.97341,25842
38,164221695,,,Inactive,,,,ASF1A,SI04175297,0.482052,2.19032,-0.587984,0.971806,25842
39,164221696,,,Active,,,,ASF1B,SI04131302,-1.6273,-3.27522,-0.398669,-1.4997,55723
40,164221697,,,Inactive,,,,ASF1B,SI00305319,-0.0149688,-1.33438,0.807424,1.81688,55723
41,164221698,,,Active,,,,ASTE1,SI04300072,-2.06504,-2.35863,-1.03632,-0.623099,28990
42,164221699,,,Inactive,,,,ASTE1,SI04191971,-0.56797,1.82711,-0.43803,-0.567406,28990
43,164221700,,,Inactive,,,,ATM,SI00299299,-0.517002,0.787374,-1.5221,-0.956718,472
44,164221701,,,Inactive,,,,ATM,SI00604730,-0.172246,1.01172,-0.874163,-0.351105,472
45,164221702,,,Active,,,,ATMIN,SI04235364,-0.719419,0.27167,-2.59656,0.0665296,23300
46,164221703,,,Inactive,,,,ATMIN,SI04145869,0.735062,2.89776,-1.5148,0.729991,23300
47,164221704,,,Active,,,,ATR,SI02660231,1.16865,-2.99658,-0.00723709,-0.340478,545
48,164221705,,,Inactive,,,,ATR,SI02664347,3.24586,-1.83105,1.97237,0.893501,545
49,164221706,,,Active,,,,ATRIP,SI03071523,-2.01515,0.447882,-2.44915,-1.89438,84126
50,164221707,,,Inactive,,,,ATRIP,SI03072496,0.0632031,3.06002,-0.597312,1.87984,84126
51,164221708,,,Active,,,,ATRX,SI03042697,-1.47175,-0.161246,-0.610945,-2.07684,546
52,164221709,,,Inactive,,,,ATRX,SI03040114,-0.572094,0.414761,0.150449,0.0366048,546
53,164221710,,,Active,,,,BARD1,SI00299383,-2.40741,0.537663,0.0449513,-0.479799,580
54,164221711,,,Inactive,,,,BARD1,SI02664354,-0.481804,0.771813,0.12194,0.233652,580
55,164221712,,,Inactive,,,,BBC3,SI02822820,-0.155156,-1.29692,-1.34517,-1.02879,27113
56,164221713,,,Inactive,,,,BBC3,SI02655520,0.38753,-0.28318,-0.411244,-0.855573,27113
57,164221714,,,Inactive,,,,BCCIP,SI02653259,-0.827911,0.424382,-0.798404,0.200125,56647
58,164221715,,,Inactive,,,,BCCIP,SI02654232,0.308765,0.487636,-0.281422,0.710906,56647
59,164221716,,,Active,,,,BCL3,SI02654554,-0.189474,1.00937,0.0076098,-3.17254,602
60,164221717,,,Inactive,,,,BCL3,SI00073283,0.476074,1.65151,0.106053,1.34899,602
61,164221718,,,Inactive,,,,BCL6,SI02654561,-0.198085,-0.00235628,-0.399075,-0.174596,604
62,164221719,,,Inactive,,,,BCL6,SI00311129,0.988831,1.15971,0.355338,1.57884,604
63,164221720,,,Inactive,,,,BDP1,SI04172980,-0.877177,0.364828,-0.791752,0.417443,55814
64,164221721,,,Inactive,,,,BDP1,SI04143286,-0.646902,2.8286,-0.632003,1.40221,55814
65,164221722,,,Active,,,,BLM,SI00000938,-0.775173,-8.82698,0.292186,0.305006,641
66,164221723,,,Inactive,,,,BLM,SI00000945,0.847882,-0.356333,0.55305,1.08002,641
67,164221724,,,Active,,,,BMI1,SI03053610,0.666685,-2.89463,-1.61875,0.895042,648
68,164221725,,,Inactive,,,,BMI1,SI03051874,2.0103,-1.48937,-0.372124,1.43807,648
69,164221726,,,Active,,,,BNIP3,SI00299474,0.721905,-2.77261,-2.21056,-1.35958,664
70,164221727,,,Inactive,,,,BNIP3,SI02662429,1.09486,-0.993537,-0.132198,0.00699447,664
71,164221728,,,Active,,,,BRCA1,SI00299495,0.681775,-3.90211,-0.296872,-0.231737,672
72,164221729,,,Inactive,,,,BRCA1,SI02654575,1.18052,-0.091658,1.14317,-0.189045,672
73,164221730,,,Inactive,,,,BRCA2,SI02653595,-1.12088,-0.91643,-1.41514,-1.63802,675
74,164221731,,,Inactive,,,,BRCA2,SI02653434,0.939351,0.161493,0.0768711,4.50944,675
75,164221732,,,Inactive,,,,BRCC3,SI00136136,0.933784,-0.932366,-0.772688,-0.518746,79184
76,164221733,,,Inactive,,,,BRCC3,SI03109456,1.34499,-0.32082,-0.660635,2.92743,79184
77,164221734,,,Inactive,,,,BRE,SI00069811,-1.00521,-1.87976,-1.40531,-1.36188,9577
78,164221735,,,Inactive,,,,BRE,SI00069804,-0.153603,0.940729,-0.0704824,1.42059,9577
79,164221736,,,Active,,,,BRIP1,SI00141988,-0.249054,-3.24449,-0.79745,-2.01703,83990
80,164221737,,,Inactive,,,,BRIP1,SI00141981,1.05665,0.251643,-0.248718,0.0853023,83990
81,164221738,,,Active,,,,BTG2,SI03648806,-3.55039,0.990826,-0.479634,-0.107182,7832
82,164221739,,,Inactive,,,,BTG2,SI00314216,1.85474,1.64178,0.15203,0.335099,7832
83,164221740,,,Active,,,,C10orf2,SI00131243,0.113249,0.451399,-2.67233,-0.644469,56652
84,164221741,,,Inactive,,,,C10orf2,SI00131250,0.403552,0.523337,-0.366316,3.53684,56652
85,164221742,,,Active,,,,C11orf30,SI03154900,-0.920883,-2.39339,-1.7068,-1.28172,56946
86,164221743,,,Inactive,,,,C11orf30,SI04270987,0.974728,-0.23796,-0.139293,-0.377174,56946
87,164221744,,,Active,,,,C16orf35,SI03193232,-1.73502,-1.35882,0.0850108,-2.09928,8131
88,164221745,,,Inactive,,,,C16orf35,SI00321097,0.65519,0.267558,1.84582,0.583174,8131
89,164221746,,,Active,,,,C17orf70,SI04243015,-1.34576,-2.76885,-4.06384,-0.166501,80233
90,164221747,,,Inactive,,,,C17orf70,SI04184341,-0.0849271,-1.71859,-1.00341,1.76555,80233
91,164221748,,,Active,,,,C18orf34,SI04251723,-0.641371,-2.79454,-1.05518,-0.353926,374864
92,164221749,,,Inactive,,,,C18orf34,SI04185811,-0.624597,2.58089,-0.201805,1.33936,374864
93,164221750,,,Active,,,,C19orf40,SI04171132,-2.70407,-2.51232,-2.13529,0.417015,91442
94,164221751,,,Inactive,,,,C19orf40,SI04132198,-0.822894,2.14105,-0.315544,1.7015,91442
95,164221752,,,Inactive,,,,C1orf124,SI03059952,-0.103288,-0.515172,-1.52505,-1.10986,83932
96,164221753,,,Inactive,,,,C1orf124,SI03042970,0.863522,0.0300328,-0.870454,0.13771,83932
97,164221754,,,Inactive,,,,C2orf13,SI04156236,-1.944,0.299377,-1.03068,-0.575564,200558
98,164221755,,,Inactive,,,,C2orf13,SI04139443,-1.67525,1.14979,-0.59098,1.69409,200558
99,164221756,,,Inactive,,,,CBL,SI02757321,-0.798903,1.78531,-1.12395,-1.96549,867
