PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,164128092,71562787,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5)CCCN=C(N)N,Active,,,,0.0267,Ki,=,26.7,nM,
2,164128092,71562787,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5)CCCN=C(N)N,Active,,,,0.102,IC50,=,102,nM,
3,164128093,71563032,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=C(C=C5)Cl)CCCN=C(N)N,Active,,,,0.549,Ki,=,549,nM,
4,164128093,71563032,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=C(C=C5)Cl)CCCN=C(N)N,Active,,,,2.01,IC50,=,2010,nM,
5,164128116,71716131,C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)C,Active,,,,0.311,Ki,=,311,nM,
