aid,assay_name,assay_source_id,current_source_name,source_names,activity_outcome_method,active_sid_count,total_sid_count,target_count,deposit_date,modify_date,assay_description,search_terms,n_search_terms,selection_rank
1416307,Inhibition of menin (unknown origin)-FITC-tagged MLL1 (unknown origin) protein-protein interaction after 1 hr by fluorescence polarization assay,CHEMBL4262731,ChEMBL,ChEMBL,Confirmatory,2,8,2,2020/06/19 00:00,2022/08/30 00:00,"Title: Theoretical models of inhibitory activity for inhibitors of protein-protein interactions: targeting menin-mixed lineage leukemia with small molecules._||_Abstract: Development and binding affinity predictions of inhibitors targeting protein-protein interactions (PPI) still represent a major challenge in drug discovery efforts. This work reports application of a predictive non-empirical model of inhibitory activity for PPI inhibitors, exemplified here for small molecules targeting the menin-mixed lineage leukemia (MLL) interaction. Systematic ab initio analysis of menin-inhibitor complexes was performed, revealing the physical nature of these interactions. Notably, the non-empirical protein-ligand interaction energy comprising electrostatic multipole and approximate dispersion terms (E(10)El,MTP + EDas) produced a remarkable correlation with experimentally measured inhibitory activities and enabled accurate activity prediction for new menin-MLL inhibitors. Importantly, this relatively simple and computationally affordable non-empirical interaction energy model outperformed binding affinity predictions derived from commonly used empirical scoring functions. This study demonstrates high relevance of the non-empirical model we developed for binding affinity prediction of inhibitors targeting protein-protein interactions that are difficult to predict using empirical scoring functions. ",MEN1 menin inhibitor;Menin-MLL Interaction Inhibitory Activity;menin MLL inhibitor;target_gene:MEN1,4,1
1416306,Inhibition of full length human menin-MLL1 (4 to 43 residues) (unknown origin) protein-protein interaction after 1 hr by fluorescence polarization assay,CHEMBL4262730,ChEMBL,ChEMBL,Confirmatory,2,2,2,2020/06/19 00:00,2022/08/30 00:00,"Title: Theoretical models of inhibitory activity for inhibitors of protein-protein interactions: targeting menin-mixed lineage leukemia with small molecules._||_Abstract: Development and binding affinity predictions of inhibitors targeting protein-protein interactions (PPI) still represent a major challenge in drug discovery efforts. This work reports application of a predictive non-empirical model of inhibitory activity for PPI inhibitors, exemplified here for small molecules targeting the menin-mixed lineage leukemia (MLL) interaction. Systematic ab initio analysis of menin-inhibitor complexes was performed, revealing the physical nature of these interactions. Notably, the non-empirical protein-ligand interaction energy comprising electrostatic multipole and approximate dispersion terms (E(10)El,MTP + EDas) produced a remarkable correlation with experimentally measured inhibitory activities and enabled accurate activity prediction for new menin-MLL inhibitors. Importantly, this relatively simple and computationally affordable non-empirical interaction energy model outperformed binding affinity predictions derived from commonly used empirical scoring functions. This study demonstrates high relevance of the non-empirical model we developed for binding affinity prediction of inhibitors targeting protein-protein interactions that are difficult to predict using empirical scoring functions. ",MEN1 menin inhibitor;Menin-MLL Interaction Inhibitory Activity;menin MLL inhibitor;target_gene:MEN1,4,2
1416305,Inhibition of menin (unknown origin)-fluorescein-labeled MLL1 (unknown origin) after 1 hr by fluorescence polarization assay,CHEMBL4262729,ChEMBL,ChEMBL,Confirmatory,5,7,2,2020/06/19 00:00,2022/08/30 00:00,"Title: Theoretical models of inhibitory activity for inhibitors of protein-protein interactions: targeting menin-mixed lineage leukemia with small molecules._||_Abstract: Development and binding affinity predictions of inhibitors targeting protein-protein interactions (PPI) still represent a major challenge in drug discovery efforts. This work reports application of a predictive non-empirical model of inhibitory activity for PPI inhibitors, exemplified here for small molecules targeting the menin-mixed lineage leukemia (MLL) interaction. Systematic ab initio analysis of menin-inhibitor complexes was performed, revealing the physical nature of these interactions. Notably, the non-empirical protein-ligand interaction energy comprising electrostatic multipole and approximate dispersion terms (E(10)El,MTP + EDas) produced a remarkable correlation with experimentally measured inhibitory activities and enabled accurate activity prediction for new menin-MLL inhibitors. Importantly, this relatively simple and computationally affordable non-empirical interaction energy model outperformed binding affinity predictions derived from commonly used empirical scoring functions. This study demonstrates high relevance of the non-empirical model we developed for binding affinity prediction of inhibitors targeting protein-protein interactions that are difficult to predict using empirical scoring functions. ",MEN1 menin inhibitor;Menin-MLL Interaction Inhibitory Activity;menin MLL inhibitor;target_gene:MEN1,4,3
1244929,Inhibition of N-terminal thioredoxin His6-tagged full-length human menin expressed in Escherichia coli Rosetta (DE3) cells assessed as reduction in menin interaction with FITC-MBM1 peptide of MLL (4 to 15 residues) by fluorescence polarization assay,CHEMBL3614558,ChEMBL,ChEMBL,Confirmatory,9,9,1,2016/12/24 00:00,2022/08/30 00:00,"Title: Rational Design of Orthogonal Multipolar Interactions with Fluorine in Protein-Ligand Complexes._||_Abstract: Multipolar interactions involving fluorine and the protein backbone have been frequently observed in protein-ligand complexes. Such fluorine-backbone interactions may substantially contribute to the high affinity of small molecule inhibitors. Here we found that introduction of trifluoromethyl groups into two different sites in the thienopyrimidine class of menin-MLL inhibitors considerably improved their inhibitory activity. In both cases, trifluoromethyl groups are engaged in short interactions with the backbone of menin. In order to understand the effect of fluorine, we synthesized a series of analogues by systematically changing the number of fluorine atoms, and we determined high-resolution crystal structures of the complexes with menin. We found that introduction of fluorine at favorable geometry for interactions with backbone carbonyls may improve the activity of menin-MLL inhibitors as much as 5- to 10-fold. In order to facilitate the design of multipolar fluorine-backbone interactions in protein-ligand complexes, we developed a computational algorithm named FMAP, which calculates fluorophilic sites in proximity to the protein backbone. We demonstrated that FMAP could be used to rationalize improvement in the activity of known protein inhibitors upon introduction of fluorine. Furthermore, FMAP may also represent a valuable tool for designing new fluorine substitutions and support ligand optimization in drug discovery projects. Analysis of the menin-MLL inhibitor complexes revealed that the backbone in secondary structures is particularly accessible to the interactions with fluorine. Considering that secondary structure elements are frequently exposed at protein interfaces, we postulate that multipolar fluorine-backbone interactions may represent a particularly attractive approach to improve inhibitors of protein-protein interactions. ",MEN1 menin inhibitor;Menin-MLL Interaction Inhibitory Activity;menin MLL inhibitor;target_gene:MEN1,4,4
2061141,"Menin-MLL Interaction Inhibitory Activity Assay from US Patent US20250074910: ""MENIN INHIBITOR AND USE THEREOF""",BindingDB_12757_1,BindingDB,BindingDB,Confirmatory,86,86,1,2025/08/22 00:00,2025/08/22 00:00,"The inhibition of Menin/MLL-4-43 peptide interaction by small molecule inhibitors was quantitatively detected by fluorescence polarization competition assay. The experiment was performed in a 384-well plate (Corning, Cat #3575) using a reaction buffer consisting of 50 mM Tris, pH 7.5, 50 mM NaCl, and 1 mM DTT. A 40 ?L reaction system included 10 ?L of 8 nM Menin recombinant protein and 10 ?L of the test compound at different concentrations. The compound was pre-incubated with Menin protein for 15 min, and then 20 ?L of 10 nM FITC-MLL4-43-peptide was added. After incubation on a shaker at 25  C. for 60 min, the fluorescence polarization signal (FP 485 520 520) was read using BMG PHERAStar detection. The experimental data was analyzed and processed by GraphPad Prism 6 software to obtain the IC50 value. ","""menin/MLL"" inhibitor;Menin-MLL Interaction Inhibitory Activity;menin MLL inhibitor",3,5
1852518,Inhibition of Menin/fluorescein labeled MLL(4 to 43 residues) (unknown origin) protein protein interaction incubated for 1 hr by fluorescence polarization-based competitive binding assay,CHEMBL5107240,ChEMBL,ChEMBL,Confirmatory,22,38,2,2023/06/29 00:00,2023/06/29 00:00,"Title: Discovery of Novel, Potent, and Selective Small-Molecule Menin-Mixed Lineage Leukemia Interaction Inhibitors through Attempting Introduction of Hydrophilic Groups._||_Abstract: Introduction of the <i>N</i>,<i>N</i>-dimethylaminoethoxy group to pyrido[3,2-<i>d</i>]pyrimidine led to the discovery of menin-mixed lineage leukemia (MLL) interaction inhibitor <b>C20</b>. <b>C20</b> showed strong binding affinity to menin protein and achieved sub-micromolar potency in cell growth inhibition. <b>C20</b> had good selectivity for the inhibition of the interaction between menin and MLL in the kinase profile evaluation. Pharmacokinetic studies demonstrated that <b>C20</b> possessed good stability and low clearance rate in liver microsomes and acceptable bioavailability in rats. Subsequent oral administration of <b>C20</b> showed potent antitumor activity in the MV4;11 subcutaneous xenograft models of MLL-rearranged leukemia. The docking study showed that <b>C20</b> bound highly with menin, and the <i>N</i>,<i>N</i>-dimethylaminoethoxy group occupied the F9 pocket of menin. This study proved that introducing a hydrophilic group into the F9 pocket of menin would be a new strategy for the design of menin-MLL interaction inhibitors with potent binding affinity and improved physical properties. ",MEN1 menin inhibitor;menin MLL inhibitor;target_gene:MEN1,3,6
1817584,Binding affinity to recombinant human menin protein assessed as covalent complex formation measured after overnight incubation by LC/MS analysis,CHEMBL5040197,ChEMBL,ChEMBL,,,8,1,2023/03/14 00:00,2023/03/14 00:00,"Title: Discovery of M-1121 as an Orally Active Covalent Inhibitor of Menin-MLL Interaction Capable of Achieving Complete and Long-Lasting Tumor Regression._||_Abstract: Targeting the menin-MLL protein-protein interaction is being pursued as a new therapeutic strategy for the treatment of acute leukemia carrying MLL-rearrangements (MLLr leukemia). Herein, we report M-1121, a covalent and orally active inhibitor of the menin-MLL interaction capable of achieving complete and persistent tumor regression. M-1121 establishes covalent interactions with Cysteine 329 located in the MLL binding pocket of menin and potently inhibits growth of acute leukemia cell lines carrying MLL translocations with no activity in cell lines with wild-type MLL. Consistent with the mechanism of action, M-1121 drives dose-dependent down-regulation of <i>HOXA9</i> and <i>MEIS1</i> gene expression in the MLL-rearranged MV4;11 leukemia cell line. M-1121 is orally bioavailable and shows potent antitumor activity <i>in vivo</i> with tumor regressions observed at tolerated doses in the MV4;11 subcutaneous and disseminated models of MLL-rearranged leukemia. Together, our findings support development of an orally active covalent menin inhibitor as a new therapy for MLLr leukemia. ",MEN1 menin inhibitor;menin MLL inhibitor;target_gene:MEN1,3,7
1817583,Binding affinity to recombinant human menin protein assessed as covalent complex formation incubated for 1 hrs by LC/MS analysis,CHEMBL5040196,ChEMBL,ChEMBL,,,8,1,2023/03/14 00:00,2023/03/14 00:00,"Title: Discovery of M-1121 as an Orally Active Covalent Inhibitor of Menin-MLL Interaction Capable of Achieving Complete and Long-Lasting Tumor Regression._||_Abstract: Targeting the menin-MLL protein-protein interaction is being pursued as a new therapeutic strategy for the treatment of acute leukemia carrying MLL-rearrangements (MLLr leukemia). Herein, we report M-1121, a covalent and orally active inhibitor of the menin-MLL interaction capable of achieving complete and persistent tumor regression. M-1121 establishes covalent interactions with Cysteine 329 located in the MLL binding pocket of menin and potently inhibits growth of acute leukemia cell lines carrying MLL translocations with no activity in cell lines with wild-type MLL. Consistent with the mechanism of action, M-1121 drives dose-dependent down-regulation of <i>HOXA9</i> and <i>MEIS1</i> gene expression in the MLL-rearranged MV4;11 leukemia cell line. M-1121 is orally bioavailable and shows potent antitumor activity <i>in vivo</i> with tumor regressions observed at tolerated doses in the MV4;11 subcutaneous and disseminated models of MLL-rearranged leukemia. Together, our findings support development of an orally active covalent menin inhibitor as a new therapy for MLLr leukemia. ",MEN1 menin inhibitor;menin MLL inhibitor;target_gene:MEN1,3,8
1817582,Binding affinity to recombinant human menin protein assessed as covalent complex formation incubated for 30 mins by LC/MS analysis,CHEMBL5040195,ChEMBL,ChEMBL,,,8,1,2023/03/14 00:00,2023/03/14 00:00,"Title: Discovery of M-1121 as an Orally Active Covalent Inhibitor of Menin-MLL Interaction Capable of Achieving Complete and Long-Lasting Tumor Regression._||_Abstract: Targeting the menin-MLL protein-protein interaction is being pursued as a new therapeutic strategy for the treatment of acute leukemia carrying MLL-rearrangements (MLLr leukemia). Herein, we report M-1121, a covalent and orally active inhibitor of the menin-MLL interaction capable of achieving complete and persistent tumor regression. M-1121 establishes covalent interactions with Cysteine 329 located in the MLL binding pocket of menin and potently inhibits growth of acute leukemia cell lines carrying MLL translocations with no activity in cell lines with wild-type MLL. Consistent with the mechanism of action, M-1121 drives dose-dependent down-regulation of <i>HOXA9</i> and <i>MEIS1</i> gene expression in the MLL-rearranged MV4;11 leukemia cell line. M-1121 is orally bioavailable and shows potent antitumor activity <i>in vivo</i> with tumor regressions observed at tolerated doses in the MV4;11 subcutaneous and disseminated models of MLL-rearranged leukemia. Together, our findings support development of an orally active covalent menin inhibitor as a new therapy for MLLr leukemia. ",MEN1 menin inhibitor;menin MLL inhibitor;target_gene:MEN1,3,9
1817581,Binding affinity to recombinant human menin protein assessed as covalent complex formation incubated for 10 mins by LC/MS analysis,CHEMBL5040194,ChEMBL,ChEMBL,,,8,1,2023/03/14 00:00,2023/03/14 00:00,"Title: Discovery of M-1121 as an Orally Active Covalent Inhibitor of Menin-MLL Interaction Capable of Achieving Complete and Long-Lasting Tumor Regression._||_Abstract: Targeting the menin-MLL protein-protein interaction is being pursued as a new therapeutic strategy for the treatment of acute leukemia carrying MLL-rearrangements (MLLr leukemia). Herein, we report M-1121, a covalent and orally active inhibitor of the menin-MLL interaction capable of achieving complete and persistent tumor regression. M-1121 establishes covalent interactions with Cysteine 329 located in the MLL binding pocket of menin and potently inhibits growth of acute leukemia cell lines carrying MLL translocations with no activity in cell lines with wild-type MLL. Consistent with the mechanism of action, M-1121 drives dose-dependent down-regulation of <i>HOXA9</i> and <i>MEIS1</i> gene expression in the MLL-rearranged MV4;11 leukemia cell line. M-1121 is orally bioavailable and shows potent antitumor activity <i>in vivo</i> with tumor regressions observed at tolerated doses in the MV4;11 subcutaneous and disseminated models of MLL-rearranged leukemia. Together, our findings support development of an orally active covalent menin inhibitor as a new therapy for MLLr leukemia. ",MEN1 menin inhibitor;menin MLL inhibitor;target_gene:MEN1,3,10
