literature_id,parent_literature_id,doi,title,year,topic,role,local_path,data_availability,applicability_to_internal_series,review_status
sun_2026_jcim_6c00163_article,,10.1021/acs.jcim.6c00163,"Modeling hERG Channel Liability: From Structural Insight to Highly Accurate Qualitative and Quantitative Models",2026,hERG predictive modeling,article,research/literature/herg/predictive_modeling/2026_sun_wang_shen_jcim_6c00163/article.pdf,"article attached; code/splits/atom typing absent","conventional comparator only; maximum internal nearest similarity is low",reviewed
sun_2026_jcim_6c00163_dataset,sun_2026_jcim_6c00163_article,10.1021/acs.jcim.6c00163,"Modeling hERG Channel Liability: supplementary dataset",2026,hERG predictive modeling,supplementary dataset,research/literature/herg/predictive_modeling/2026_sun_wang_shen_jcim_6c00163/supplementary_dataset.xlsx,"classification/regression/validation sheets attached; conflicts quarantined","external comparison and data-QC precedent; not direct calibration",reviewed_and_normalized
sun_2026_jcim_6c00163_methods,sun_2026_jcim_6c00163_article,10.1021/acs.jcim.6c00163,"Modeling hERG Channel Liability: supplementary methods",2026,hERG predictive modeling,supplementary methods,research/literature/herg/predictive_modeling/2026_sun_wang_shen_jcim_6c00163/supplementary_methods.pdf,"methods/figures attached; exact custom implementation absent","descriptor/model reproduction boundary",reviewed
miyashita_2024_article,,10.1016/j.str.2024.08.021,"Improved higher resolution cryo-EM structures reveal the binding modes of hERG channel inhibitors",2024,hERG structural biology,article,research/literature/herg/structural_biology/2024_miyashita_inhibitor_bound/article.pdf,"article attached; 8ZYN-8ZYQ raw coordinates acquired and validated; EM maps and prepared systems remain nonlocal","receptor-state and interaction hypotheses; not affinity calibration",reviewed_and_augmented
miyashita_2024_si,miyashita_2024_article,10.1016/j.str.2024.08.021,"Improved higher resolution cryo-EM structures: supplementary information",2024,hERG structural biology,supplementary information,research/literature/herg/structural_biology/2024_miyashita_inhibitor_bound/supplementary_information.pdf,"supplement attached; mmc2 combined duplicate verified","system-preparation and structural interpretation",reviewed
lau_2024_article,,10.1038/s41467-024-51208-w,"Potassium dependent structural changes in the selectivity filter of HERG potassium channels",2024,hERG structural biology,article,research/literature/herg/structural_biology/2024_lau_potassium_states/article.pdf,"article and all publisher-hosted supplements acquired; 9CHP and 9CHQ are the two canonical local C4 coordinates; lower-resolution C1 models 9CHR and 9CHS are intentionally excluded/nonlocal; EM maps and simulation reproducibility package remain nonlocal","potassium/filter-state ensemble; not ligand potency calibration",reviewed_and_augmented
lau_2024_si,lau_2024_article,10.1038/s41467-024-51208-w,"Potassium dependent structural changes in the selectivity filter of HERG potassium channels: supplementary information",2024,hERG structural biology,supplementary information,research/literature/herg/structural_biology/2024_lau_potassium_states/supplementary_information.pdf,"24-page publisher supplementary information acquired","simulation methods and structural interpretation; not quantitative ligand calibration",reviewed
lau_2024_supplementary_description,lau_2024_article,10.1038/s41467-024-51208-w,"Potassium dependent structural changes in the selectivity filter of HERG potassium channels: supplementary file description",2024,hERG structural biology,supplementary file description,research/literature/herg/structural_biology/2024_lau_potassium_states/supplementary_file_description.pdf,"publisher description for Supplementary Movie 1 acquired","asset interpretation and provenance only",reviewed
lau_2024_movie,lau_2024_article,10.1038/s41467-024-51208-w,"Potassium dependent structural changes in the selectivity filter of HERG potassium channels: Supplementary Movie 1",2024,hERG structural biology,supplementary movie,research/literature/herg/structural_biology/2024_lau_potassium_states/supplementary_movie_1.mov,"publisher supplementary movie acquired","qualitative carbonyl-flip pathway visualization; not a trajectory for reanalysis",reviewed
lau_2024_reporting_summary,lau_2024_article,10.1038/s41467-024-51208-w,"Potassium dependent structural changes in the selectivity filter of HERG potassium channels: reporting summary",2024,hERG structural biology,reporting summary,research/literature/herg/structural_biology/2024_lau_potassium_states/reporting_summary.pdf,"publisher reporting summary acquired","methods and reporting audit only",reviewed
