feature,n_finite,fraction_finite,exact_target_copy,pearson_correlation,high_absolute_correlation,requires_review
aromatic_ring_count,12500,1.0,False,-0.12119669857363272,False,False
exact_mol_wt,12500,1.0,False,-0.08544849230009992,False,False
formal_charge,12500,1.0,False,0.0017828076241348263,False,False
fraction_csp3,12500,1.0,False,-0.09089354835018054,False,False
h_bond_acceptors,12500,1.0,False,-0.055503636201310276,False,False
h_bond_donors,12500,1.0,False,-0.03233072275952346,False,False
heavy_atom_count,12500,1.0,False,-0.08793504368289357,False,False
invalid_structure,12500,1.0,False,,False,False
logp,12500,1.0,False,-0.06672553486479901,False,False
mol_wt,12500,1.0,False,-0.08544953177018812,False,False
ring_count,12500,1.0,False,-0.1470364209082577,False,False
rotatable_bonds,12500,1.0,False,-0.055632963535025434,False,False
tpsa,12500,1.0,False,-0.043737915578370576,False,False
