feature,n_finite,fraction_finite,exact_target_copy,pearson_correlation,high_absolute_correlation,requires_review
aromatic_ring_count,4639,1.0,False,-0.0545659819477746,False,False
exact_mol_wt,4639,1.0,False,-0.06026553891164761,False,False
formal_charge,4639,1.0,False,-0.016340071439887405,False,False
fraction_csp3,4639,1.0,False,-0.013190280633089815,False,False
h_bond_acceptors,4639,1.0,False,-0.014452224873491341,False,False
h_bond_donors,4639,1.0,False,0.013673140667408063,False,False
heavy_atom_count,4639,1.0,False,-0.05787853366044431,False,False
invalid_structure,4639,1.0,False,,False,False
logp,4639,1.0,False,-0.08582241892435478,False,False
mol_wt,4639,1.0,False,-0.06033196676711459,False,False
ring_count,4639,1.0,False,-0.10657972766437436,False,False
rotatable_bonds,4639,1.0,False,-0.03825509073810412,False,False
tpsa,4639,1.0,False,0.005812038424848467,False,False
