feature,n_finite,fraction_finite,exact_target_copy,pearson_correlation,high_absolute_correlation,requires_review
aromatic_ring_count,12500,1.0,False,-0.09605575930132776,False,False
exact_mol_wt,12500,1.0,False,-0.06764593954916105,False,False
formal_charge,12500,1.0,False,0.017324164940301645,False,False
fraction_csp3,12500,1.0,False,-0.010416894496002213,False,False
h_bond_acceptors,12500,1.0,False,-0.029693777629431286,False,False
h_bond_donors,12500,1.0,False,0.026657222798390137,False,False
heavy_atom_count,12500,1.0,False,-0.0708371448856355,False,False
invalid_structure,12500,1.0,False,,False,False
logp,12500,1.0,False,-0.09562737551831402,False,False
mol_wt,12500,1.0,False,-0.06769068815611205,False,False
ring_count,12500,1.0,False,-0.14685026856666697,False,False
rotatable_bonds,12500,1.0,False,-0.021151848814021823,False,False
tpsa,12500,1.0,False,0.005643995717081316,False,False
