feature,n_finite,fraction_finite,exact_target_copy,pearson_correlation,high_absolute_correlation,requires_review
aromatic_ring_count,107,1.0,False,-0.1377100016173114,False,False
exact_mol_wt,107,1.0,False,-0.33124581824427957,False,False
formal_charge,107,1.0,False,,False,False
fraction_csp3,107,1.0,False,0.03690138906090633,False,False
h_bond_acceptors,107,1.0,False,-0.4583562238621571,False,False
h_bond_donors,107,1.0,False,-0.34735138652700936,False,False
heavy_atom_count,107,1.0,False,-0.3305873820208392,False,False
invalid_structure,107,1.0,False,,False,False
logp,107,1.0,False,0.16516027724646934,False,False
mol_wt,107,1.0,False,-0.33082408952462256,False,False
ring_count,107,1.0,False,-0.11423714729823292,False,False
rotatable_bonds,107,1.0,False,-0.11184684161098106,False,False
tpsa,107,1.0,False,-0.5448808697624113,False,False
