feature,n_finite,fraction_finite,exact_target_copy,pearson_correlation,high_absolute_correlation,requires_review
aromatic_ring_count,12500,1.0,False,-0.11696808553180646,False,False
exact_mol_wt,12500,1.0,False,-0.1294162753940197,False,False
formal_charge,12500,1.0,False,-0.016739120801212752,False,False
fraction_csp3,12500,1.0,False,-0.12171138532228966,False,False
h_bond_acceptors,12500,1.0,False,-0.042647160967456285,False,False
h_bond_donors,12500,1.0,False,-0.028522991042850866,False,False
heavy_atom_count,12500,1.0,False,-0.1376588012292368,False,False
invalid_structure,12500,1.0,False,,False,False
logp,12500,1.0,False,-0.12490911914047333,False,False
mol_wt,12500,1.0,False,-0.1293894300724423,False,False
ring_count,12500,1.0,False,-0.17239365418707794,False,False
rotatable_bonds,12500,1.0,False,-0.08610951216773603,False,False
tpsa,12500,1.0,False,-0.0353899334528312,False,False
