modeling_row,structure_id,smiles,p_activity_median,endpoints,assay_families,sources,document_year,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
0,STR-057D3FCC1D3A4F62ECE4,CCC(=O)N[C@H]1CCN(S(=O)(=O)c2ccc(N3CC(CN4CCN(c5ncncc5Nc5ccc(F)cc5C(=O)N(CC)C(C)C)CC4)C3)cc2)C1,6.431278142534429,IC50,in_vivo,PubChem,2026.0,STR-057D3FCC1D3A4F62ECE4,O=S(=O)(c1ccc(N2CC(CN3CCN(c4ncncc4Nc4ccccc4)CC3)C2)cc1)N1CCCC1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
1,STR-058BED13AF8AEBC01675,CC(C)CNc1cc2c(NC3CCN(CC4CN(c5ccc(C#N)cc5)C4)CC3)ncnc2cn1,5.7055337738384075,IC50,in_vivo,PubChem,2023.0,STR-058BED13AF8AEBC01675,c1ccc(N2CC(CN3CCC(Nc4ncnc5cnccc45)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
2,STR-062343CE45A5FA8286D4,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2[nH]c(C#N)cc12,7.659379381312206,IC50,in_vivo,PubChem,2018.0,STR-062343CE45A5FA8286D4,c1nc(NC2CCN(Cc3ccc4[nH]ccc4c3)CC2)c2ccsc2n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
3,STR-086DEF6151FB4C05C2D4,C=CC(=O)Nc1cccc(N2CC(CN3CCN(c4ncncc4Nc4ccc(F)cc4C(=O)N(C(C)C)C(C)C)CC3)C2)c1,5.876148359032914,IC50,in_vivo,PubChem,2026.0,STR-086DEF6151FB4C05C2D4,c1ccc(Nc2cncnc2N2CCN(CC3CN(c4ccccc4)C3)CC2)cc1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
4,STR-08D7941426DE68C61BB3,CCN(C(=O)c1cc(F)ccc1Nc1cncnc1N1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCCC5)C4)cc3)C2)CC1)C(C)C,7.522878745280337,IC50,in_vivo,PubChem,2026.0,STR-08D7941426DE68C61BB3,O=C(C=CCN1CCCCC1)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCN(c5ncncc5Nc5ccccc5)CC4)C3)cc2)C1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
5,STR-09C0DC45AE124F746F57,CCN(C(=O)c1cc(F)ccc1Nc1cncnc1N1C[C@@H](C)N(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)C[C@@H]1C)C(C)C,6.920818753952375,IC50,in_vivo,PubChem,2026.0,STR-09C0DC45AE124F746F57,O=S(=O)(c1ccc(N2CC(CN3CCN(c4ncncc4Nc4ccccc4)CC3)C2)cc1)C1CNC1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
6,STR-0A56438F09B3E75AAE8B,CCCc1cc2c(N3CCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,5.09380271694685,IC50,in_vivo,PubChem,2023.0,STR-0A56438F09B3E75AAE8B,c1nc(N2CCN(C3=NCCS3)CC2)c2ccsc2n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
7,STR-0D59650A385BC72C3DD5,N#Cc1cc2c(Cl)c(CN3CCC(Nc4ncnc5sc(CC(F)(F)F)cc45)CC3)ccc2[nH]1,7.657577319177793,IC50,in_vivo,PubChem,2018.0,STR-0D59650A385BC72C3DD5,c1nc(NC2CCN(Cc3ccc4[nH]ccc4c3)CC2)c2ccsc2n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
8,STR-0E08AB70F62669D82631,CCN(C(=O)c1cc(F)ccc1Nc1cncnc1N1CCN(C(=O)C2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)C(C)C,7.594883741002458,IC50,in_vivo,PubChem,2026.0,STR-0E08AB70F62669D82631,O=C(C1CN(c2ccc(S(=O)(=O)C3CNC3)cc2)C1)N1CCN(c2ncncc2Nc2ccccc2)CC1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,test
9,STR-117A3E666607BB5CECCB,CO[C@@H](CO)Cn1c(C#N)cc2cc(CN3CCC(Nc4ncnc5sc(CC(F)(F)F)cc45)CC3)ccc21,7.397940008672037,IC50,in_vivo,PubChem,2018.0,STR-117A3E666607BB5CECCB,c1nc(NC2CCN(Cc3ccc4[nH]ccc4c3)CC2)c2ccsc2n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
