modeling_row,structure_id,smiles,p_activity_median,endpoints,assay_families,sources,document_year,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
0,STR-0269E0F257D92780EA92,CC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCN=C(N)N)NC1=O,5.497572880015568,Ki,biochemical_binding,PubChem,2013.0,STR-0269E0F257D92780EA92,O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)CCCCCCCCCNC(=O)C2CCCN2C(=O)CN1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,test
1,STR-052D31B0B659EBB9473E,CCN(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@@H]3CC[C@@H](NC(=O)NCC4CC4)CO3)CC2)C1)C(C)C,8.903089986991944,Ki,biochemical_binding,BindingDB;PubChem,,STR-052D31B0B659EBB9473E,O=C(NCC1CC1)NC1CCC(CN2CCC3(CC2)CN(c2ncncc2Oc2ccccc2)C3)OC1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,test
2,STR-063B6E6E165490772386,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(N)=O,6.507239610973162,Ki,biochemical_binding,PubChem,2013.0,STR-063B6E6E165490772386,O=C(CCc1c[nH]c2ccccc12)NCC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NCC(=O)NCC(=O)N1CCCC1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
3,STR-073AD85CF5EE1E9C87AB,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,9.0,Ki,biochemical_binding,BindingDB;ChEMBL,2019.0,STR-073AD85CF5EE1E9C87AB,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
4,STR-094C702ADD088489F553,N#Cc1ccc(OCCCCN2CCC(C3(C4CCCC4)NCCc4ccccc43)CC2)cc1,5.886056647693163,Ki,biochemical_binding,BindingDB;ChEMBL,2019.0,STR-094C702ADD088489F553,c1ccc(OCCCCN2CCC(C3(C4CCCC4)NCCc4ccccc43)CC2)cc1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
5,STR-0B5E0ED39466F3487654,NCC(CCN1CC=C(c2ccc(Cl)cc2)CC1)(c1ccccc1)C1CCCC1,7.096910013008056,Ki,biochemical_binding,BindingDB;ChEMBL;PubChem,2018.0,STR-0B5E0ED39466F3487654,C1=C(c2ccccc2)CCN(CCC(c2ccccc2)C2CCCC2)C1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
6,STR-0B6B013EF83E068B0788,N=C(N)NCCC[C@@H]1NC(=O)C2(CC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,7.2537594949355615,Ki,biochemical_binding,BindingDB;ChEMBL,2013.0,STR-0B6B013EF83E068B0788,O=C1CCCCCCCCCNC(=O)C2CCCN2C(=O)CNC(=O)C2(CC2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)N1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
7,STR-0D9FC637EF3720B34B15,NC(N)=NCCC[C@@H]1NC(=O)C2(CCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,5.779891911959945,Ki,biochemical_binding,PubChem,2013.0,STR-0D9FC637EF3720B34B15,O=C1CCCCCCCCCNC(=O)C2CCCN2C(=O)CNC(=O)C2(CCCC2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)N1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
8,STR-0FC172F4903F344CAD3C,CC(C)S(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,7.67778070526608,Ki,biochemical_binding,BindingDB;ChEMBL,2019.0,STR-0FC172F4903F344CAD3C,c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
9,STR-12A59F07B02F9BBF2913,N=C(N)c1ccc(C2C3C(=O)N(Cc4ccc(F)cc4)C(=O)C3C3CCCN32)cc1,7.2441251443275085,Ki,biochemical_binding,PubChem,2016.0,STR-12A59F07B02F9BBF2913,O=C1C2C(C(=O)N1Cc1ccccc1)C(c1ccccc1)N1CCCC21,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
