modeling_row,structure_id,standard_inchi_key,smiles,herg_blocker_label,endpoints,assay_families,document_year,document_years,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
0,STR-0018C58F56A0581A267A,BRHCBXCFHAVZMT-FPYGCLRLSA-N,O=C(/C=C/c1ccc(Br)cc1)N1CCN(C(=O)c2ccc3ncsc3c2)CC1,1,IC50,electrophysiology_functional,2024.0,2024.0,STR-0018C58F56A0581A267A,O=C(C=Cc1ccccc1)N1CCN(C(=O)c2ccc3ncsc3c2)CC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
1,STR-007DCD9FC3AF297751F8,DRGRCRRKRGIMMI-UHFFFAOYSA-N,CC(C)(O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1,IC50,electrophysiology_functional,2003.0,2003.0,STR-007DCD9FC3AF297751F8,c1ccc(CCCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2,STR-00AEAE23F4E1149E9899,MQAYCYSVHQWNLG-IKPAITLHSA-N,N#Cc1c(-c2ccccc2)cc(-c2ccccc2)nc1/N=C1\SCC(=O)N1c1ccccc1,0,IC50,electrophysiology_functional,2015.0,2015.0,STR-00AEAE23F4E1149E9899,O=C1CSC(=Nc2cc(-c3ccccc3)cc(-c3ccccc3)n2)N1c1ccccc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
3,STR-00C8835766FBBA10EE01,GULLJOKXHUNFKN-UHFFFAOYSA-N,O=C(CCCCc1c[nH]nn1)NC1CCN(C(=O)OCc2cc(Cl)cc(Cl)c2)CC1,1,IC50,electrophysiology_functional,2018.0,2018.0,STR-00C8835766FBBA10EE01,O=C(CCCCc1c[nH]nn1)NC1CCN(C(=O)OCc2ccccc2)CC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
4,STR-00F4E1BC2F061315D781,VHVGKVIQUSMBPM-SNVBAGLBSA-N,C[C@@H]1CN(c2sc(C(F)(F)F)nc2-c2cnc(C(F)(F)F)nc2)CCN1C(=O)Cn1cnc(C#N)n1,1,IC50,electrophysiology_functional,2023.0,2023.0,STR-00F4E1BC2F061315D781,O=C(Cn1cncn1)N1CCN(c2scnc2-c2cncnc2)CC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
5,STR-00FDD946F5AC106AC095,FUQSXIQIHGWZKY-UHFFFAOYSA-N,FC(F)(F)c1noc(-c2ccc(CCN3CCC(Nc4nc5ccccc5[nH]4)CC3)cc2)n1,1,IC50,electrophysiology_functional,2022.0,2022.0,STR-00FDD946F5AC106AC095,c1ccc2[nH]c(NC3CCN(CCc4ccc(-c5ncno5)cc4)CC3)nc2c1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
6,STR-0109CC267EF4BC298B4B,WCADNSJQHAGKBX-HXUWFJFHSA-N,N[C@@H]1CCCN(C(=O)c2ccc(-c3ccc4ncc(-c5cc6ccccc6o5)n4n3)cc2)C1,1,IC50,electrophysiology_functional,2024.0,2024.0,STR-0109CC267EF4BC298B4B,O=C(c1ccc(-c2ccc3ncc(-c4cc5ccccc5o4)n3n2)cc1)N1CCCCC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
7,STR-011B8AD5C90D4725203A,GONCOLJMAFSBKX-UHFFFAOYSA-N,CN(C)Cc1c(-c2ccncc2)n(-c2ccc(Cl)cc2)c2cnccc12,1,IC50,electrophysiology_functional,2017.0,2017.0,STR-011B8AD5C90D4725203A,c1ccc(-n2c(-c3ccncc3)cc3ccncc32)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
8,STR-012245D686FC076E63C1,RWZRYOLADSIKMF-UHFFFAOYSA-N,CC(C)n1cc(Nc2nc(N)nc(-c3cccc(-n4ccc5cc(C6CC6)cc(F)c5c4=O)c3CO)n2)cc1C#N,0,IC50,electrophysiology_functional,2018.0,2018.0,STR-012245D686FC076E63C1,O=c1c2ccc(C3CC3)cc2ccn1-c1cccc(-c2ncnc(Nc3cc[nH]c3)n2)c1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
9,STR-012D27ACD6801E6CC36A,DTKROUMCSFNBCN-UHFFFAOYSA-N,CC1(C)CN(C(=O)Cn2c(=O)c(C(=O)NCc3ccc(Cl)cc3)cc3cccnc32)C1,1,IC50,electrophysiology_functional,2023.0,2023.0,STR-012D27ACD6801E6CC36A,O=C(NCc1ccccc1)c1cc2cccnc2n(CC(=O)N2CCC2)c1=O,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
10,STR-0159A8DB5FE8E53E3D28,ZKVBATRJUREUMS-UHFFFAOYSA-N,Cn1c(SCCCN2CC3CCN(c4ccc(C#N)cc4)C3C2)nnc1-c1cnccn1,1,IC50,electrophysiology_functional,2016.0,2016.0,STR-0159A8DB5FE8E53E3D28,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cnccn5)[nH]4)CC32)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
