modeling_row,structure_id,smiles,p_activity_median,endpoints,assay_families,sources,document_year,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
0,STR-00A1D39E2CC2B5C8F906,CS(=O)(=O)C[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,5.481486060122112,IC50,biochemical_binding,ChEMBL;PubChem,2021.0,STR-00A1D39E2CC2B5C8F906,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C(c4ccccc4)C4CCCC4)CC3)C2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
1,STR-00A2ED8561E7DE80CF5F,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)C(C)C)C(C)C)C2)C(C)C,7.187086643357144,IC50,biochemical_binding,PubChem,2026.0,STR-00A2ED8561E7DE80CF5F,c1ccc(Oc2nncnc2N2CCC3(CNC3)C2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
2,STR-00EAB22F635715DE8799,CC(C)[C@@H](C[C@@H](O)CN(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(C(C)C)C(C)C)C2)C1,7.013228265733755,IC50,biochemical_binding,PubChem,2026.0,STR-00EAB22F635715DE8799,c1ccc(Oc2nncnc2N2CCC3(CNC3)C2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
3,STR-01B5E6F5633C4AF7D768,CCOCCN(C)CCC[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,6.481486060122112,IC50,biochemical_binding,PubChem,2026.0,STR-01B5E6F5633C4AF7D768,c1ccc(Oc2nncnc2N2CCC3(CNC3)C2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
4,STR-02403E375D780F15C68E,COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CCC#Cc2ccc(S(=O)(=O)C(F)(F)F)cc2)CC1,6.7594507517174005,IC50,biochemical_binding,ChEMBL;PubChem,2021.0,STR-02403E375D780F15C68E,C(#Cc1ccccc1)CCN1CCC(C(c2ccccc2)C2CCCC2)CC1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
5,STR-025D3FCF7FCF0D4F8D78,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C(C)(C)C)cc3)C2)CC1,6.110138278741811,IC50,biochemical_binding,ChEMBL;PubChem,2021.0,STR-025D3FCF7FCF0D4F8D78,c1ccc(C(C2CCCC2)C2CCN(CC3CN(c4ccccc4)C3)CC2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
6,STR-026263DECB2C2D5066E0,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCC(COC)OC)C(C)C)C2)C(C)C,6.886056647693163,IC50,biochemical_binding,PubChem,2026.0,STR-026263DECB2C2D5066E0,c1ccc(Oc2nncnc2N2CCC3(CNC3)C2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
7,STR-0298F7259BA97653A4EC,CO[C@H]1CCC[C@@H]1C1(C2CCN(CCCOc3ccc(C(=O)O)cc3)CC2)CNCc2ccccc21,3.9229956732066498,IC50,biochemical_binding,PubChem,2023.0,STR-0298F7259BA97653A4EC,c1ccc(OCCCN2CCC(C3(C4CCCC4)CNCc4ccccc43)CC2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
8,STR-02EB512B892EF622930F,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3(F)CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)C1,7.552841968657781,IC50,biochemical_binding,ChEMBL;PubChem,2021.0,STR-02EB512B892EF622930F,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1)C1CC1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
9,STR-03825B6A51D0B0744A5D,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNC(=O)NC)C(C)C)C2)C(C)C,6.366531544420413,IC50,biochemical_binding,PubChem,2026.0,STR-03825B6A51D0B0744A5D,c1ccc(Oc2nncnc2N2CCC3(CNC3)C2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
10,STR-0385B7365D2BE1443660,CC(C)[C@H](CCCN(C)CCC(=O)N(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(C(C)C)C(C)C)C2)C1,7.0915149811213505,IC50,biochemical_binding,PubChem,2026.0,STR-0385B7365D2BE1443660,c1ccc(Oc2nncnc2N2CCC3(CNC3)C2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
11,STR-03A6B3C8922F75633A24,O=S(=O)(Cc1ccc(CN2CCC3(CCN(c4ncnc5sc(CC(F)(F)F)cc45)C3)C2)cc1)NCCO,8.0,IC50,biochemical_binding,ChEMBL,2018.0,STR-03A6B3C8922F75633A24,c1ccc(CN2CCC3(CCN(c4ncnc5sccc45)C3)C2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
12,STR-0449028356C19D0EDA3B,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1F)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,7.346787486224656,IC50,biochemical_binding,ChEMBL;PubChem,2021.0,STR-0449028356C19D0EDA3B,O=S(=O)(c1ccc(N2CC(CN3CCC(C(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CC1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
13,STR-04F547F3C923840AF4FD,NS(=O)(=O)Cc1ccc(CN2CCC3(CCN(c4ncnc5cc(CC(F)(F)F)sc45)C3)C2)cc1,8.0,IC50,biochemical_binding,ChEMBL,2018.0,STR-04F547F3C923840AF4FD,c1ccc(CN2CCC3(CCN(c4ncnc5ccsc45)C3)C2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
14,STR-062343CE45A5FA8286D4,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2[nH]c(C#N)cc12,7.494850021680094,IC50,biochemical_binding,ChEMBL,2018.0,STR-062343CE45A5FA8286D4,c1nc(NC2CCN(Cc3ccc4[nH]ccc4c3)CC2)c2ccsc2n1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
15,STR-06E53FF33324D9B1A44A,CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CCCOc2ccc(C#N)cc2)CC1,7.698970004336019,IC50,biochemical_binding,ChEMBL;PubChem,2021.0,STR-06E53FF33324D9B1A44A,c1ccc(OCCCN2CCC(C(c3ccccc3)C3CCCC3)CC2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
16,STR-070A2DB3A5A9041ED5EA,CCN1Cc2ccccc2C(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)([C@H]2CCC[C@@H]2NC(=O)NC)C1,8.397940008672037,IC50,biochemical_binding,ChEMBL;PubChem,2021.0,STR-070A2DB3A5A9041ED5EA,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1)C1CC1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
17,STR-072FE59E687806FA7B3E,CCc1cc2c(N3CCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,5.920818753952375,IC50,biochemical_binding,ChEMBL,2015.0,STR-072FE59E687806FA7B3E,c1nc(N2CCN(C3=NCCS3)CC2)c2ccsc2n1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
18,STR-073AD85CF5EE1E9C87AB,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,8.221848749616356,IC50,biochemical_binding,ChEMBL;PubChem,2019.0,STR-073AD85CF5EE1E9C87AB,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
19,STR-0762484A1F8E76578E66,CCNCC[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,6.236572006437063,IC50,biochemical_binding,PubChem,2026.0,STR-0762484A1F8E76578E66,c1ccc(Oc2nncnc2N2CCC3(CNC3)C2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
20,STR-077D7D9C480B1958E4A3,CNC(=O)CC[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3-c3cncnc3C3CC3)C2)C1,4.224025668870631,IC50,biochemical_binding,PubChem,2026.0,STR-077D7D9C480B1958E4A3,c1ccc(-c2cncnc2C2CC2)c(Oc2nncnc2N2CCC3(CNC3)C2)c1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
21,STR-079F3F9421D0EFF32E86,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)C[C@@H](C)C(=O)N(C)C)C(C)C)C2)C(C)C,6.366531544420413,IC50,biochemical_binding,PubChem,2026.0,STR-079F3F9421D0EFF32E86,c1ccc(Oc2nncnc2N2CCC3(CNC3)C2)cc1,bemis_murcko,random,random,b5ba0747e6e97c55d04c0403617adda02a5e809e4196aceec8e1bd88d2873c96,da7a01a5cb174d55fa32210030ad16db807565fa37ed18f655ea1ad0e9e96dcc,train
