structure_id,endpoint,assay_family,n_measurements,n_source_rows,n_cross_source_mirror_rows_collapsed,n_sources,n_exact_measurements,n_censored_measurements,n_approximate_measurements,p_activity_median,p_activity_best,p_activity_min,value_nm_median,value_nm_best,endpoints,n_endpoints,endpoint_families,n_endpoint_families,assay_families,n_assay_families,sources,compound_ids,target_names,document_years,relations,smiles,original_smiles,canonical_smiles,standardized_smiles,inchi_key,standard_inchi_key,structure_standardization_status,activity_range_log10,is_activity_heterogeneous,heterogeneity_log_spread_threshold,censoring_policy,aggregation_value_semantics,potency_class,active_100nM,active_1uM,scored_menin_endpoint,scored_menin_assay_family,has_observed_primary_herg_record,predicted_herg_blocker_probability,predicted_herg_probability_entropy_bits,herg_max_training_tanimoto,herg_nearest_training_smiles,herg_inside_applicability_domain,predicted_herg_risk
STR-34DA364C524542BAF54B,IC50,biochemical_binding,1,1,0,1,1,0,0,9.0,9.0,9.0,1.0,1.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL,CHEMBL4530300,Menin,2020,=,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)(F)C5)C4)cc3)C2)CC1,LAHJBSUOBULURD-HHKHNSFJSA-N,LAHJBSUOBULURD-HHKHNSFJSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.6349104559347859,0.9468269579127947,0.24060150980949402,O=C(N[C@H]1CCN(CC2CCC2)C[C@@H]1C(=O)NC1(c2ncccn2)CC1)c1cc(-c2ccc(F)cc2F)on1,False,medium
STR-34FE1D5BDCFE7B2EB7FE,IC50,biochemical_binding,1,1,0,1,1,0,0,9.0,9.0,9.0,1.0,1.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL,CHEMBL4211366,Menin,2018,=,O=c1cccc2n1[C@@H]1C[C@H](C2)CN(CC(O)CCCc2ccccc2)C1,O=c1cccc2n1[C@@H]1C[C@H](C2)CN(CC(O)CCCc2ccccc2)C1,O=c1cccc2n1[C@@H]1C[C@H](C2)CN(CC(O)CCCc2ccccc2)C1,O=c1cccc2n1[C@@H]1C[C@H](C2)CN(CC(O)CCCc2ccccc2)C1,MCMLLYNXDSNKTO-PALXJHBUSA-N,MCMLLYNXDSNKTO-PALXJHBUSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.7861409917587309,0.7487946294905483,0.2857142984867096,O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCC(c2ccccc2)CC1,True,high
STR-BB3373616F96D1625E90,IC50,biochemical_binding,1,2,1,2,1,0,0,9.0,9.0,9.0,1.0,1.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL6053681,Menin,2021,=,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2(F)CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2(F)CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2(F)CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2(F)CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,BCTIJYSCGDNKEE-OKOZNKHASA-N,BCTIJYSCGDNKEE-OKOZNKHASA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.9393847664100523,0.32988234092012836,0.22695034742355347,CCCN1CC[C@H](NC(=O)c2cc(-c3ccc(F)cc3F)on2)[C@@H](C(=O)NC2(c3ncccn3)CC2)C1,False,high
STR-4A902F7AC5A334C3F331,IC50,biochemical_binding,1,1,0,1,1,0,0,8.769551078621726,8.769551078621726,8.769551078621726,1.7,1.7,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL,CHEMBL5076146,Menin,2021,=,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN(C)C)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN(C)C)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN(C)C)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN(C)C)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,REIRIUGWHFIUEL-BVPJJHLOSA-N,REIRIUGWHFIUEL-BVPJJHLOSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.9703376244298041,0.19269585209555853,0.2647058963775635,CC(=O)Nc1cccc(N2CCN(CC3CCN(S(=O)(=O)CC4CCCCC4)CC3)CC2)c1,True,high
STR-BD5E8CD3F04E20EF2036,IC50,biochemical_binding,2,3,1,2,2,0,0,8.734260541478871,8.769551078621726,8.698970004336019,1.85,1.7,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL4457657,Menin,2020;2021,=,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,VTXKKSADZLUBMC-RXLAIJPWSA-N,VTXKKSADZLUBMC-RXLAIJPWSA-N,standardized,0.0705810742857071,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.9478516181129477,0.29545396585678213,0.24242424964904785,CCc1ccn2ccnc2c1N1CCCN(CC2CCN(C(=O)[C@H]3C[C@@H]4CC[C@H]3O4)CC2)CC1,False,high
STR-0AF48A7398AE4A10DB6D,IC50,biochemical_binding,1,2,1,2,1,0,0,8.698970004336019,8.698970004336019,8.698970004336019,2.0,2.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5864844,Menin,2021,=,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cccc(NC(=O)/C=C/CN(C)C)c4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cccc(NC(=O)/C=C/CN(C)C)c4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cccc(NC(=O)/C=C/CN(C)C)c4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cccc(NC(=O)/C=C/CN(C)C)c4)cc3)C2)CC1,OWQDQPAHRNQUBK-DIHFWZERSA-N,OWQDQPAHRNQUBK-DIHFWZERSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.823464591066031,0.6724388532516292,0.26724138855934143,CC(=O)Nc1cccc(N2CCN(CC3CCN(S(=O)(=O)CC4CCCCC4)CC3)CC2)c1,True,high
STR-1336D74CEEF07820B1AB,IC50,biochemical_binding,1,2,1,2,1,0,0,8.698970004336019,8.698970004336019,8.698970004336019,2.0,2.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5817522,Menin,2021,=,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCCC5)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCCC5)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCCC5)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCCC5)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,TYMDSYUCUHFHCP-IJGIHWNJSA-N,TYMDSYUCUHFHCP-IJGIHWNJSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.9111782440832904,0.43252471619245597,0.24817518889904022,O=C(N[C@H]1CCN(CC2CCC2)C[C@@H]1C(=O)NC1(c2ncccn2)CC1)c1cc(-c2ccc(F)cc2F)on1,False,high
STR-22ABADFB64D91C6FE7F1,IC50,biochemical_binding,1,1,0,1,1,0,0,8.698970004336019,8.698970004336019,8.698970004336019,2.0,2.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL,CHEMBL4450979,Menin,2020,=,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCC(F)(F)CC5)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCC(F)(F)CC5)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCC(F)(F)CC5)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCC(F)(F)CC5)C4)cc3)C2)CC1,LOWYBCWMGXXERT-XUTGVCKDSA-N,LOWYBCWMGXXERT-XUTGVCKDSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8876918845885489,0.5068389155778336,0.23880596458911896,O=C(N[C@H]1CCN(CC2CCC2)C[C@@H]1C(=O)NC1(c2ncccn2)CC1)c1cc(-c2ccc(F)cc2F)on1,False,high
STR-33EC56FC5D9EE8140CC4,IC50,biochemical_binding,1,2,1,2,1,0,0,8.698970004336019,8.698970004336019,8.698970004336019,2.0,2.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5794245,Menin,2021,=,C=CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](C#N)(c5cccc(F)c5)[C@H]5CCC[C@@H]5OC(=O)NC)CC4)C3)cc2)cc1,C=CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](C#N)(c5cccc(F)c5)[C@H]5CCC[C@@H]5OC(=O)NC)CC4)C3)cc2)cc1,C=CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](C#N)(c5cccc(F)c5)[C@H]5CCC[C@@H]5OC(=O)NC)CC4)C3)cc2)cc1,C=CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](C#N)(c5cccc(F)c5)[C@H]5CCC[C@@H]5OC(=O)NC)CC4)C3)cc2)cc1,VDJTWLOLAUELBT-YFTHYISFSA-N,VDJTWLOLAUELBT-YFTHYISFSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.1079864698167038,0.4938125092226403,0.26851850748062134,CC(=O)Nc1cccc(N2CCN(CC3CCN(S(=O)(=O)CC4CCCCC4)CC3)CC2)c1,True,low
STR-37892E2865C156499B87,IC50,biochemical_binding,1,1,0,1,1,0,0,8.698970004336019,8.698970004336019,8.698970004336019,2.0,2.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL,CHEMBL4528467,Menin,2020,=,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,OVNRZDIJJMMESW-ICECFENASA-N,OVNRZDIJJMMESW-ICECFENASA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,high_potency_<=100nM,True,True,IC50,biochemical_binding,False,0.8993554294524752,0.471035510231969,0.23076923191547394,CC(=O)Nc1cccc(N2CCN(CC3CCN(S(=O)(=O)CC4CCCCC4)CC3)CC2)c1,False,high
