metric,value,note
bindingdb_chembl_measurement_rows,1658155,"One row per populated Kd/Ki/IC50/EC50 field"
bindingdb_chembl_measurements_unparseable_value,0,"Value was populated but not a single relation plus numeric nM value"
bindingdb_chembl_physical_rows,1658927,"BindingDB physical rows with Curation/DataSource exactly ChEMBL"
bindingdb_chembl_rows_missing_ligand_chembl_id,593439,"Cannot use explicit ChEMBL ligand-ID key"
bindingdb_chembl_rows_target_complete,1658921,"Resolved accession count meets or exceeds declared chain count"
bindingdb_chembl_rows_target_missing,0,"No Swiss-Prot/TrEMBL primary accession resolved"
bindingdb_chembl_rows_target_partial_or_undeclared,6,"Some accessions resolved but declared chain count not met/available"
bindingdb_chembl_rows_with_inchikey,1658924,"Physical ChEMBL-tagged rows with exact ligand InChIKey"
bindingdb_chembl_unique_inchikeys,653927,"Distinct nonblank ligand InChIKeys"
bindingdb_chembl_unique_ligand_chembl_ids,427518,"Distinct nonblank ChEMBL ligand IDs"
bindingdb_chembl_unique_monomer_ids,685714,"Distinct BindingDB ligand IDs"
bindingdb_chembl_unique_reactant_set_ids,1658927,"Distinct BindingDB record identifiers"
bindingdb_chembl_unique_target_keys,8942,"Distinct normalized UniProt accession sets"
bindingdb_inchikeys_absent_from_chembl37,235972,"Distinct exact BindingDB InChIKeys absent from the ChEMBL 37 structure table"
bindingdb_inchikeys_found_in_chembl37,417955,"Distinct exact BindingDB InChIKeys present in the ChEMBL 37 structure table"
bindingdb_ligand_id_inchikey_consistent_rows,579955,"Same ChEMBL ID and exact standard InChIKey"
bindingdb_ligand_id_inchikey_mismatch_rows,455907,"Inspect salts, stereochemistry, or identifier drift"
bindingdb_ligand_id_inchikey_unresolved_rows,623065,"One or both structure keys unavailable"
bindingdb_ligand_ids_absent_from_chembl37,6570,"Likely removed/retired IDs or malformed identifiers"
bindingdb_ligand_ids_found_in_chembl37,420948,"Explicit ligand-ID coverage"
bindingdb_measurement_rows_combined_key_matched,1229978,"Matched through exact ChEMBL ID or exact InChIKey standardized key"
bindingdb_measurement_rows_combined_key_unmatched,428175,"Eligible through at least one identity route but no standardized key hit"
bindingdb_measurement_rows_eligible_for_combined_key,1658153,"Has target/value semantics and at least one ligand identity route"
bindingdb_measurement_rows_eligible_for_inchikey_key,1658152,"Has exact InChIKey, target accession set, endpoint, relation, and numeric nM value"
bindingdb_measurement_rows_eligible_for_strict_key,1064845,"Has ligand ID, target accession set, endpoint, relation, and numeric nM value"
bindingdb_measurement_rows_inchikey_key_matched,831340,"Measurement rows whose exact InChIKey-based standardized key exists in ChEMBL 37"
bindingdb_measurement_rows_inchikey_key_unmatched,826812,"Eligible exact InChIKey-based rows without a ChEMBL 37 key hit"
bindingdb_measurement_rows_matched_by_both_routes,530548,"Concordant exact-ID and exact-InChIKey key hit"
bindingdb_measurement_rows_matched_by_id_only,398638,"ID key matched; InChIKey key did not"
bindingdb_measurement_rows_matched_by_inchikey_only,300792,"InChIKey key matched; ID key absent or did not match"
bindingdb_measurement_rows_strict_key_matched,929186,"BindingDB measurement rows whose complete standardized key exists in ChEMBL 37"
bindingdb_measurement_rows_strict_key_unmatched,135659,"Eligible BindingDB measurement rows with no complete standardized-key hit"
bindingdb_physical_rows_compound_resolved_by_id_or_inchikey,1443944,"Physical ChEMBL-tagged rows with at least one exact compound identity route into ChEMBL 37"
bindingdb_physical_rows_compound_unresolved_by_id_and_inchikey,214983,"Physical ChEMBL-tagged rows unresolved by both explicit ChEMBL ligand ID and exact InChIKey"
bindingdb_target_keys_absent_from_chembl37,223,"Target set not represented exactly in ChEMBL 37"
bindingdb_target_keys_found_in_chembl37,8719,"Exact component-set coverage"
bindingdb_unique_combined_identity_keys,1539331,"Distinct BindingDB keys using ChEMBL ID when present, otherwise exact InChIKey"
bindingdb_unique_combined_identity_keys_matched,1137248,"Distinct combined-identity BindingDB keys with a ChEMBL 37 hit"
bindingdb_unique_strict_keys,981330,"Distinct eligible BindingDB measurement keys"
bindingdb_unique_strict_keys_matched,857134,"Distinct BindingDB measurement keys present in ChEMBL 37"
chembl37_endpoint_measurement_rows_nm,4870628,"All ChEMBL 37 target types/assay families, used for overlap existence"
chembl37_unique_resolved_measurement_keys,2864273,"Distinct ChEMBL 37 ligand-target-endpoint-relation-value keys with target accession sets"
combined_identity_key_union_lower_bound,2864273,"Lower bound if every currently unmatched BindingDB key ultimately resolves to an existing ChEMBL key"
combined_identity_key_union_upper_bound,3266356,"Upper bound under exact ChEMBL-ID-or-InChIKey keying; unmatched keys may still be aliases or source-version drift"
explicit_id_key_union_observed,2988469,"ChEMBL 37 resolved keys plus explicit-ID BindingDB keys minus exact explicit-ID key overlap"
