dimension,value,count
endpoint,%,1
endpoint,% Ctrl,29
endpoint,% bound,10
endpoint,% of control,2
endpoint,% of inhibition,2
endpoint,% of inhibition or stimulation,1
endpoint,% remaining,19
endpoint,% turnover,24
endpoint,%R,2
endpoint,%max,2
endpoint,-log(RatioIC50),4
endpoint,A,1
endpoint,AC50,1829
endpoint,APD,93
endpoint,APD30,3
endpoint,APD50,31
endpoint,APD60,42
endpoint,APD70,9
endpoint,APD75,69
endpoint,APD90,23
endpoint,APD95,299
endpoint,APDc,98
endpoint,AUC,44928
endpoint,AUC c,4
endpoint,AUC p,4
endpoint,AUClast,255
endpoint,AUCt,2
endpoint,Absoption,2
endpoint,Absorption,32
endpoint,Activity,11503
endpoint,Activity_index,9
endpoint,Alpha Ki,14
endpoint,Amount,6
endpoint,Amount of metabolite,10
endpoint,Augmentation,4
endpoint,B-A/A-B,5
endpoint,BA,79
endpoint,BAV,6
endpoint,BBB,5
endpoint,BBR,3
endpoint,BPR,5
endpoint,Ba,7
endpoint,Binding,119
endpoint,Bioavailability Increase,2
endpoint,Bmax,1
endpoint,Bound,106
endpoint,Brain level,8
endpoint,C,4
endpoint,C ss,3
endpoint,C(24h),1
endpoint,C10APD90,5
endpoint,C20,54
endpoint,C20 APD95,38
endpoint,C8h,20
endpoint,CC50,249
endpoint,CE logK',18
endpoint,CI,3
endpoint,CL,86821
endpoint,CL free,173
endpoint,CL(app),11
endpoint,CL-renal,2
endpoint,CL/F,113
endpoint,CLH,14404
endpoint,CLH(app),180
endpoint,CL_renal,917
endpoint,CLb,7
endpoint,CLd/F,3
endpoint,CLint,53
endpoint,CLt/F,2
endpoint,CRC/CRC0,128
endpoint,Caco-2 A-B,3
endpoint,Caco-2 Papp,34
endpoint,Calculated Ratio,8
endpoint,Carboxylase activity,4
endpoint,Cavg,10
endpoint,Cell Viability,189
endpoint,Cell permeation,2
endpoint,Change,3
endpoint,Clearance,19
endpoint,Clerance,1
endpoint,Cmax,29691
endpoint,Cmax_triphosphate,1
endpoint,Cmin,2
endpoint,Cmin ss,5
endpoint,Cmin(80hr),1
endpoint,Cmin(84hr),4
endpoint,Compound Recovery,2
endpoint,Compound recovery,91
