dimension,value,count,fraction_of_observations
source_id,SRC-AF728821208AC735AEE2E0D1,3938372,1.0
activity_origin_name,LITERATURE,2441327,0.6198822762298737
activity_origin_name,BINDINGDB,948394,0.24080863869639535
activity_origin_name,PUBCHEM_BIOASSAY,241404,0.06129537788710665
activity_origin_name,PATENT,85694,0.021758736858783274
activity_origin_name,TUM_PROTEOMIC_KUSTER,74205,0.018841541631923038
activity_origin_name,WINZ_PLASMO,59934,0.015217963158381179
activity_origin_name,LIT_CHEM_PROBES,15856,0.004026029029253712
activity_origin_name,ASAP,14486,0.0036781695583860538
activity_origin_name,DRUGMATRIX,7720,0.0019602008139403796
activity_origin_name,ASTRAZENECA,6938,0.00176164161232103
activity_origin_name,LIT_EUBOPEN_CGL,6713,0.0017045114072515243
activity_origin_name,GATES_LIBRARY,5118,0.0012995217313143603
activity_origin_name,SUPPLEMENTARY,4817,0.001223094212532488
activity_origin_name,TG_GATES,4773,0.001211922083541118
activity_origin_name,DONATED_PROBES,4341,0.0011022320898076668
activity_origin_name,MMV_MBOX,3600,0.000914083281112094
activity_origin_name,ST_JUDE_LEISH,2376,0.0006032949655339821
activity_origin_name,EUBOPEN_CGL,2111,0.0005360082795632307
activity_origin_name,TP_TRANSPORTER,1588,0.00040321229177944594
activity_origin_name,DNDI,1549,0.00039330972290073157
activity_origin_name,K4DD,1476,0.00037477414525595855
activity_origin_name,DRUG_PK,1163,0.0002952996822037126
activity_origin_name,FDA_APPROVAL,671,0.0001703749671183931
activity_origin_name,GSK_TCAKS,584,0.00014828462115818415
activity_origin_name,SALVENSIS_LSHTM,488,0.00012390906699519496
activity_origin_name,GSK_TB,354,8.988485597602257e-05
activity_origin_name,SARS_COV_2,317,8.04901111423705e-05
activity_origin_name,HDAC6,151,3.834071540220172e-05
activity_origin_name,HESI,98,2.4883378208051447e-05
activity_origin_name,RESOLUTE,86,2.1836433937677802e-05
activity_origin_name,OSM,40,1.0156480901245489e-05
protein_id,PROT-C6AE8925E983B58B97FBBCE4,259312,0.06584243438659426
protein_id,PROT-C0F1F2C0832C7F0FB2E6569F,133441,0.033882274198577485
protein_id,PROT-50F9DA1A0930F6993F300D93,74841,0.01900302967825284
protein_id,PROT-870C0B107D9D8F97380EC55D,74121,0.01882021302203042
protein_id,PROT-C3B4462545C253872E72F50D,41123,0.010441624102547956
protein_id,PROT-6953EA93AB40B2B19F3794A8,40000,0.010156480901245489
protein_id,PROT-CC8DC1A684CF0B606D916855,29368,0.007456888277694438
protein_id,PROT-E02BC4A518F91C03CA2DE9ED,27064,0.006871874977782698
protein_id,PROT-8D8CB152424F75DBB3A99181,25124,0.006379285654072292
protein_id,PROT-A2A3791BAC4202DC8B18BA4D,24742,0.006282291261465398
protein_id,PROT-AE266D9E3379B49565CE67B3,24574,0.006239634041680166
protein_id,PROT-691C82F82FE96D60648CE311,23853,0.006056563473435216
protein_id,PROT-F06BF062C166285ACF4A1889,21013,0.005335453329446786
protein_id,PROT-E1749D5B4F7EB026966B47B1,19978,0.005072654386127059
protein_id,PROT-F657ABBA905F43CE0EB9B06E,19891,0.00505056404016685
protein_id,PROT-75BDFAFA909A5EAE1A1F958D,18962,0.004814679771235424
protein_id,PROT-1024874FAD3DF5100E181DA7,18877,0.004793097249320278
protein_id,PROT-774DC4515E72271EDB2AC141,17559,0.004458441203624239
protein_id,PROT-FD39E352702D37EBF599506E,16955,0.004305078342015432
protein_id,PROT-5E214840E396025DDE2F48A4,16797,0.004264960242455512
protein_id,PROT-C5EEF2137AA3B348036E5B6E,16655,0.004228904735256091
protein_id,PROT-780A980B49361B03EDE7F3A3,16234,0.004122007773770482
protein_id,PROT-BA7401FDEDE9382DC3A073E2,16203,0.004114136501072016
protein_id,PROT-AD5160B3A837525E453FB742,15780,0.004006731715541345
protein_id,PROT-886B8CB017BED471E62A4418,15180,0.0038543845020226632
protein_id,PROT-658D34A58B65D665B83C6D10,14960,0.003798523857065813
protein_id,PROT-D0CE0C6DB3B6A03E85E877DB,14063,0.0035707647728553827
protein_id,PROT-5F5504754855BE3C978EE67E,13887,0.0035260762568899025
protein_id,PROT-138C3940CB7368CD7698E4D8,13686,0.003475039940361144
protein_id,PROT-5AA441F032A7FF7D33B61E84,13472,0.0034207027675394806
protein_id,PROT-FC55E27C29FC93C5486E4B2F,13441,0.0034128314948410157
protein_id,PROT-6150586D202D5071640FBC72,13276,0.003370936011123378
protein_id,PROT-E1827FA638ADF70E3AAFAB96,13158,0.0033409743924647036
protein_id,PROT-8F87850B05B34BEC459ABD70,13150,0.0033389430962844544
protein_id,PROT-2E8FDFF676409529B068E175,13077,0.0033204075186396816
protein_id,PROT-C0B644A22CC0D3781F6CC8E5,13013,0.0033041571491976888
protein_id,PROT-236B5B49D984BD02D14C8316,12943,0.0032863833076205093
protein_id,PROT-B610E6E7A6D928B8FF3A417B,12623,0.003205131460410545
protein_id,PROT-60505AC9EFA7DB9840035A14,12545,0.0031853263226531165
protein_id,PROT-6DCF0C083186EBC8D0770A4C,12124,0.003078429361167508
protein_id,PROT-1913765CFA95B826AAA42DD0,11660,0.0029606141827130603
protein_id,PROT-34203E17EDCF4F7C7D892F3D,11235,0.0028527015731373267
protein_id,PROT-0BBEC6EF25226F6E061FF9F1,11114,0.0028219782184110594
protein_id,PROT-53F40838A7370CF5A1CAD76D,11065,0.0028095365293070336
protein_id,PROT-6D8AEA516719D037105EE431,10880,0.002762562805138773
protein_id,PROT-43BA06F5F65C2D1976D10984,10858,0.002756976740643088
protein_id,PROT-56AE2E81ABCC9547DFEBD538,10854,0.0027559610925529635
protein_id,PROT-9F7FF1B6742067B4F4182628,10832,0.0027503750280572785
protein_id,PROT-ABF1A122C8854887035C8F65,10815,0.0027460585236742494
protein_id,PROT-E526C3FDDA9E6364295A471F,10803,0.0027430115794038756
molecule_id,MOL-DE1DD180A5C0E4C5250113F3,3781,0.0009600413571902299
molecule_id,MOL-476FE2C7A41F216B657C6726,3305,0.0008391792344654086
molecule_id,MOL-B110DABE945EADA5346CE350,2696,0.000684546812743946
molecule_id,MOL-B14097017E535147AF319EA5,2648,0.0006723590356624514
molecule_id,MOL-BA1EA9D3000C0199E7564DFC,2471,0.0006274166076744401
molecule_id,MOL-F3B09E33E15C6D6A052F9797,2387,0.0006060879977818246
molecule_id,MOL-95C729D9CB98D1A1C12E8732,2335,0.0005928845726102055
molecule_id,MOL-D06164C1D12F8E89589E234D,2232,0.0005667316342894983
molecule_id,MOL-AF15B3A3BC18E1A0BC5A86CE,1970,0.0005002066843863404
molecule_id,MOL-917B6BD05163C956C52E17F6,1805,0.0004583112006687027
molecule_id,MOL-A335C516CC8645BD277F5EF3,1769,0.0004491703678575818
molecule_id,MOL-D1FFB07FFE98DC56048DCF4B,1760,0.00044688515965480153
molecule_id,MOL-8023625A7FE005AACBF1CC40,1727,0.000438506062911274
molecule_id,MOL-10175975D065A926EFF1BDA7,1711,0.0004344434705507758
molecule_id,MOL-A2C13C7C530076B88CF621D9,1700,0.0004316504383029333
molecule_id,MOL-AF1B8A6EC5BF0B5FE0083C0F,1665,0.0004227635175143435
molecule_id,MOL-4C325B5184470F75E20E0B5E,1585,0.0004024505557118525
molecule_id,MOL-76CF178129DAFB2724723C30,1553,0.0003943253709908561
molecule_id,MOL-90684AFE14D8FCFF88745ECD,1546,0.00039254798683313814
molecule_id,MOL-CC19EE5B6876E672F7722376,1539,0.0003907706026754202
molecule_id,MOL-2D1C273ED25B152258F40B02,1469,0.0003729967610982406
molecule_id,MOL-34764721CD5621F114D95DDD,1430,0.0003630941922195262
molecule_id,MOL-8967DEDFF59BA4D8B2A2E4CF,1375,0.0003491290309803137
molecule_id,MOL-215C055C9DBDF1C250EC259D,1371,0.00034811338289018916
molecule_id,MOL-4F7628D0786C52FCE7D4EEE3,1363,0.00034608208670994006
molecule_id,MOL-CFE5A6530E59D587F4561372,1335,0.0003389725500790682
molecule_id,MOL-96483D1E6695154F57B4479F,1331,0.00033795690198894365
molecule_id,MOL-41814130DA238CC445B5B01F,1330,0.0003377029899664125
molecule_id,MOL-FA4E6C539B4D78B9F7D37246,1324,0.0003361795178312257
molecule_id,MOL-C88A7614241FC3560DBFA932,1317,0.00033440213367350773
molecule_id,MOL-5FD869C3A7AE2639E5658BDB,1304,0.00033110127738060296
molecule_id,MOL-A8C5E0339E624BFF8C7522C0,1280,0.00032500738883985565
molecule_id,MOL-C16345614E3C755BD3C76466,1270,0.0003224682686145443
molecule_id,MOL-EB539811C8378620F9A6EDA1,1266,0.00032145262052441973
molecule_id,MOL-9784ECC747539FA10923F03E,1212,0.00030774137130773835
molecule_id,MOL-FD80E3D413BDAE093BD59B01,1205,0.0003059639871500204
molecule_id,MOL-C436F97166904C1F0A5F7776,1201,0.0003049483390598958
molecule_id,MOL-C3D2959E8C9AB8DF8DF0CC4E,1189,0.0003019013947895222
molecule_id,MOL-B3CF50B1C9BEBDDD5884C7C9,1176,0.0002986005384966174
molecule_id,MOL-7E645B87607FDD44D79F13EB,1174,0.0002980927144515551
molecule_id,MOL-BE280200A8A34F31EA5E1CD8,1158,0.0002940301220910569
molecule_id,MOL-1681D63FEB8E293AA003F8A5,1143,0.00029022144175308985
molecule_id,MOL-317C7743E80D00F1AB073375,1129,0.00028666667343765393
molecule_id,MOL-D22CF2B14D46E6F6E920302B,1126,0.0002859049373700605
molecule_id,MOL-EF972645517A6051634F3725,1093,0.000277525840626533
molecule_id,MOL-8BDAB5B463953D6F2736FCEA,1086,0.00027574845646881503
molecule_id,MOL-8973BA33EF427443DE4B6F2A,1063,0.00026990847995059887
molecule_id,MOL-42EE74E5353560E4970B9EAB,1050,0.0002666076236576941
molecule_id,MOL-171E82D4FB7D641F370ED44B,1048,0.0002660997996126318
molecule_id,MOL-460B0E2E275EBA6A66F7B77D,1031,0.0002617832952296025
assay_id,ASSAY-9CB241B0AD0B78D041BC3A1C,39956,0.010145308772254119
assay_id,ASSAY-E92506D880CF17C055D59F09,39956,0.010145308772254119
assay_id,ASSAY-5EC4F22D9F65A5A8F00F37A5,19978,0.005072654386127059
assay_id,ASSAY-EC25718DCE99614D25DA5F9E,19978,0.005072654386127059
assay_id,ASSAY-09CBB0BBE4726029ED05573C,11448,0.002906784833936459
assay_id,ASSAY-72CB77EA800740B65AC7B056,4707,0.001195163890054063
assay_id,ASSAY-C0BED7F269EB3A5BF0540008,3226,0.0008191201846854487
assay_id,ASSAY-6246906248BBBF385157B65C,3160,0.0008023619911983937
assay_id,ASSAY-AF397702FEABDD6890E3E7DE,2993,0.0007599586834356937
