evidence_domain,endpoint,canonical_unit,sampled_numeric_rows,min,p01,median,p99,max,sampling_note
binding,Activity,%,2,81.0,81.25,93.5,105.75,106.0,exact when group <=200000; deterministic first-200000 otherwise
binding,EC50,nM,130662,1e-06,0.08,350.0,300000.0,100000000000000.0,exact when group <=200000; deterministic first-200000 otherwise
binding,IC50,nM,200000,2.6e-10,0.25,620.0,1150087.7736000817,1.6218100973589332e+18,exact when group <=200000; deterministic first-200000 otherwise
binding,Inhibition,%,5,60.0,60.0,80.0,89.6,90.0,exact when group <=200000; deterministic first-200000 otherwise
binding,Kd,nM,187218,1e-05,0.17,10000.0,444659.9993999898,40045074437996.0,exact when group <=200000; deterministic first-200000 otherwise
binding,Ki,nM,200000,6e-10,0.08689100000000001,194.98,6670300.000000279,1e+28,exact when group <=200000; deterministic first-200000 otherwise
binding,k_off,s^-1,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
binding,kon,M^-1*s^-1,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
binding,standard_binding_free_energy,kcal/mol,67803,-45.39787603494616,-14.770448293996633,-9.077218080389862,-5.470633411541035,-2.7284940260684767,exact when group <=200000; deterministic first-200000 otherwise
herg,% Ctrl,%,29,63.0,64.4,95.0,121.0,121.0,exact when group <=200000; deterministic first-200000 otherwise
herg,% of control,%,2,85.0,85.26,98.0,110.74,111.0,exact when group <=200000; deterministic first-200000 otherwise
herg,% of inhibition,%,2,0.0,0.01,0.5,0.99,1.0,exact when group <=200000; deterministic first-200000 otherwise
herg,% of inhibition or stimulation,%,1,89.0,89.0,89.0,89.0,89.0,exact when group <=200000; deterministic first-200000 otherwise
herg,%max,%,2,14.0,14.16,22.0,29.84,30.0,exact when group <=200000; deterministic first-200000 otherwise
herg,AC50,nM,1823,10.0,160.0,30000.0,30000.0,1000000.0,exact when group <=200000; deterministic first-200000 otherwise
herg,Activity,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,Activity,%,229,-2.0,0.0,47.0,107.72,124.0,exact when group <=200000; deterministic first-200000 otherwise
herg,Activity,ms,1,30.0,30.0,30.0,30.0,30.0,exact when group <=200000; deterministic first-200000 otherwise
herg,Activity,mv,7,-16.0,-14.44,10.2,36.36599999999999,36.9,exact when group <=200000; deterministic first-200000 otherwise
herg,Activity,nM,75,110.0,228.4,2900.0,12990.000000000058,21500.0,exact when group <=200000; deterministic first-200000 otherwise
herg,Activity,uM,96,0.011,0.0205,7.85,486.23999999999995,517.4,exact when group <=200000; deterministic first-200000 otherwise
herg,EC25,uM,1,2.5,2.5,2.5,2.5,2.5,exact when group <=200000; deterministic first-200000 otherwise
herg,EC50,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,EC50,nM,240,1.9,15.850000000000001,6555.0,104391.9999999999,813800.0,exact when group <=200000; deterministic first-200000 otherwise
herg,ED50,uM,1,3.0,3.0,3.0,3.0,3.0,exact when group <=200000; deterministic first-200000 otherwise
herg,Emax,%,1,79.0,79.0,79.0,79.0,79.0,exact when group <=200000; deterministic first-200000 otherwise
herg,FC,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,Fold change,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,IC20,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,IC20,nM,137,66.0,101.44,5000.0,63839.99999999992,81000.0,exact when group <=200000; deterministic first-200000 otherwise
herg,IC25,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,IC25,nM,32,2000.0,2000.0,13250.0,670969.0,671000.0,exact when group <=200000; deterministic first-200000 otherwise
herg,IC5,uM,1,55.3,55.3,55.3,55.3,55.3,exact when group <=200000; deterministic first-200000 otherwise
herg,IC50,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,IC50,nM,16999,0.021,3.6,10000.0,300000.0,1000000000.0,exact when group <=200000; deterministic first-200000 otherwise
herg,IC60,uM,1,10.0,10.0,10.0,10.0,10.0,exact when group <=200000; deterministic first-200000 otherwise
herg,INH,nM,39,100.0,138.0,4128.0,50000.0,50000.0,exact when group <=200000; deterministic first-200000 otherwise
herg,INH,pM,1,1.0,1.0,1.0,1.0,1.0,exact when group <=200000; deterministic first-200000 otherwise
herg,INH,uM,157,0.01,0.016343999999999997,13.0,112.75999999999993,966.0,exact when group <=200000; deterministic first-200000 otherwise
herg,IP,nM,112,24.0,66.65,2625.0,49120.00000000001,50000.0,exact when group <=200000; deterministic first-200000 otherwise
herg,Imax,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,Imax,%,17,16.7,17.227999999999998,63.7,99.744,100.0,exact when group <=200000; deterministic first-200000 otherwise
herg,Inflection point,nM,13,3.83,4.3304,1670.0,23025.599999999988,24720.0,exact when group <=200000; deterministic first-200000 otherwise
herg,Inhibition,%,6474,-86.0,-12.0,26.0,100.0,7063.0,exact when group <=200000; deterministic first-200000 otherwise
herg,Inhibition of control,%,1,50.0,50.0,50.0,50.0,50.0,exact when group <=200000; deterministic first-200000 otherwise
herg,Inhibitory activity,%,5,0.2,0.248,6.0,85.952,88.2,exact when group <=200000; deterministic first-200000 otherwise
herg,K,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,K,/min,45,0.0095,0.00972,0.15,2.4160000000000026,2.9,exact when group <=200000; deterministic first-200000 otherwise
herg,K,/nm/min,25,0.0013,0.001372,0.017,0.5463999999999992,0.64,exact when group <=200000; deterministic first-200000 otherwise
herg,K,10'-4/nm/min,12,1.4,1.422,3.25,5.545,5.6,exact when group <=200000; deterministic first-200000 otherwise
herg,K,10'-5/nm/min,7,1.4,1.412,6.2,8.581999999999999,8.6,exact when group <=200000; deterministic first-200000 otherwise
herg,K,10'-7/nm/min,1,2.8,2.8,2.8,2.8,2.8,exact when group <=200000; deterministic first-200000 otherwise
herg,Kd,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,Kd,nM,46,0.44,0.5705,101.5,108794.94999999949,190546.0,exact when group <=200000; deterministic first-200000 otherwise
herg,Ki,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,Ki,nM,2730,0.28,5.0,10000.0,100000.0,150000.0,exact when group <=200000; deterministic first-200000 otherwise
herg,Log IC50,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,Potency,nM,679,2.2,69.106,14125.4,79432.8,79432.8,exact when group <=200000; deterministic first-200000 otherwise
herg,Ratio,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,Ratio IC50,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,Ratio Ki,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,TIME,h,50,6.333e-06,4.106763e-05,0.10001499999999999,1.7093299999999998,1.75,exact when group <=200000; deterministic first-200000 otherwise
herg,Time,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,V1/2,mv,2,-64.6,-63.98,-33.599999999999994,-3.2200000000000006,-2.6,exact when group <=200000; deterministic first-200000 otherwise
herg,XC50,nM,4,8000.0,8720.0,41000.0,98499.99999999999,100000.0,exact when group <=200000; deterministic first-200000 otherwise
herg,delta pIC50 wt-mutant,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,effect,%,1,10.0,10.0,10.0,10.0,10.0,exact when group <=200000; deterministic first-200000 otherwise
herg,k_off,s^-1,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,kon,M^-1*s^-1,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,pIC50,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,pKi,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,pXC50,M,2,4.5,4.507,4.85,5.1930000000000005,5.2,exact when group <=200000; deterministic first-200000 otherwise
herg,standard_binding_free_energy,kcal/mol,45,-12.764641738417216,-12.632660552254746,-9.54972909123967,-6.967859074394738,-6.89181272017247,exact when group <=200000; deterministic first-200000 otherwise
other,APD30,%,3,0.72,0.7918,4.31,9.3962,9.5,exact when group <=200000; deterministic first-200000 otherwise
other,APD60,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,APD70,ms,9,-37.0,-35.32,244.0,357.32,363.0,exact when group <=200000; deterministic first-200000 otherwise
other,APD75,%,63,0.0,0.0,11.0,43.0,43.0,exact when group <=200000; deterministic first-200000 otherwise
other,APD75,ms,6,313.0,314.35,400.0,526.8,529.0,exact when group <=200000; deterministic first-200000 otherwise
other,APD95,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,APD95,%,280,-53.0,-43.0,14.0,78.0,84.0,exact when group <=200000; deterministic first-200000 otherwise
other,APD95,ms,17,-24.0,-22.88,5.0,415.92,426.0,exact when group <=200000; deterministic first-200000 otherwise
other,APD95,uM,1,23.0,23.0,23.0,23.0,23.0,exact when group <=200000; deterministic first-200000 otherwise
other,APDc,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,Absorption,%,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,Activity,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,Activity,%,52,-5.4,-4.686,21.65,95.937,96.6,exact when group <=200000; deterministic first-200000 otherwise
other,Activity,ms,41,107.7,121.02000000000001,180.9,259.7200000000001,275.0,exact when group <=200000; deterministic first-200000 otherwise
other,Activity,uM,19,0.26,0.2672,6.2,65.47200000000001,69.0,exact when group <=200000; deterministic first-200000 otherwise
other,C,ng/mL,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,C ss,ng/mL,3,0.4,0.40800000000000003,0.8,1.094,1.1,exact when group <=200000; deterministic first-200000 otherwise
other,C(24h),mcg/ml,1,0.03,0.03,0.03,0.03,0.03,exact when group <=200000; deterministic first-200000 otherwise
other,C10APD90,uM,5,0.13,0.13240000000000002,1.0,15.708400000000001,16.3,exact when group <=200000; deterministic first-200000 otherwise
other,C20,uM,51,0.01,0.030000000000000002,1.4,32.85,42.0,exact when group <=200000; deterministic first-200000 otherwise
other,C20 APD95,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,C20 APD95,uM,33,0.02,0.0776,2.0,38.727999999999994,46.6,exact when group <=200000; deterministic first-200000 otherwise
other,CL(app),l/hr,2,4.5,4.705,14.75,24.794999999999998,25.0,exact when group <=200000; deterministic first-200000 otherwise
other,CL/F,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,CL/F,l/hr,13,2.85,2.8548,11.4,62.14799999999997,66.9,exact when group <=200000; deterministic first-200000 otherwise
other,CL/F,ml/min,24,33.0,36.565,148.5,323.13999999999993,365.0,exact when group <=200000; deterministic first-200000 otherwise
other,Cavg,ng/dl,2,365.0,367.47,488.5,609.53,612.0,exact when group <=200000; deterministic first-200000 otherwise
other,Cavg,pg/ml,8,9.8,10.584000000000001,45.5,102.94999999999999,104.0,exact when group <=200000; deterministic first-200000 otherwise
other,Cmin,ng/dl,2,223.0,224.71,308.5,392.29,394.0,exact when group <=200000; deterministic first-200000 otherwise
other,Cmin ss,nM,3,0.5,0.53,2.0,6.9,7.0,exact when group <=200000; deterministic first-200000 otherwise
other,Cmin ss,ng/mL,2,25.7,25.747,28.049999999999997,30.352999999999998,30.4,exact when group <=200000; deterministic first-200000 otherwise
