source_family,scope,searched_endpoint_or_record,decision,reason_or_result,rights_status
PubChem target universe,"All assays indexed to human KCNH2","https://pubchem.ncbi.nlm.nih.gov/rest/pug/assay/target/genesymbol/KCNH2/aids/TXT",ACQUIRED_METADATA,"4,067 AIDs; 3,878 ChEMBL mirrors, 127 BindingDB mirrors, 62 other; complete summaries retained","Public access; retain depositor rights and attribution"
PubChem GeneID universe,"All assays indexed to GeneID 3757","https://pubchem.ncbi.nlm.nih.gov/rest/pug/gene/geneid/3757/aids/TXT",ACQUIRED_METADATA,"4,059 AIDs; eight fewer than GeneSymbol query","Public access; retain depositor rights and attribution"
PubChem Tox21 AID 1671200,"Human hERG FluxOR II fluorescence qHTS with up to 51 replicates","https://pubchem.ncbi.nlm.nih.gov/bioassay/1671200",ACQUIRED,"9,667 official SIDs; clear source-grade gap and 6,515 structures absent from local ChEMBL","Public access; Tox21 depositor rights not explicitly relicensed by PubChem"
PubChem AID 588834,"NCATS/NCGC hERG flux qHTS","https://pubchem.ncbi.nlm.nih.gov/bioassay/588834",REJECT_EXISTING,"Already acquired under avicenna; 2,992 CIDs overlap AID 1671200","Existing raw conditional-use artifact"
PubChem AID 720551/720553,"Wild-type and KCNH2 3.1 mutant qHTS","https://pubchem.ncbi.nlm.nih.gov/bioassay/720551",REJECT_EXISTING,"Already acquired under avicenna; mutant remains separate biology","Existing raw conditional-use artifacts"
PubChem ChEMBL mirrors,"3,878 KCNH2 AIDs deposited by ChEMBL","https://pubchem.ncbi.nlm.nih.gov/rest/pug/assay/target/genesymbol/KCNH2/aids/TXT",REJECT_WRAPPER,"Local ChEMBL 37 CHEMBL240 is richer and already retained","ChEMBL CC BY-SA 3.0"
PubChem BindingDB mirrors,"127 KCNH2 AIDs deposited by BindingDB","https://pubchem.ncbi.nlm.nih.gov/rest/pug/assay/target/genesymbol/KCNH2/aids/TXT",REJECT_WRAPPER,"Direct current BindingDB Q12809 API export acquired instead","Mixed BindingDB attribution and inherited ChEMBL CC BY-SA"
PubChem non-hERG RNAi false positives,"Genome-wide RNAi assays returned through KCNH2 membership","https://pubchem.ncbi.nlm.nih.gov/rest/pug/assay/target/genesymbol/KCNH2/aids/TXT",REJECT_SEMANTICS,"Most of the 62 non-ChEMBL/non-BindingDB AIDs are RNAi screens or broad target panels, not compound-hERG measurements","Source-specific"
PubChem AID 652075 and broad Scripps panels,"One-compound hERG counterscreen and multi-target panels","https://pubchem.ncbi.nlm.nih.gov/bioassay/652075",REJECT_LOW_VALUE_PANEL,"Metadata retained in universe; no useful independent hERG corpus","Source-specific"
PubChem AID 1346735,"Rat Kv11.1 IUPHAR records","https://pubchem.ncbi.nlm.nih.gov/bioassay/1346735",REJECT_SPECIES,"Three records and nonhuman target; preserve only as metadata","IUPHAR source terms"
BindingDB Q12809,"Current human KCNH2 affinities","https://www.bindingdb.org/rest/getLigandsByUniprots?uniprot=Q12809&response=application/json",ACQUIRED,"18,759 rows; 14,832 RDKit structures; 1,469 absent from local ChEMBL","Mixed: BindingDB-curated attribution license plus inherited ChEMBL share-alike; API omits row curator"
BindingDB registered TSV/SDF export,"Full assay-rich target export","https://www.bindingdb.org/uniprot/Q12809",BLOCKED,"Download workflow requires account; public API lacks assay conditions, curator and source-license fields","Registration and record-level license chain required"
ChEMBL 37 CHEMBL240,"Human hERG measurement backbone","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL240",REJECT_EXISTING,"Local raw file already contains 41,078 rows and 26,254 RDKit structures","CC BY-SA 3.0"
Original hERGCentral,"Single-dose electrophysiology repository","https://doi.org/10.1089/adt.2011.0425",BLOCKED,"No authoritative downloadable snapshot with explicit dataset license located; derivative releases already inventoried","Underlying dataset rights unresolved"
Integrated hERG database 2018,"ChEMBL plus GOSTAR plus NCGC plus hERGCentral","https://doi.org/10.1371/journal.pone.0199348",REJECT_MIXED_RIGHTS,"Includes commercial GOSTAR and duplicates current primary sources","Article CC BY does not clear underlying datasets"
Zenodo 5807719 ToxTree,"Curated 8,879-row hERG pIC50 benchmark","https://doi.org/10.5281/zenodo.5807719",ACQUIRED,"8,877 RDKit structures; 8,068 overlap local ChEMBL and 8,617 overlap later Zenodo 8359714","CC BY 4.0"
Zenodo 6334912,"ChEMBL plus hERGCentral binary union","https://doi.org/10.5281/zenodo.6334912",REJECT_EXISTING,"Already acquired under anscombe; missing row provenance and label semantics","CC BY 4.0"
Zenodo 8359714,"Curated hERG/Cav1.2/Nav1.5 quantitative release","https://doi.org/10.5281/zenodo.8359714",REJECT_EXISTING,"Already acquired under anscombe; supersedes most structures in Zenodo 5807719","CC BY 4.0"
Papyrus 05.5,"Large ChEMBL/PubChem bioactivity aggregation","https://zenodo.org/records/10943993",REJECT_WRAPPER,"Not hERG-specific and would replicate source databases at large cost","Papyrus release-specific terms"
Consensus compound/bioactivity dataset,"ChEMBL/PubChem/BindingDB/IUPHAR/Probes&Drugs integration","https://doi.org/10.5281/zenodo.6398019",REJECT_WRAPPER,"Aggregate means lose source-grade measurement detail and duplicate existing sources","Repository license/source inheritance must be honored"
Harvard Dataverse TDC hERG families,"hERG and hERG Karim benchmark wrappers","https://tdcommons.ai/single_pred_tasks/tox/",REJECT_EXISTING,"Already acquired/audited under darwin; high ChEMBL overlap and label conflicts","Dataset-specific rights ambiguous"
Hugging Face ToxiMol hERGCentral,"60-molecule image benchmark","https://huggingface.co/datasets/DeepYoke/ToxiMol-benchmark",REJECT_EXISTING,"Already acquired under anscombe; contains no measured hERG labels","MIT repository license; inherited source lineage incomplete"
HERGAI,"Approximately 300k hERGCentral-like binary records","https://github.com/vktrannguyen/HERGAI",REJECT_EXISTING,"Already acquired and audited under anscombe","MIT repository license with upstream lineage review needed"
CardioTox/DeepHIT/hERG Karim repositories,"Derived ML benchmark compilations","https://github.com/Abdulk084/CardioTox",REJECT_WRAPPER,"Derived from ChEMBL, BindingDB and literature; TDC copy already audited","Repository code license does not necessarily relicense data"
OCHEM,"Record-level contributed hERG measurements","https://ochem.eu/",BLOCKED,"No blanket hERG export license or authoritative public snapshot located","Record/source-specific"
GOSTAR,"Commercial medicinal-chemistry hERG records","https://www.gostardb.com/",BLOCKED_COMMERCIAL,"No public redistribution right; appears in mixed integrated datasets","Commercial"
Figshare,"Repository-wide hERG/KCNH2 dataset search","https://figshare.com/search?q=hERG%20dataset",NO_DEDICATED_SOURCE_FOUND,"Search results did not identify a source-grade dedicated hERG measurement release not already represented","Item-specific"
Dryad,"Repository-wide hERG/KCNH2 dataset search","https://datadryad.org/search?q=hERG",NO_DEDICATED_SOURCE_FOUND,"No credible dedicated downloadable hERG measurement release located","Item-specific"
Harvard Dataverse,"Repository-wide hERG/KCNH2 search","https://dataverse.harvard.edu/",NO_NEW_SOURCE_FOUND,"Only already-known TDC/benchmark family was actionable","Item-specific"
OSF and institutional repositories,"hERG/KCNH2 dataset search",MULTIPLE,NO_NEW_SOURCE_FOUND,"No authoritative source-grade release beyond known article supplements and wrappers located","Item-specific"
