outer_fold,model,n,mae,rmse,median_absolute_error,within_0p5,within_1p0,p95_absolute_error
0,V8,3761,0.47340782152786864,0.7142756206888189,0.32177152355468763,0.6809359212975272,0.8984312682797129,1.3800242831280105
0,V9 honest stack,3761,0.4563107636725833,0.6924107742279115,0.30944766580032734,0.6968891252326509,0.9074714171762829,1.355684176086764
1,V8,3760,0.433193016889257,0.6260864197702889,0.30808585937000066,0.6992021276595745,0.9199468085106383,1.240634739526477
1,V9 honest stack,3760,0.423638190466632,0.6137528144565408,0.30503849620939594,0.7018617021276595,0.9231382978723405,1.1882661720495489
2,V8,3760,0.42400983575603396,0.589820692400733,0.30376700458934636,0.6952127659574469,0.9204787234042553,1.1774043083124512
2,V9 honest stack,3760,0.41253374531371784,0.5767377664440428,0.2952219794483031,0.7074468085106383,0.926063829787234,1.147976506171263
3,V8,3760,0.438580295323031,0.6251775783190673,0.324657652144031,0.6893617021276596,0.9127659574468086,1.2302608752619977
3,V9 honest stack,3760,0.4322293234134504,0.6140615539449803,0.321680707427773,0.6925531914893617,0.9215425531914894,1.186849125419111
4,V8,3760,0.4514760838809241,0.665697005825162,0.31094069564518945,0.686968085106383,0.9045212765957447,1.3680550785514765
4,V9 honest stack,3760,0.43908548021233906,0.6524489022405802,0.3010842276631709,0.6930851063829787,0.9106382978723404,1.2860933417008649
