dimension,level,model,n,mae,rmse,median_absolute_error,within_0p5,within_1p0,p95_absolute_error
mw_bin,500-600,V8,3216,0.4360152654710615,0.6537832256713743,0.3012917193006217,0.7042910447761194,0.9182213930348259,1.243454174700623
mw_bin,500-600,V9 honest stack,3216,0.42354078952331203,0.6364338427691587,0.29157413841419144,0.7145522388059702,0.9219527363184079,1.2188662827831351
mw_bin,300-500,V8,13539,0.44302617757078616,0.6369817686814463,0.314680767259766,0.6881601299948298,0.9103331117512372,1.2611117626919213
mw_bin,300-500,V9 honest stack,13539,0.43137466931229945,0.6218758196890467,0.3079569562211013,0.696358667552995,0.9187532314055691,1.2202675488946129
mw_bin,600-700,V8,500,0.45608621807714844,0.6306235638529311,0.332655668258667,0.656,0.89,1.300612363692504
mw_bin,600-700,V9 honest stack,500,0.4397732178507754,0.6146961432970073,0.31946694675707943,0.664,0.914,1.2207963122371472
mw_bin,<300,V8,1328,0.4616749590760229,0.7026523372739532,0.3136274456077883,0.704066265060241,0.911144578313253,1.3259325586629624
mw_bin,<300,V9 honest stack,1328,0.4526574461573411,0.6927629797504127,0.3164281044192574,0.704066265060241,0.9036144578313253,1.361162348860239
mw_bin,>=700,V8,218,0.4985209263400887,0.7233461786796569,0.3975937577084352,0.6146788990825688,0.9128440366972477,1.43961430958297
mw_bin,>=700,V9 honest stack,218,0.5175706329868784,0.7534074932083136,0.39366049621907306,0.6284403669724771,0.8899082568807339,1.5235517923136817
similarity_bin,<0.3,V8,852,0.4846486221906964,0.6600365559602023,0.36860010110266117,0.6349765258215962,0.9072769953051644,1.2290937458217028
similarity_bin,<0.3,V9 honest stack,852,0.48239913166837267,0.6537040871770344,0.3630270867212637,0.6244131455399061,0.9049295774647887,1.247391016718385
similarity_bin,0.5-0.7,V8,6686,0.47394794232383297,0.695226586444362,0.3307347221671142,0.6709542327250972,0.9027819323960514,1.3678152436611586
similarity_bin,0.5-0.7,V9 honest stack,6686,0.4595823307272247,0.6757262384472738,0.32387558957484686,0.6797786419383787,0.9092132814836973,1.3527184653636102
similarity_bin,>=0.7,V8,7866,0.386946728536735,0.5590506319114777,0.2747131999839274,0.7405288583778287,0.9294431731502669,1.1477232678215943
similarity_bin,>=0.7,V9 honest stack,7866,0.37047026642820624,0.5401914893915596,0.2575176557823027,0.7571828121027205,0.9392321383168065,1.089969673002621
similarity_bin,0.3-0.5,V8,3397,0.5077191620152784,0.7229323688692021,0.3722127886608888,0.6261407123932882,0.8866647041507212,1.3516175452535522
similarity_bin,0.3-0.5,V9 honest stack,3397,0.511758693903951,0.7231125366780496,0.3818471689817944,0.617309390638799,0.8881365911098028,1.3601865021488602
potency_bin,4-5,V8,7012,0.37798018555543694,0.48291425396682275,0.3163922823856353,0.7253280091272105,0.9596406160867085,0.9428185717766233
potency_bin,4-5,V9 honest stack,7012,0.37272466529121295,0.48889201640783614,0.2986638482050483,0.731032515687393,0.9567883628066173,0.9721026482264453
potency_bin,5-6,V8,8315,0.296112804756961,0.3907712088831077,0.23041152954101562,0.8204449789536982,0.9822008418520746,0.7895298142573479
potency_bin,5-6,V9 honest stack,8315,0.31182578918980297,0.4172722188823376,0.23827537524604026,0.7997594708358389,0.9777510523150932,0.8218745613082518
potency_bin,>=6,V8,3135,0.9184094056430554,1.1757670267008207,0.7717647684016109,0.31483253588516746,0.6472089314194578,2.5064982872656825
potency_bin,>=6,V9 honest stack,3135,0.8326267085925482,1.106010865158438,0.6521183179355123,0.39553429027113235,0.6995215311004784,2.4074671472655327
potency_bin,<4,V8,339,1.0572065166951203,1.327839604450494,0.8738910693215334,0.24778761061946902,0.6106194690265486,2.559649116779859
potency_bin,<4,V9 honest stack,339,0.9429893827930195,1.2502459632018148,0.7814389230639436,0.336283185840708,0.6578171091445427,2.568267635572049
rotor_bin,6-9,V8,7641,0.45243691838904665,0.6677822719254735,0.3123722966694338,0.6919251406883916,0.9076037167909959,1.334463119506836
rotor_bin,6-9,V9 honest stack,7641,0.43942350178282874,0.6503930734513661,0.3040297639765308,0.7003010077215024,0.9163722025912838,1.2864616511340579
rotor_bin,3-5,V8,8207,0.43585003208316864,0.6241197771013958,0.31357411846899375,0.6918484220787133,0.9172657487510661,1.2050104295196595
rotor_bin,3-5,V9 honest stack,8207,0.4262087842007379,0.611134256866945,0.3100474487079774,0.6976970878518338,0.92262702570976,1.1693938254403742
rotor_bin,0-2,V8,1641,0.4243601632283237,0.6263476012986425,0.29833784576879907,0.7050578915295551,0.9134673979280926,1.2171925516918947
rotor_bin,0-2,V9 honest stack,1641,0.41466264334933556,0.6190979213199149,0.2852378556132953,0.7068860450944546,0.9134673979280926,1.227353770491205
rotor_bin,>=10,V8,1312,0.47234359294552547,0.6697906106686659,0.3458569049835205,0.6532012195121951,0.8917682926829268,1.387801493603642
rotor_bin,>=10,V9 honest stack,1312,0.457578548433963,0.6545928285830148,0.3234417683345394,0.680640243902439,0.9009146341463414,1.3651695390462208
measurement_modality,unresolved,V8,11484,0.41263798608981006,0.5816248928216683,0.29859007591247577,0.7104667363288053,0.9229362591431557,1.165095484905261
measurement_modality,unresolved,V9 honest stack,11484,0.40201859781117905,0.568641237825813,0.29061628853417476,0.7166492511320097,0.9296412399860676,1.1323584176946941
measurement_modality,binding_unspecified,V8,2500,0.5419909994133807,0.830991766500787,0.35761333579946264,0.6424,0.878,1.9050265680959328
measurement_modality,binding_unspecified,V9 honest stack,2500,0.5309117496789834,0.8161012693186149,0.3503414568631542,0.6516,0.8812,1.904862132012132
measurement_modality,patch_clamp_electrophysiology,V8,2666,0.46017235932435335,0.6781605897789527,0.32131144526766153,0.6759189797449362,0.9088522130532634,1.3540956606957808
measurement_modality,patch_clamp_electrophysiology,V9 honest stack,2666,0.44919858491084425,0.6605472944234151,0.3192497036353217,0.6916729182295573,0.9107276819204801,1.3271490176205265
measurement_modality,radioligand_binding,V8,1628,0.5092762437981988,0.7293331030797036,0.3582823901094878,0.6363636363636364,0.8722358722358723,1.5218502565338135
measurement_modality,radioligand_binding,V9 honest stack,1628,0.488759609467013,0.7049779832553484,0.34646100355303133,0.6461916461916462,0.8931203931203932,1.4526352609206374
