structure_id,scaffold_group_id,outer_fold,observed_pic50,pred__honest_stack,absolute_error,pred__v8,absolute_error_v8,v9_improvement_vs_v8,molecular_weight,mol_logp,tpsa,rotatable_bonds,maximum_train_tanimoto,interval90_half_width,extrapolation_or_abstention_flag,measurement_modality,source_family,training_mmp_cliff_member,mmp_analog_covered,observation_count,label_range,label_mad,protocol_completeness_mean,conflict_review,lineage_or_evaluation_caution,nearest_analog_ids,nearest_analog_similarities
HSTR-D2B96E16BB37C7EBD8F296D6,HSCF-FF9BF415876435BF3988DD75FCB551BFF9C78A01154D828AE3698AD09B520D37,3,12.0,5.37978664525721,6.62021335474279,5.4927978515625,6.5072021484375,-0.11301120630529038,278.399,3.2332,6.48,1.0,0.36585365853658536,0.9880827452834966,True,unresolved,quantitative_pic50_release,False,False,1,0.0,0.0,0.0,False,False,"[""HSTR-66BBCAA16FE4E2287C95469B"", ""HSTR-B83DD4A6AB42548C74605D22"", ""HSTR-944B9A45021367FB9761746A""]","[0.36585365853658536, 0.3269230769230769, 0.32558139534883723]"
HSTR-D2B0F01046BB4F30ADB8FB21,HSCF-3989BC9D6A1C5A367680C7531EF9456FDFA2B2FB9C8D9AE686D0DFBF539FF1A8,0,10.67778070526608,5.105356040865284,5.572424664400796,5.128866195678711,5.5489145095873695,-0.023510154813426887,485.584,3.2362,97.82,4.0,0.4948453608247423,0.960840556938126,True,patch_clamp_electrophysiology,chembl_herg_specialized_view,False,False,1,0.0,0.0,3.0,False,False,"[""HSTR-5F9F868E29E61D1F92F5D664"", ""HSTR-7DB78180B9BA7ACE8D8E2962"", ""HSTR-B68BD16767514639ABBBA4A7""]","[0.4948453608247423, 0.4090909090909091, 0.3917525773195876]"
HSTR-0AC3987242B0A74F0ADB5DC4,HSCF-5319CEE0BF1A7F48F04F1949B0FEE9DC20E79B10620B477F7167E06CE64C335B,3,0.02000000000032664,4.860675619205721,4.840675619205395,4.954831600189209,4.934831600188883,0.09415598098348799,583.512,7.0109,79.31,7.0,0.6615384615384615,0.9880827452834966,False,patch_clamp_electrophysiology,chembl_herg_specialized_view,True,True,2,6.532725749242019e-13,3.2663628746210094e-13,1.0,False,False,"[""HSTR-92917206776044CC8AC01E02"", ""HSTR-B6FA360C67C44140672DE6F9"", ""HSTR-ADE1654B4FA30EF6A142C155""]","[0.6615384615384615, 0.6307692307692307, 0.6212121212121212]"
HSTR-9FB06B881656F5B6E3AED874,HSCF-3989BC9D6A1C5A367680C7531EF9456FDFA2B2FB9C8D9AE686D0DFBF539FF1A8,0,9.853871964321762,5.202450549502338,4.651421414819424,5.23516845703125,4.618703507290512,-0.03271790752891235,499.611,3.54462,97.82,4.0,0.494949494949495,0.960840556938126,True,patch_clamp_electrophysiology,chembl_herg_specialized_view,False,False,1,0.0,0.0,3.0,False,False,"[""HSTR-5F9F868E29E61D1F92F5D664"", ""HSTR-7DB78180B9BA7ACE8D8E2962"", ""HSTR-B68BD16767514639ABBBA4A7""]","[0.494949494949495, 0.3956043956043956, 0.3939393939393939]"
HSTR-DF11107E3FB5556449C4FBEB,HSCF-B7528669E5D0F23ACDE08319814B3EC703833DD182EE8028B9628E008F5A44F3,3,0.8000000004946721,5.319294968934947,4.519294968440274,5.309703826904297,4.509703826409625,-0.009591142030648925,486.616,4.9831,80.92,6.0,0.671875,0.9880827452834966,False,patch_clamp_electrophysiology,chembl_herg_specialized_view,True,True,2,1.0106556702638159e-09,5.053278351319079e-10,1.0,False,False,"[""HSTR-B6FA360C67C44140672DE6F9"", ""HSTR-ADE1654B4FA30EF6A142C155"", ""HSTR-62B86EA65638C8790D5D5DD5""]","[0.671875, 0.6119402985074627, 0.6086956521739131]"
HSTR-AEF846B0299593FAB1FAADD8,HSCF-8240273136D970D89ED3EE5714700470A0053120857C5337622C339389B73B71,1,8.0,3.5671933994661984,4.432806600533802,3.9166195392608643,4.083380460739136,-0.34942613979466586,764.007,2.356,197.07,8.0,0.7789473684210526,0.969152967196047,False,binding_unspecified,chembl_herg_specialized_view,False,False,2,0.0,0.0,0.0,False,False,"[""HSTR-8047D683ACB90B9B92F13BAF"", ""HSTR-EAFD53412118BCBDFE86ED77"", ""HSTR-1DA753209BC8DF7B6D644D49""]","[0.7789473684210526, 0.7708333333333334, 0.7708333333333334]"
HSTR-3C92480773295719B4C579AF,HSCF-F56B5E85DE33FEF65DDD12B02321118200FED523663F5F9B69F42B9235AC4C53,4,0.2900000000005778,4.597425764370284,4.307425764369706,4.776159286499023,4.486159286498445,0.1787335221287396,538.652,5.186,96.47,7.0,0.676923076923077,0.9905061418310943,False,patch_clamp_electrophysiology,chembl_herg_specialized_view,True,True,2,1.1555756351810942e-12,5.777878175905471e-13,1.0,False,False,"[""HSTR-BED81B8D6C4A87C9106085F5"", ""HSTR-92917206776044CC8AC01E02"", ""HSTR-6DF6F4DF595BCF9AB8B21A77""]","[0.676923076923077, 0.6521739130434783, 0.6268656716417911]"
HSTR-3B041022FE2EF5F11816E862,HSCF-C35A2924CC3C30EEED07E705209376850A8491F09C10B98E4299E19F9E1BE8C5,4,9.2839966563652,5.058005153461358,4.225991502903843,5.046584129333496,4.2374125270317045,0.011421024127861834,340.721,2.3491,83.78,5.0,0.5806451612903226,0.9905061418310943,False,binding_unspecified,chembl_herg_specialized_view,True,False,3,3.652012026122975e-10,0.0,1.0,False,False,"[""HSTR-DD03CB6A3756AAD207E26C15"", ""HSTR-0C12DC89F54EA9286E51D3BB"", ""HSTR-1A101E5153ADB1D9A8C153E5""]","[0.5806451612903226, 0.3880597014925373, 0.38571428571428573]"
HSTR-8366AC3F23CEFF528AAF7DFB,HSCF-C35A2924CC3C30EEED07E705209376850A8491F09C10B98E4299E19F9E1BE8C5,4,9.292429823951032,5.19617111395388,4.096258709997152,5.060517311096191,4.231912512854841,0.13565380285768835,338.749,2.8594,74.55,4.0,0.4153846153846154,0.9905061418310943,True,binding_unspecified,chembl_herg_specialized_view,False,False,2,9.793588162665401e-11,4.8967940813327004e-11,0.0,False,False,"[""HSTR-0C12DC89F54EA9286E51D3BB"", ""HSTR-1A101E5153ADB1D9A8C153E5"", ""HSTR-1F3EE5FA8D0A6E181F59DBCC""]","[0.4153846153846154, 0.4117647058823529, 0.390625]"
HSTR-01C76A7BCD433A73786EE046,HSCF-C35A2924CC3C30EEED07E705209376850A8491F09C10B98E4299E19F9E1BE8C5,4,9.318758762624412,5.262095134995714,4.056663627628699,5.322203636169434,3.996555126454979,-0.06010850117371991,308.267,2.171,74.55,4.0,0.41935483870967744,0.9905061418310943,True,binding_unspecified,chembl_herg_specialized_view,True,False,3,3.7558756105227076e-10,0.0,1.0,False,False,"[""HSTR-0C12DC89F54EA9286E51D3BB"", ""HSTR-A768EC4E640EE195EAA9DC64"", ""HSTR-4238B138F13D192036FA1293""]","[0.41935483870967744, 0.4067796610169492, 0.3939393939393939]"
