evidence_domain,inclusion_status,reason,rows
binding,included,<none>,2315162
binding,quarantined,chembl_data_validity_comment,425
binding,quarantined,chembl_potential_duplicate,300
binding,quarantined,missing_or_invalid_structure,3216
binding,quarantined,unsupported_or_missing_relation,6714
binding,review,approximate_relation,440
binding,review,chembl_data_validity_comment,72389
binding,review,chembl_nonstandard_activity,64
binding,review,chembl_potential_duplicate,315674
herg,included,<none>,26454
herg,quarantined,chembl_data_validity_comment,4
herg,quarantined,chembl_nonstandard_activity,4953
herg,quarantined,chembl_potential_duplicate,2
herg,quarantined,missing_numeric_and_categorical_result,11
herg,quarantined,missing_or_invalid_structure,102
herg,quarantined,missing_or_unsupported_unit,314
herg,quarantined,unsupported_or_missing_relation,4657
herg,review,approximate_relation,6
herg,review,chembl_data_validity_comment,478
herg,review,chembl_nonstandard_activity,6798
herg,review,chembl_potential_duplicate,2176
other,included,<none>,300711
other,quarantined,chembl_data_validity_comment,43
other,quarantined,chembl_nonstandard_activity,309
other,quarantined,chembl_potential_duplicate,15
other,quarantined,missing_numeric_and_categorical_result,2
other,quarantined,missing_or_invalid_structure,377
other,quarantined,missing_or_unsupported_unit,231
other,quarantined,unsupported_or_missing_relation,448
other,review,approximate_relation,100
other,review,chembl_data_validity_comment,15947
other,review,chembl_nonstandard_activity,967
other,review,chembl_potential_duplicate,7786
pk_adme,included,<none>,116068
pk_adme,quarantined,approximate_relation,230
pk_adme,quarantined,chembl_data_validity_comment,6502
pk_adme,quarantined,chembl_nonstandard_activity,277700
pk_adme,quarantined,chembl_potential_duplicate,3137
pk_adme,quarantined,missing_numeric_and_categorical_result,616
pk_adme,quarantined,missing_or_invalid_structure,61776
pk_adme,quarantined,missing_or_unsupported_unit,79463
pk_adme,quarantined,nonpositive_concentration,249
pk_adme,quarantined,pk_endpoint_unit_not_allowlisted,369213
pk_adme,quarantined,pk_required_context_missing,370463
pk_adme,quarantined,unsupported_or_missing_relation,51337
pk_adme,review,approximate_relation,50
pk_adme,review,chembl_data_validity_comment,775
pk_adme,review,chembl_nonstandard_activity,29843
pk_adme,review,chembl_potential_duplicate,24
qt,quarantined,chembl_data_validity_comment,10
qt,quarantined,chembl_nonstandard_activity,632
qt,quarantined,chembl_potential_duplicate,45
qt,quarantined,missing_or_unsupported_unit,56
qt,quarantined,qt_apd_context_or_unit_insufficient,779
qt,quarantined,unsupported_or_missing_relation,206
qt,review,chembl_nonstandard_activity,215
