table,field,evidence_domain,missing_rows,denominator_rows,missing_rate
assays,assay_category,<all>,423522,430776,0.9831606217616581
assays,assay_family,<all>,0,430776,0.0
assays,assay_format,<all>,0,430776,0.0
assays,assay_group,<all>,430729,430776,0.9998908945716567
assays,assay_id,<all>,0,430776,0.0
assays,assay_tax_id,<all>,63258,430776,0.14684662098167028
assays,assay_test_type,<all>,380772,430776,0.8839211098111316
assays,assay_type,<all>,0,430776,0.0
assays,bao_format_id,<all>,0,430776,0.0
assays,cell_id,<all>,383483,430776,0.890214403773655
assays,cell_system,<all>,364537,430776,0.8462333091908556
assays,confidence_score,<all>,0,430776,0.0
assays,construct_id,<all>,430776,430776,1.0
assays,description,<all>,0,430776,0.0
assays,matrix,<all>,430776,430776,1.0
assays,organism,<all>,61552,430776,0.14288632607201887
assays,ph,<all>,430776,430776,1.0
assays,protein_id,<all>,0,430776,0.0
assays,protocol_completeness,<all>,0,430776,0.0
assays,protocol_missing_fields,<all>,369224,430776,0.8571136739279811
assays,relationship_type,<all>,0,430776,0.0
assays,route,<all>,430776,430776,1.0
assays,snapshot_id,<all>,0,430776,0.0
assays,source_assay_external_id,<all>,320204,430776,0.7433190335580441
assays,source_assay_id,<all>,0,430776,0.0
assays,source_id,<all>,0,430776,0.0
assays,strain,<all>,358751,430776,0.8328017345441715
assays,subcellular_fraction,<all>,398437,430776,0.9249285011235537
assays,temperature_c,<all>,421680,430776,0.9788846175274388
assays,tissue,<all>,357143,430776,0.8290689360595762
assays,tissue_id,<all>,360263,430776,0.8363116793878953
assays,variant_id,<all>,424222,430776,0.984785596226345
molecule_aliases,compound_name,<all>,1289688,1304011,0.9890161969492589
molecule_aliases,molecule_alias_id,<all>,0,1304011,0.0
molecule_aliases,molecule_id,<all>,0,1304011,0.0
molecule_aliases,resolution_method,<all>,0,1304011,0.0
molecule_aliases,resolution_status,<all>,0,1304011,0.0
molecule_aliases,snapshot_id,<all>,0,1304011,0.0
molecule_aliases,source_compound_id,<all>,0,1304011,0.0
molecule_aliases,source_id,<all>,0,1304011,0.0
molecule_aliases,source_record_id,<all>,0,1304011,0.0
molecule_aliases,submitted_inchi_key,<all>,12234,1304011,0.009381822699348395
molecule_aliases,submitted_smiles,<all>,12234,1304011,0.009381822699348395
molecule_development_annotations,annotation_role,<all>,0,1304011,0.0
molecule_development_annotations,black_box_warning,<all>,0,1304011,0.0
molecule_development_annotations,development_metadata_id,<all>,0,1304011,0.0
molecule_development_annotations,first_approval,<all>,1301842,1304011,0.9983366704728718
molecule_development_annotations,max_phase,<all>,1297416,1304011,0.9949425273253063
molecule_development_annotations,molecule_chembl_id,<all>,0,1304011,0.0
molecule_development_annotations,molecule_id,<all>,0,1304011,0.0
molecule_development_annotations,molecule_pref_name,<all>,1289688,1304011,0.9890161969492589
molecule_development_annotations,molecule_row_id,<all>,0,1304011,0.0
molecule_development_annotations,molecule_type,<all>,386993,1304011,0.2967712695675113
molecule_development_annotations,semantic_role,<all>,0,1304011,0.0
molecule_development_annotations,snapshot_id,<all>,0,1304011,0.0
molecule_development_annotations,source_id,<all>,0,1304011,0.0
molecule_development_annotations,therapeutic_flag,<all>,0,1304011,0.0
molecule_development_annotations,withdrawn_flag,<all>,0,1304011,0.0
molecules,canonical_smiles,<all>,12234,1304011,0.009381822699348395
molecules,formal_charge,<all>,1304011,1304011,1.0
molecules,fragment_count,<all>,12234,1304011,0.009381822699348395
molecules,full_structure_id,<all>,12234,1304011,0.009381822699348395
molecules,identity_resolution_status,<all>,0,1304011,0.0
molecules,molecule_id,<all>,0,1304011,0.0
molecules,source_count,<all>,0,1304011,0.0
molecules,standard_inchi_key,<all>,12234,1304011,0.009381822699348395
molecules,standardization_status,<all>,0,1304011,0.0
molecules,standardization_version,<all>,0,1304011,0.0
molecules,standardized_smiles,<all>,12234,1304011,0.009381822699348395
molecules,structure_id,<all>,12234,1304011,0.009381822699348395
molecules,submitted_smiles,<all>,12234,1304011,0.009381822699348395
observation_lineage,lineage_id,<all>,0,3938372,0.0
observation_lineage,lineage_role,<all>,0,3938372,0.0
observation_lineage,observation_id,<all>,0,3938372,0.0
observation_lineage,snapshot_id,<all>,0,3938372,0.0
observation_lineage,source_file_id,<all>,0,3938372,0.0
observation_lineage,source_id,<all>,0,3938372,0.0
observations,access_class,binding,0,2706128,0.0
observations,access_class,herg,0,40860,0.0
observations,access_class,other,0,325961,0.0
observations,access_class,pk_adme,0,864223,0.0
observations,access_class,qt,0,1200,0.0
observations,activity_origin_description,binding,0,2706128,0.0
observations,activity_origin_description,herg,0,40860,0.0
observations,activity_origin_description,other,0,325961,0.0
observations,activity_origin_description,pk_adme,0,864223,0.0
observations,activity_origin_description,qt,0,1200,0.0
observations,activity_origin_id,binding,0,2706128,0.0
observations,activity_origin_id,herg,0,40860,0.0
observations,activity_origin_id,other,0,325961,0.0
observations,activity_origin_id,pk_adme,0,864223,0.0
observations,activity_origin_id,qt,0,1200,0.0
observations,activity_origin_name,binding,0,2706128,0.0
observations,activity_origin_name,herg,0,40860,0.0
observations,activity_origin_name,other,0,325961,0.0
observations,activity_origin_name,pk_adme,0,864223,0.0
observations,activity_origin_name,qt,0,1200,0.0
observations,assay_id,binding,0,2706128,0.0
observations,assay_id,herg,0,40860,0.0
observations,assay_id,other,0,325961,0.0
observations,assay_id,pk_adme,0,864223,0.0
observations,assay_id,qt,0,1200,0.0
observations,canonical_unit,binding,0,2706128,0.0
observations,canonical_unit,herg,3631,40860,0.08886441507586883
observations,canonical_unit,other,313,325961,0.0009602375744337513
observations,canonical_unit,pk_adme,119225,864223,0.13795629137386994
observations,canonical_unit,qt,248,1200,0.20666666666666667
observations,canonical_value,binding,6879,2706128,0.00254200836028451
observations,canonical_value,herg,10712,40860,0.26216348507097403
observations,canonical_value,other,826,325961,0.0025340454839689413
observations,canonical_value,pk_adme,159617,864223,0.18469422822581671
observations,canonical_value,qt,410,1200,0.3416666666666667
observations,chembl_activity_id,binding,0,2706128,0.0
observations,chembl_activity_id,herg,0,40860,0.0
observations,chembl_activity_id,other,0,325961,0.0
observations,chembl_activity_id,pk_adme,0,864223,0.0
observations,chembl_activity_id,qt,0,1200,0.0
observations,chembl_data_validity_comment,binding,2633314,2706128,0.9730929209556975
observations,chembl_data_validity_comment,herg,40378,40860,0.988203622124327
observations,chembl_data_validity_comment,other,309971,325961,0.95094505170864
observations,chembl_data_validity_comment,pk_adme,856946,864223,0.9915797195862642
observations,chembl_data_validity_comment,qt,1190,1200,0.9916666666666667
observations,chembl_potential_duplicate,binding,0,2706128,0.0
observations,chembl_potential_duplicate,herg,0,40860,0.0
observations,chembl_potential_duplicate,other,0,325961,0.0
observations,chembl_potential_duplicate,pk_adme,0,864223,0.0
observations,chembl_potential_duplicate,qt,0,1200,0.0
observations,chembl_standard_flag,binding,0,2706128,0.0
observations,chembl_standard_flag,herg,0,40860,0.0
observations,chembl_standard_flag,other,0,325961,0.0
observations,chembl_standard_flag,pk_adme,0,864223,0.0
observations,chembl_standard_flag,qt,0,1200,0.0
observations,conflict_group_id,binding,2684256,2706128,0.9919176033062738
observations,conflict_group_id,herg,40821,40860,0.9990455212922174
observations,conflict_group_id,other,324559,325961,0.9956988719509389
observations,conflict_group_id,pk_adme,863717,864223,0.9994145029697197
