layer,evidence_domain,inclusion_status,reason,rows
derived,binding,included,<all>,67803
derived,herg,included,<all>,45
source,binding,included,<all>,2247359
source,binding,quarantined,<all>,9930
source,binding,quarantined,combination:chembl_data_validity_comment;chembl_potential_duplicate;missing_or_invalid_structure,109
source,binding,quarantined,combination:chembl_data_validity_comment;chembl_potential_duplicate;unsupported_or_missing_relation,8
source,binding,quarantined,combination:chembl_data_validity_comment;missing_or_invalid_structure,209
source,binding,quarantined,combination:chembl_data_validity_comment;unsupported_or_missing_relation,99
source,binding,quarantined,combination:chembl_potential_duplicate;missing_or_invalid_structure,56
source,binding,quarantined,combination:chembl_potential_duplicate;unsupported_or_missing_relation,127
source,binding,quarantined,combination:missing_or_invalid_structure,2842
source,binding,quarantined,combination:unsupported_or_missing_relation,6480
source,binding,quarantined,reason:chembl_data_validity_comment,425
source,binding,quarantined,reason:chembl_potential_duplicate,300
source,binding,quarantined,reason:missing_or_invalid_structure,3216
source,binding,quarantined,reason:unsupported_or_missing_relation,6714
source,binding,review,<all>,381036
source,binding,review,combination:approximate_relation,370
source,binding,review,combination:approximate_relation;chembl_data_validity_comment,70
source,binding,review,combination:chembl_data_validity_comment,64859
source,binding,review,combination:chembl_data_validity_comment;chembl_nonstandard_activity,47
source,binding,review,combination:chembl_data_validity_comment;chembl_nonstandard_activity;chembl_potential_duplicate,1
source,binding,review,combination:chembl_data_validity_comment;chembl_potential_duplicate,7412
source,binding,review,combination:chembl_nonstandard_activity,16
source,binding,review,combination:chembl_potential_duplicate,308261
source,binding,review,reason:approximate_relation,440
source,binding,review,reason:chembl_data_validity_comment,72389
source,binding,review,reason:chembl_nonstandard_activity,64
source,binding,review,reason:chembl_potential_duplicate,315674
source,herg,included,<all>,26409
source,herg,quarantined,<all>,5012
source,herg,quarantined,combination:chembl_data_validity_comment;chembl_nonstandard_activity;missing_or_unsupported_unit,1
source,herg,quarantined,combination:chembl_data_validity_comment;chembl_potential_duplicate;missing_or_unsupported_unit,2
source,herg,quarantined,combination:chembl_data_validity_comment;missing_or_unsupported_unit,1
source,herg,quarantined,combination:chembl_nonstandard_activity;missing_numeric_and_categorical_result,10
source,herg,quarantined,combination:chembl_nonstandard_activity;missing_or_invalid_structure,4
source,herg,quarantined,combination:chembl_nonstandard_activity;missing_or_invalid_structure;unsupported_or_missing_relation,72
source,herg,quarantined,combination:chembl_nonstandard_activity;missing_or_unsupported_unit,301
source,herg,quarantined,combination:chembl_nonstandard_activity;unsupported_or_missing_relation,4565
source,herg,quarantined,combination:missing_numeric_and_categorical_result,1
source,herg,quarantined,combination:missing_or_invalid_structure,26
source,herg,quarantined,combination:missing_or_unsupported_unit,9
source,herg,quarantined,combination:unsupported_or_missing_relation,20
source,herg,quarantined,reason:chembl_data_validity_comment,4
source,herg,quarantined,reason:chembl_nonstandard_activity,4953
source,herg,quarantined,reason:chembl_potential_duplicate,2
source,herg,quarantined,reason:missing_numeric_and_categorical_result,11
source,herg,quarantined,reason:missing_or_invalid_structure,102
source,herg,quarantined,reason:missing_or_unsupported_unit,314
source,herg,quarantined,reason:unsupported_or_missing_relation,4657
source,herg,review,<all>,9394
source,herg,review,combination:approximate_relation,5
source,herg,review,combination:approximate_relation;chembl_nonstandard_activity,1
source,herg,review,combination:chembl_data_validity_comment,419
source,herg,review,combination:chembl_data_validity_comment;chembl_potential_duplicate,59
source,herg,review,combination:chembl_nonstandard_activity,6793
source,herg,review,combination:chembl_nonstandard_activity;chembl_potential_duplicate,4
source,herg,review,combination:chembl_potential_duplicate,2113
source,herg,review,reason:approximate_relation,6
source,herg,review,reason:chembl_data_validity_comment,478
source,herg,review,reason:chembl_nonstandard_activity,6798
source,herg,review,reason:chembl_potential_duplicate,2176
source,other,included,<all>,300711
source,other,quarantined,<all>,1058
source,other,quarantined,combination:chembl_data_validity_comment;chembl_potential_duplicate;missing_or_invalid_structure,1
source,other,quarantined,combination:chembl_data_validity_comment;chembl_potential_duplicate;unsupported_or_missing_relation,1
source,other,quarantined,combination:chembl_data_validity_comment;missing_or_invalid_structure,20
source,other,quarantined,combination:chembl_data_validity_comment;unsupported_or_missing_relation,21
source,other,quarantined,combination:chembl_nonstandard_activity;missing_numeric_and_categorical_result,2
source,other,quarantined,combination:chembl_nonstandard_activity;missing_or_unsupported_unit,231
source,other,quarantined,combination:chembl_nonstandard_activity;unsupported_or_missing_relation,76
source,other,quarantined,combination:chembl_potential_duplicate;missing_or_invalid_structure,5
source,other,quarantined,combination:chembl_potential_duplicate;unsupported_or_missing_relation,8
source,other,quarantined,combination:missing_or_invalid_structure,351
source,other,quarantined,combination:unsupported_or_missing_relation,342
source,other,quarantined,reason:chembl_data_validity_comment,43
source,other,quarantined,reason:chembl_nonstandard_activity,309
source,other,quarantined,reason:chembl_potential_duplicate,15
source,other,quarantined,reason:missing_numeric_and_categorical_result,2
source,other,quarantined,reason:missing_or_invalid_structure,377
source,other,quarantined,reason:missing_or_unsupported_unit,231
source,other,quarantined,reason:unsupported_or_missing_relation,448
source,other,review,<all>,24192
source,other,review,combination:approximate_relation,89
source,other,review,combination:approximate_relation;chembl_data_validity_comment,11
source,other,review,combination:chembl_data_validity_comment,15339
source,other,review,combination:chembl_data_validity_comment;chembl_nonstandard_activity,22
source,other,review,combination:chembl_data_validity_comment;chembl_potential_duplicate,575
source,other,review,combination:chembl_nonstandard_activity,945
source,other,review,combination:chembl_potential_duplicate,7211
source,other,review,reason:approximate_relation,100
source,other,review,reason:chembl_data_validity_comment,15947
source,other,review,reason:chembl_nonstandard_activity,967
source,other,review,reason:chembl_potential_duplicate,7786
source,pk_adme,included,<all>,116068
source,pk_adme,quarantined,<all>,717463
source,pk_adme,quarantined,combination:approximate_relation;chembl_data_validity_comment;pk_required_context_missing,6
source,pk_adme,quarantined,combination:approximate_relation;chembl_nonstandard_activity;missing_or_unsupported_unit;pk_endpoint_unit_not_allowlisted,5
source,pk_adme,quarantined,combination:approximate_relation;chembl_nonstandard_activity;missing_or_unsupported_unit;pk_endpoint_unit_not_allowlisted;pk_required_context_missing,5
source,pk_adme,quarantined,combination:approximate_relation;chembl_nonstandard_activity;pk_endpoint_unit_not_allowlisted,11
source,pk_adme,quarantined,combination:approximate_relation;chembl_nonstandard_activity;pk_endpoint_unit_not_allowlisted;pk_required_context_missing,40
source,pk_adme,quarantined,combination:approximate_relation;missing_or_unsupported_unit;pk_endpoint_unit_not_allowlisted,1
source,pk_adme,quarantined,combination:approximate_relation;missing_or_unsupported_unit;pk_required_context_missing,1
source,pk_adme,quarantined,combination:approximate_relation;pk_endpoint_unit_not_allowlisted,17
source,pk_adme,quarantined,combination:approximate_relation;pk_required_context_missing,144
source,pk_adme,quarantined,combination:chembl_data_validity_comment;chembl_nonstandard_activity;missing_or_invalid_structure;unsupported_or_missing_relation,2
source,pk_adme,quarantined,combination:chembl_data_validity_comment;chembl_nonstandard_activity;pk_endpoint_unit_not_allowlisted,1
source,pk_adme,quarantined,combination:chembl_data_validity_comment;chembl_nonstandard_activity;pk_endpoint_unit_not_allowlisted;pk_required_context_missing,1
source,pk_adme,quarantined,combination:chembl_data_validity_comment;chembl_nonstandard_activity;unsupported_or_missing_relation,133
source,pk_adme,quarantined,combination:chembl_data_validity_comment;chembl_potential_duplicate;pk_endpoint_unit_not_allowlisted,33
source,pk_adme,quarantined,combination:chembl_data_validity_comment;chembl_potential_duplicate;pk_endpoint_unit_not_allowlisted;pk_required_context_missing,73
source,pk_adme,quarantined,combination:chembl_data_validity_comment;chembl_potential_duplicate;pk_required_context_missing,1
source,pk_adme,quarantined,combination:chembl_data_validity_comment;missing_or_invalid_structure,2
source,pk_adme,quarantined,combination:chembl_data_validity_comment;missing_or_invalid_structure;pk_endpoint_unit_not_allowlisted;pk_required_context_missing,4
source,pk_adme,quarantined,combination:chembl_data_validity_comment;missing_or_invalid_structure;pk_required_context_missing,7
source,pk_adme,quarantined,combination:chembl_data_validity_comment;missing_or_unsupported_unit;pk_endpoint_unit_not_allowlisted,19
source,pk_adme,quarantined,combination:chembl_data_validity_comment;nonpositive_concentration,41
source,pk_adme,quarantined,combination:chembl_data_validity_comment;nonpositive_concentration;pk_endpoint_unit_not_allowlisted,2
source,pk_adme,quarantined,combination:chembl_data_validity_comment;nonpositive_concentration;pk_endpoint_unit_not_allowlisted;pk_required_context_missing,1
source,pk_adme,quarantined,combination:chembl_data_validity_comment;nonpositive_concentration;pk_required_context_missing,204
source,pk_adme,quarantined,combination:chembl_data_validity_comment;pk_endpoint_unit_not_allowlisted,2259
source,pk_adme,quarantined,combination:chembl_data_validity_comment;pk_endpoint_unit_not_allowlisted;pk_required_context_missing,769
source,pk_adme,quarantined,combination:chembl_data_validity_comment;pk_endpoint_unit_not_allowlisted;pk_required_context_missing;unsupported_or_missing_relation,1
source,pk_adme,quarantined,combination:chembl_data_validity_comment;pk_endpoint_unit_not_allowlisted;unsupported_or_missing_relation,1
source,pk_adme,quarantined,combination:chembl_data_validity_comment;pk_required_context_missing,2940
source,pk_adme,quarantined,combination:chembl_data_validity_comment;pk_required_context_missing;unsupported_or_missing_relation,2
source,pk_adme,quarantined,combination:chembl_nonstandard_activity;chembl_potential_duplicate;pk_endpoint_unit_not_allowlisted,22
source,pk_adme,quarantined,combination:chembl_nonstandard_activity;chembl_potential_duplicate;pk_endpoint_unit_not_allowlisted;pk_required_context_missing,4
source,pk_adme,quarantined,combination:chembl_nonstandard_activity;missing_numeric_and_categorical_result,408
source,pk_adme,quarantined,combination:chembl_nonstandard_activity;missing_or_invalid_structure,25
source,pk_adme,quarantined,combination:chembl_nonstandard_activity;missing_or_invalid_structure;missing_or_unsupported_unit;pk_endpoint_unit_not_allowlisted,48
source,pk_adme,quarantined,combination:chembl_nonstandard_activity;missing_or_invalid_structure;missing_or_unsupported_unit;pk_endpoint_unit_not_allowlisted;pk_required_context_missing,27
source,pk_adme,quarantined,combination:chembl_nonstandard_activity;missing_or_invalid_structure;pk_endpoint_unit_not_allowlisted,60132
source,pk_adme,quarantined,combination:chembl_nonstandard_activity;missing_or_invalid_structure;pk_endpoint_unit_not_allowlisted;pk_required_context_missing,128
source,pk_adme,quarantined,combination:chembl_nonstandard_activity;missing_or_invalid_structure;pk_required_context_missing,3
