dataset,task_scope,evidence_domain,endpoint,unit,relation,assay_family,observation_kind,measure_role,rows,minimum,p01,q1,median,q3,p99,maximum,mean,population_sd,iqr,quantile_method
kd_free_energy_sensitivity,derived_sensitivity,binding_affinity,standard_binding_free_energy,kcal/mol,=,binding,derived,exact_value,67848,-45.397876034946158,-14.770448293996633,-10.673744130085755,-9.0825799717327982,-7.760172804458227,-5.4706981343329693,-2.7284940260684767,-9.3048129727904296,2.1612369336531367,2.9135713256275277,exact_linear_order_statistics_disk_backed
observations,,binding,Activity,%,=,binding,experimental_summary,exact_value,2,81,81.25,87.25,93.5,99.75,105.75,106,93.5,12.5,12.5,exact_linear_order_statistics_disk_backed
observations,,binding,EC50,nM,<,binding,experimental_summary,upper_censor_bound,5532,0.001,1,10,100,500,30000,501187.22999999998,2024.4683796095444,13609.584208071492,490,exact_linear_order_statistics_disk_backed
observations,,binding,EC50,nM,<=,binding,experimental_summary,upper_censor_bound,50,5,5,100,10000,10000,800000,800000,44959.940000000002,155808.35612359305,9900,exact_linear_order_statistics_disk_backed
observations,,binding,EC50,nM,=,binding,experimental_summary,exact_value,104562,9.9999999999999995e-07,0.056000000000000001,17.600000000000001,180,1480,140000,100000000000000,2495037843.7177911,388691531751.14532,1462.4000000000001,exact_linear_order_statistics_disk_backed
observations,,binding,EC50,nM,=,pk_adme,experimental_summary,exact_value,4,25,26.109999999999999,52.75,62,71.5,98.859999999999985,100,62.25,26.517682779609533,18.75,exact_linear_order_statistics_disk_backed
observations,,binding,EC50,nM,>,binding,experimental_summary,lower_censor_bound,19676,9.9999999999999995e-07,100,8000,10000,100000,1000000,10000000,81930.577775869344,398000.66943497688,92000,exact_linear_order_statistics_disk_backed
observations,,binding,EC50,nM,>=,binding,experimental_summary,lower_censor_bound,130,100,100,100,100,1377.5,250000,1000000,16956.883076923077,94889.665930985444,1277.5,exact_linear_order_statistics_disk_backed
observations,,binding,EC50,nM,interval,binding,experimental_summary,lower_censor_bound,79,0.0017700000000000001,0.0017700000000000001,1.55,8.5999999999999996,39.700000000000003,600,600,51.024747848101271,119.21809303358026,38.150000000000006,exact_linear_order_statistics_disk_backed
observations,,binding,EC50,nM,interval,binding,experimental_summary,upper_censor_bound,79,0.0051500000000000001,0.0051500000000000001,4,28,91.140000000000001,1065.9999999999995,1300,184.23509620253165,320.39784318416974,87.140000000000001,exact_linear_order_statistics_disk_backed
observations,,binding,IC50,nM,<,binding,experimental_summary,upper_censor_bound,125799,5.0000000000000002e-05,0.29999999999999999,20,100,200,15848.93,1000000000000,50084135.358497299,6923229023.9712677,180,exact_linear_order_statistics_disk_backed
observations,,binding,IC50,nM,<=,binding,experimental_summary,upper_censor_bound,6212,0.0050000000000000001,1,100,1000,10000,10000,1250000,4764.9020793625241,16545.911430498378,9900,exact_linear_order_statistics_disk_backed
observations,,binding,IC50,nM,=,binding,experimental_summary,exact_value,1303108,2.5999999999999998e-10,0.20000000000000001,18,159,1800,302000,1.6218100973589332e+18,3268738766068.6582,2037286689684536,1782,exact_linear_order_statistics_disk_backed
observations,,binding,IC50,nM,=,pk_adme,experimental_summary,exact_value,2,63460,70331.399999999994,235245,407030,578815,743728.59999999998,750600,407030,343570,343570,exact_linear_order_statistics_disk_backed
observations,,binding,IC50,nM,>,binding,experimental_summary,lower_censor_bound,204092,9.9999999999999995e-07,100,10000,10000,70000,1000000,20000000000,2648958.0458292477,191690004.55067873,60000,exact_linear_order_statistics_disk_backed
observations,,binding,IC50,nM,>=,binding,experimental_summary,lower_censor_bound,2656,10,100,1000,8245,10000,500000,5000000,34908.599728915658,177335.24022723848,9000,exact_linear_order_statistics_disk_backed
observations,,binding,IC50,nM,interval,binding,experimental_summary,lower_censor_bound,6045,5.0000000000000004e-06,0.20000000000000001,32.5,56,500,10000,50000,911.85948491563283,2462.2160668274996,467.5,exact_linear_order_statistics_disk_backed
observations,,binding,IC50,nM,interval,binding,experimental_summary,upper_censor_bound,6045,0.049000000000000002,1.3100000000000001,100,1000,5000,50000,100000,5133.7060347394545,11493.03206960414,4900,exact_linear_order_statistics_disk_backed
observations,,binding,Inhibition,%,<,binding,experimental_summary,upper_censor_bound,2,80,80,80,80,80,80,80,80,0,0,exact_linear_order_statistics_disk_backed
observations,,binding,Inhibition,%,=,binding,experimental_summary,exact_value,3,60,60,60,60,75,89.400000000000006,90,70,14.142135623730951,15,exact_linear_order_statistics_disk_backed
observations,,binding,Kd,nM,<,binding,experimental_summary,upper_censor_bound,5499,5.0000000000000002e-05,0.10000000000000001,0.20000000000000001,0.20000000000000001,30,100000,100000,1561.2002930987453,11931.257669477789,29.800000000000001,exact_linear_order_statistics_disk_backed
observations,,binding,Kd,nM,<,other_bioactivity,experimental_summary,upper_censor_bound,26,0.01,0.01,0.01,0.10000000000000001,1000,10000,10000,1882.9146776923078,3408.3324274562915,999.99000000000001,exact_linear_order_statistics_disk_backed
