dataset,dimension,value,rows
observations,assay_family,binding,2570313
observations,assay_family,cardiac_electrophysiology_qt_apd,1039
observations,assay_family,herg_binding,32388
observations,assay_family,herg_functional,3590
observations,assay_family,herg_other,4882
observations,assay_family,other_bioactivity,785299
observations,assay_family,pk_adme,540861
observations,development_stage,unknown,3938372
observations,endpoint,%,1
observations,endpoint,% Ctrl,29
observations,endpoint,% bound,10
observations,endpoint,% of control,2
observations,endpoint,% of inhibition,2
observations,endpoint,% of inhibition or stimulation,1
observations,endpoint,% remaining,19
observations,endpoint,% turnover,24
observations,endpoint,%R,2
observations,endpoint,%max,2
observations,endpoint,-log(RatioIC50),4
observations,endpoint,A,1
observations,endpoint,AC50,1829
observations,endpoint,APD,93
observations,endpoint,APD30,3
observations,endpoint,APD50,31
observations,endpoint,APD60,42
observations,endpoint,APD70,9
observations,endpoint,APD75,69
observations,endpoint,APD90,23
observations,endpoint,APD95,299
observations,endpoint,APDc,98
observations,endpoint,AUC,44928
observations,endpoint,AUC c,4
observations,endpoint,AUC p,4
observations,endpoint,AUClast,255
observations,endpoint,AUCt,2
observations,endpoint,Absoption,2
observations,endpoint,Absorption,32
observations,endpoint,Activity,11503
observations,endpoint,Activity_index,9
observations,endpoint,Alpha Ki,14
observations,endpoint,Amount,6
observations,endpoint,Amount of metabolite,10
observations,endpoint,Augmentation,4
observations,endpoint,B-A/A-B,5
observations,endpoint,BA,79
observations,endpoint,BAV,6
observations,endpoint,BBB,5
observations,endpoint,BBR,3
observations,endpoint,BPR,5
observations,endpoint,Ba,7
observations,endpoint,Binding,119
observations,endpoint,Bioavailability Increase,2
observations,endpoint,Bmax,1
observations,endpoint,Bound,106
observations,endpoint,Brain level,8
observations,endpoint,C,4
observations,endpoint,C ss,3
observations,endpoint,C(24h),1
observations,endpoint,C10APD90,5
observations,endpoint,C20,54
observations,endpoint,C20 APD95,38
observations,endpoint,C8h,20
observations,endpoint,CC50,249
observations,endpoint,CE logK',18
observations,endpoint,CI,3
observations,endpoint,CL,86821
observations,endpoint,CL free,173
observations,endpoint,CL(app),11
observations,endpoint,CL-renal,2
observations,endpoint,CL/F,113
observations,endpoint,CLH,14404
observations,endpoint,CLH(app),180
observations,endpoint,CL_renal,917
observations,endpoint,CLb,7
observations,endpoint,CLd/F,3
observations,endpoint,CLint,53
observations,endpoint,CLt/F,2
observations,endpoint,CRC/CRC0,128
observations,endpoint,Caco-2 A-B,3
observations,endpoint,Caco-2 Papp,34
observations,endpoint,Calculated Ratio,8
observations,endpoint,Carboxylase activity,4
observations,endpoint,Cavg,10
observations,endpoint,Cell Viability,189
observations,endpoint,Cell permeation,2
observations,endpoint,Change,3
observations,endpoint,Clearance,19
observations,endpoint,Clerance,1
observations,endpoint,Cmax,29691
observations,endpoint,Cmax_triphosphate,1
observations,endpoint,Cmin,2
observations,endpoint,Cmin ss,5
observations,endpoint,Cmin(80hr),1
observations,endpoint,Cmin(84hr),4
observations,endpoint,Compound Recovery,2
observations,endpoint,Compound recovery,91
observations,endpoint,Compound remaining,15
observations,endpoint,Concentration,53
observations,endpoint,Control,43
observations,endpoint,Covalent binding,5
observations,endpoint,Cp,8
observations,endpoint,Cp(f),4
observations,endpoint,Creatinine_CL,4
observations,endpoint,Css,3
observations,endpoint,Css min,2
observations,endpoint,Css-12w,2
observations,endpoint,Css-48h,2
observations,endpoint,Css-4w,2
observations,endpoint,Ct,12
observations,endpoint,D,3
observations,endpoint,D10,142
observations,endpoint,DNA on filter,4
observations,endpoint,DOSE,22
observations,endpoint,Decrease,10
observations,endpoint,Degradation,4
observations,endpoint,Delta APD90,54
observations,endpoint,Delta APD95,19
observations,endpoint,Deuterium retention,30
observations,endpoint,Distribution,6
observations,endpoint,Drug absorption,17
observations,endpoint,Drug degradation,230
observations,endpoint,Drug excretion,71
observations,endpoint,Drug metabolism,13442
observations,endpoint,Drug recovery,756
observations,endpoint,Drug transport,62
observations,endpoint,Drug uptake,607
observations,endpoint,E2:E1,3
observations,endpoint,EC10,5
observations,endpoint,EC25,1
observations,endpoint,EC50,259074
observations,endpoint,EC90,195
observations,endpoint,ED15,1
observations,endpoint,ED50,404
observations,endpoint,ED70,4
observations,endpoint,ERH,2134
observations,endpoint,Efficacy,17
observations,endpoint,Efflux ratio,30
observations,endpoint,Efflux ratio plus inhibitor,30
observations,endpoint,Emax,82
observations,endpoint,Enantiomeric composition,8
observations,endpoint,Enhancement,12
observations,endpoint,Excretion,41
observations,endpoint,Extraction ratio,2
observations,endpoint,F,32527
observations,endpoint,F/dose,9
observations,endpoint,FC,1134
observations,endpoint,F_fraction,308
observations,endpoint,Fa,22
observations,endpoint,Fabs,9
observations,endpoint,Fapp,22
observations,endpoint,Fez,1
observations,endpoint,Fg,10
observations,endpoint,Fh,9
observations,endpoint,Flu intensity,11
observations,endpoint,Fluorescence,6
observations,endpoint,Fm,51
observations,endpoint,Fmax,198
observations,endpoint,Fmean,1
observations,endpoint,Fold change,1
observations,endpoint,Formation,34
observations,endpoint,Formation of NO2-,36
observations,endpoint,Formation of NO3-,4
observations,endpoint,Formation of compound,4
observations,endpoint,Fos,2
observations,endpoint,Free,107
observations,endpoint,Fu,14522
observations,endpoint,GI,1
observations,endpoint,GI tolerance,1
observations,endpoint,GI50,41
observations,endpoint,GT rate,38
observations,endpoint,Glucuronidation,9
observations,endpoint,Glucuronidation rate,10
observations,endpoint,HEPG2TOX ASSAY - CC50,19978
observations,endpoint,HEPG2TOX ASSAY - CC90,19978
observations,endpoint,HMGR activity,10
observations,endpoint,Hepatic Extraction ratio,45
observations,endpoint,Hepatocyte stability,6
observations,endpoint,Hill coefficient,4
observations,endpoint,IC,32
observations,endpoint,IC20,164
observations,endpoint,IC25,33
observations,endpoint,IC5,1
observations,endpoint,IC50,1918531
observations,endpoint,IC60,1
observations,endpoint,IC80,1
observations,endpoint,IC90,30
observations,endpoint,ID50,39
observations,endpoint,INH,405
observations,endpoint,IP,113
observations,endpoint,IZ,2
observations,endpoint,Imax,29
observations,endpoint,Inflection point,16
observations,endpoint,Inhibition,21646
observations,endpoint,Inhibition of control,1
observations,endpoint,Inhibitory activity,5
observations,endpoint,Intact,3
observations,endpoint,Iron mobilization,10
observations,endpoint,Jss,10
observations,endpoint,K,210
observations,endpoint,"K(p,uu,brain)",20
observations,endpoint,KA,70
observations,endpoint,Ka,41
observations,endpoint,Kcat/Km,2
observations,endpoint,Kd,187386
observations,endpoint,Kdiss,1
observations,endpoint,Ke,25
observations,endpoint,Kel,54
observations,endpoint,Ki,672783
observations,endpoint,Kin,23
observations,endpoint,Kin x,2
observations,endpoint,Kin x10e3,32
observations,endpoint,KinX,1
observations,endpoint,Kinact,76
observations,endpoint,Kis,1
observations,endpoint,Km,430
observations,endpoint,Km x10e3,10
observations,endpoint,Km(unbound),4
observations,endpoint,KmH,10
observations,endpoint,KmL,10
observations,endpoint,Kp,433
observations,endpoint,Ks,36
observations,endpoint,LBF,88
observations,endpoint,LC20,21
observations,endpoint,LC50,27
observations,endpoint,LM,46
observations,endpoint,LOAEL,2
observations,endpoint,LUCIFERASE EXPRESSION CONTROL - IC50,19978
observations,endpoint,LUCIFERASE EXPRESSION CONTROL - IC90,19978
observations,endpoint,LUCIFERASE INFECTION ASSAY - IC50,19978
observations,endpoint,LUCIFERASE INFECTION ASSAY - IC90,19978
observations,endpoint,LambdaZ,6
observations,endpoint,Log 1/Km,58
observations,endpoint,Log BB,2
observations,endpoint,Log ESA,51
observations,endpoint,Log IC50,6
observations,endpoint,Log Pe,69
observations,endpoint,"Log Pe,max",17
observations,endpoint,Log Po,17
observations,endpoint,Log k,11
observations,endpoint,LogD,31880
observations,endpoint,LogP,20671
observations,endpoint,LogP app,214
observations,endpoint,Logit bioavailability,12
observations,endpoint,MAPD90,20
observations,endpoint,MED,10
observations,endpoint,MET,26
observations,endpoint,MF,35
observations,endpoint,MIC,610
observations,endpoint,Max delta APD95,30
observations,endpoint,Max response,4
observations,endpoint,Mean,4
observations,endpoint,Mean response,8
observations,endpoint,Mem Rec,2
observations,endpoint,Metabolic rate,2
observations,endpoint,Metabolic stability,115
observations,endpoint,Metabolic turnover,18
observations,endpoint,Metabolism,230
observations,endpoint,Metabolite levels,30
observations,endpoint,Microsomal stability,8
observations,endpoint,NA,2
observations,endpoint,NADPH oxidation,4
observations,endpoint,ND,2
observations,endpoint,NOAEL,19
observations,endpoint,NOEC,27
observations,endpoint,NOL,2
observations,endpoint,NT,16
observations,endpoint,Net grain counts,14
observations,endpoint,O2 consumption,10
observations,endpoint,OD,20
observations,endpoint,OSAV,12
observations,endpoint,Observed at,12
observations,endpoint,Oral activity,1
observations,endpoint,Oxidation,1
observations,endpoint,P,78
observations,endpoint,PB,78
observations,endpoint,PCaco-2,1
observations,endpoint,PDR,9
observations,endpoint,PPB,14720
observations,endpoint,Papp,20796
observations,endpoint,Papp A to B (mean),274
observations,endpoint,Papp A to B plus inhibitor (mean),30
observations,endpoint,Papp B to A (mean),94
observations,endpoint,Papp B to A plus inhibitor (mean),30
observations,endpoint,Papp e-6,8
observations,endpoint,Papps,7
observations,endpoint,Pc,110
observations,endpoint,Pcaco2,14
observations,endpoint,Pe,11
observations,endpoint,Peff,2463
observations,endpoint,Percent remaining,4
observations,endpoint,Permeability,577
observations,endpoint,Permeability coefficient,31
observations,endpoint,Permeability index,2
observations,endpoint,Permeability limited,1
observations,endpoint,Permeability rate,4
observations,endpoint,Phospholipidosis_index,4
observations,endpoint,Plasma level,76
observations,endpoint,Pm,103
observations,endpoint,Potency,16882
observations,endpoint,Prolonged QT,1
observations,endpoint,Propioaldehyde generated,9
observations,endpoint,Protein bound,1
observations,endpoint,Pt,9
