dimension,value,rows,semantic_role
black_box_warning,0,1303385,metadata_only_not_outcome_or_model_label
black_box_warning,1,626,metadata_only_not_outcome_or_model_label
first_approval,1934.0,1,metadata_only_not_outcome_or_model_label
first_approval,1939.0,5,metadata_only_not_outcome_or_model_label
first_approval,1940.0,3,metadata_only_not_outcome_or_model_label
first_approval,1941.0,2,metadata_only_not_outcome_or_model_label
first_approval,1942.0,2,metadata_only_not_outcome_or_model_label
first_approval,1943.0,4,metadata_only_not_outcome_or_model_label
first_approval,1944.0,1,metadata_only_not_outcome_or_model_label
first_approval,1945.0,5,metadata_only_not_outcome_or_model_label
first_approval,1946.0,10,metadata_only_not_outcome_or_model_label
first_approval,1947.0,5,metadata_only_not_outcome_or_model_label
first_approval,1948.0,9,metadata_only_not_outcome_or_model_label
first_approval,1949.0,7,metadata_only_not_outcome_or_model_label
first_approval,1950.0,21,metadata_only_not_outcome_or_model_label
first_approval,1951.0,11,metadata_only_not_outcome_or_model_label
first_approval,1952.0,14,metadata_only_not_outcome_or_model_label
first_approval,1953.0,19,metadata_only_not_outcome_or_model_label
first_approval,1954.0,13,metadata_only_not_outcome_or_model_label
first_approval,1955.0,18,metadata_only_not_outcome_or_model_label
first_approval,1956.0,17,metadata_only_not_outcome_or_model_label
first_approval,1957.0,26,metadata_only_not_outcome_or_model_label
first_approval,1958.0,10,metadata_only_not_outcome_or_model_label
first_approval,1959.0,28,metadata_only_not_outcome_or_model_label
first_approval,1960.0,25,metadata_only_not_outcome_or_model_label
first_approval,1961.0,19,metadata_only_not_outcome_or_model_label
first_approval,1962.0,16,metadata_only_not_outcome_or_model_label
first_approval,1963.0,12,metadata_only_not_outcome_or_model_label
first_approval,1964.0,24,metadata_only_not_outcome_or_model_label
first_approval,1965.0,17,metadata_only_not_outcome_or_model_label
first_approval,1966.0,7,metadata_only_not_outcome_or_model_label
first_approval,1967.0,25,metadata_only_not_outcome_or_model_label
first_approval,1968.0,12,metadata_only_not_outcome_or_model_label
first_approval,1969.0,14,metadata_only_not_outcome_or_model_label
first_approval,1970.0,17,metadata_only_not_outcome_or_model_label
first_approval,1971.0,17,metadata_only_not_outcome_or_model_label
first_approval,1972.0,14,metadata_only_not_outcome_or_model_label
first_approval,1973.0,22,metadata_only_not_outcome_or_model_label
first_approval,1974.0,33,metadata_only_not_outcome_or_model_label
first_approval,1975.0,15,metadata_only_not_outcome_or_model_label
first_approval,1976.0,27,metadata_only_not_outcome_or_model_label
first_approval,1977.0,21,metadata_only_not_outcome_or_model_label
first_approval,1978.0,23,metadata_only_not_outcome_or_model_label
first_approval,1979.0,24,metadata_only_not_outcome_or_model_label
first_approval,1980.0,16,metadata_only_not_outcome_or_model_label
first_approval,1981.0,32,metadata_only_not_outcome_or_model_label
first_approval,1982.0,166,metadata_only_not_outcome_or_model_label
first_approval,1983.0,21,metadata_only_not_outcome_or_model_label
first_approval,1984.0,37,metadata_only_not_outcome_or_model_label
first_approval,1985.0,49,metadata_only_not_outcome_or_model_label
first_approval,1986.0,33,metadata_only_not_outcome_or_model_label
first_approval,1987.0,29,metadata_only_not_outcome_or_model_label
first_approval,1988.0,25,metadata_only_not_outcome_or_model_label
first_approval,1989.0,28,metadata_only_not_outcome_or_model_label
first_approval,1990.0,28,metadata_only_not_outcome_or_model_label
first_approval,1991.0,33,metadata_only_not_outcome_or_model_label
first_approval,1992.0,33,metadata_only_not_outcome_or_model_label
first_approval,1993.0,29,metadata_only_not_outcome_or_model_label
first_approval,1994.0,30,metadata_only_not_outcome_or_model_label
first_approval,1995.0,37,metadata_only_not_outcome_or_model_label
first_approval,1996.0,61,metadata_only_not_outcome_or_model_label
first_approval,1997.0,45,metadata_only_not_outcome_or_model_label
first_approval,1998.0,34,metadata_only_not_outcome_or_model_label
first_approval,1999.0,46,metadata_only_not_outcome_or_model_label
first_approval,2000.0,29,metadata_only_not_outcome_or_model_label
first_approval,2001.0,38,metadata_only_not_outcome_or_model_label
first_approval,2002.0,29,metadata_only_not_outcome_or_model_label
first_approval,2003.0,23,metadata_only_not_outcome_or_model_label
first_approval,2004.0,33,metadata_only_not_outcome_or_model_label
first_approval,2005.0,23,metadata_only_not_outcome_or_model_label
first_approval,2006.0,23,metadata_only_not_outcome_or_model_label
first_approval,2007.0,28,metadata_only_not_outcome_or_model_label
first_approval,2008.0,23,metadata_only_not_outcome_or_model_label
first_approval,2009.0,40,metadata_only_not_outcome_or_model_label
first_approval,2010.0,22,metadata_only_not_outcome_or_model_label
first_approval,2011.0,26,metadata_only_not_outcome_or_model_label
first_approval,2012.0,32,metadata_only_not_outcome_or_model_label
first_approval,2013.0,28,metadata_only_not_outcome_or_model_label
first_approval,2014.0,37,metadata_only_not_outcome_or_model_label
first_approval,2015.0,37,metadata_only_not_outcome_or_model_label
first_approval,2016.0,22,metadata_only_not_outcome_or_model_label
first_approval,2017.0,42,metadata_only_not_outcome_or_model_label
first_approval,2018.0,34,metadata_only_not_outcome_or_model_label
first_approval,2019.0,33,metadata_only_not_outcome_or_model_label
first_approval,2020.0,34,metadata_only_not_outcome_or_model_label
first_approval,2021.0,32,metadata_only_not_outcome_or_model_label
first_approval,2022.0,23,metadata_only_not_outcome_or_model_label
first_approval,2023.0,28,metadata_only_not_outcome_or_model_label
first_approval,2024.0,23,metadata_only_not_outcome_or_model_label
first_approval,<missing>,1301842,metadata_only_not_outcome_or_model_label
max_phase,-1.0,361,metadata_only_not_outcome_or_model_label
max_phase,0.5,13,metadata_only_not_outcome_or_model_label
