population,category,rows,threshold_low_nM,threshold_high_nM,class_policy
canonical_observations,all_hERG_IC50_observations,19031,10000,30000,"exact included experimental hERG functional IC50 in nM only; censored, intermediate, absent, incompatible, and excluded rows are not classes"
canonical_observations,classifier_candidate__blocker_le_10uM,95,10000,30000,"exact included experimental hERG functional IC50 in nM only; censored, intermediate, absent, incompatible, and excluded rows are not classes"
canonical_observations,classifier_candidate__nonblocker_ge_30uM,25,10000,30000,"exact included experimental hERG functional IC50 in nM only; censored, intermediate, absent, incompatible, and excluded rows are not classes"
canonical_observations,not_class__censored_or_interval,8,10000,30000,"exact included experimental hERG functional IC50 in nM only; censored, intermediate, absent, incompatible, and excluded rows are not classes"
canonical_observations,not_class__exact_intermediate_10_to_30uM,17,10000,30000,"exact included experimental hERG functional IC50 in nM only; censored, intermediate, absent, incompatible, and excluded rows are not classes"
canonical_observations,not_class__incompatible_or_missing_unit,4,10000,30000,"exact included experimental hERG functional IC50 in nM only; censored, intermediate, absent, incompatible, and excluded rows are not classes"
canonical_observations,not_class__nonfunctional_or_unresolved_assay,18794,10000,30000,"exact included experimental hERG functional IC50 in nM only; censored, intermediate, absent, incompatible, and excluded rows are not classes"
canonical_observations,not_class__not_included_experimental_evidence,88,10000,30000,"exact included experimental hERG functional IC50 in nM only; censored, intermediate, absent, incompatible, and excluded rows are not classes"
emitted_model_ready_binary_task,emitted_class__blocker,95,10000,30000,post-model-input-readiness subset of exact candidate classes
emitted_model_ready_binary_task,emitted_class__nonblocker,25,10000,30000,post-model-input-readiness subset of exact candidate classes
