dataset,task_id,evidence_domain,endpoint,unit,relation,assay_family,source_id,evidence_stage,development_stage,observation_kind,label_kind,inclusion_status,rows
observations,<not_applicable>,binding,Activity,%,=,binding,SRC-AF728821208AC735AEE2E0D1,preclinical_in_vitro,unknown,experimental_summary,<not_applicable>,review,2
observations,<not_applicable>,binding,EC50,nM,<,binding,SRC-AF728821208AC735AEE2E0D1,<missing>,unknown,experimental_summary,<not_applicable>,included,3790
observations,<not_applicable>,binding,EC50,nM,<,binding,SRC-AF728821208AC735AEE2E0D1,<missing>,unknown,experimental_summary,<not_applicable>,quarantined,8
observations,<not_applicable>,binding,EC50,nM,<,binding,SRC-AF728821208AC735AEE2E0D1,<missing>,unknown,experimental_summary,<not_applicable>,review,695
observations,<not_applicable>,binding,EC50,nM,<,binding,SRC-AF728821208AC735AEE2E0D1,preclinical_in_vitro,unknown,experimental_summary,<not_applicable>,included,1004
observations,<not_applicable>,binding,EC50,nM,<,binding,SRC-AF728821208AC735AEE2E0D1,preclinical_in_vitro,unknown,experimental_summary,<not_applicable>,review,35
observations,<not_applicable>,binding,EC50,nM,<=,binding,SRC-AF728821208AC735AEE2E0D1,<missing>,unknown,experimental_summary,<not_applicable>,included,36
observations,<not_applicable>,binding,EC50,nM,<=,binding,SRC-AF728821208AC735AEE2E0D1,preclinical_in_vitro,unknown,experimental_summary,<not_applicable>,included,12
observations,<not_applicable>,binding,EC50,nM,<=,binding,SRC-AF728821208AC735AEE2E0D1,preclinical_in_vitro,unknown,experimental_summary,<not_applicable>,review,2
observations,<not_applicable>,binding,EC50,nM,=,binding,SRC-AF728821208AC735AEE2E0D1,<missing>,unknown,experimental_summary,<not_applicable>,included,74733
observations,<not_applicable>,binding,EC50,nM,=,binding,SRC-AF728821208AC735AEE2E0D1,<missing>,unknown,experimental_summary,<not_applicable>,quarantined,53
observations,<not_applicable>,binding,EC50,nM,=,binding,SRC-AF728821208AC735AEE2E0D1,<missing>,unknown,experimental_summary,<not_applicable>,review,9429
observations,<not_applicable>,binding,EC50,nM,=,binding,SRC-AF728821208AC735AEE2E0D1,preclinical_in_vitro,unknown,experimental_summary,<not_applicable>,included,14986
observations,<not_applicable>,binding,EC50,nM,=,binding,SRC-AF728821208AC735AEE2E0D1,preclinical_in_vitro,unknown,experimental_summary,<not_applicable>,quarantined,41
observations,<not_applicable>,binding,EC50,nM,=,binding,SRC-AF728821208AC735AEE2E0D1,preclinical_in_vitro,unknown,experimental_summary,<not_applicable>,review,5314
observations,<not_applicable>,binding,EC50,nM,=,binding,SRC-AF728821208AC735AEE2E0D1,preclinical_in_vivo,unknown,experimental_summary,<not_applicable>,included,6
observations,<not_applicable>,binding,EC50,nM,=,pk_adme,SRC-AF728821208AC735AEE2E0D1,<missing>,unknown,experimental_summary,<not_applicable>,included,4
observations,<not_applicable>,binding,EC50,nM,>,binding,SRC-AF728821208AC735AEE2E0D1,<missing>,unknown,experimental_summary,<not_applicable>,included,12284
observations,<not_applicable>,binding,EC50,nM,>,binding,SRC-AF728821208AC735AEE2E0D1,<missing>,unknown,experimental_summary,<not_applicable>,quarantined,4
