dataset,field,rows,missing_rows,present_rows,missing_fraction
assays,assay_category,430776,423522,7254,0.98316062176165808
assays,assay_family,430776,0,430776,0
assays,assay_format,430776,0,430776,0
assays,assay_group,430776,430729,47,0.9998908945716567
assays,assay_id,430776,0,430776,0
assays,assay_tax_id,430776,63258,367518,0.14684662098167028
assays,assay_test_type,430776,380772,50004,0.88392110981113159
assays,assay_type,430776,0,430776,0
assays,bao_format_id,430776,0,430776,0
assays,cell_id,430776,383483,47293,0.89021440377365502
assays,cell_system,430776,364537,66239,0.8462333091908556
assays,confidence_score,430776,0,430776,0
assays,construct_id,430776,430776,0,1
assays,description,430776,0,430776,0
assays,matrix,430776,430776,0,1
assays,organism,430776,61552,369224,0.14288632607201887
assays,ph,430776,430776,0,1
assays,protein_id,430776,0,430776,0
assays,protocol_completeness,430776,0,430776,0
assays,protocol_missing_fields,430776,369224,61552,0.8571136739279811
assays,relationship_type,430776,0,430776,0
assays,route,430776,430776,0,1
assays,snapshot_id,430776,0,430776,0
assays,source_assay_external_id,430776,320204,110572,0.74331903355804407
assays,source_assay_id,430776,0,430776,0
assays,source_id,430776,0,430776,0
assays,strain,430776,358751,72025,0.8328017345441715
assays,subcellular_fraction,430776,398437,32339,0.92492850112355374
assays,temperature_c,430776,421680,9096,0.97888461752743883
assays,tissue,430776,357143,73633,0.82906893605957621
assays,tissue_id,430776,360263,70513,0.8363116793878953
assays,variant_id,430776,424222,6554,0.98478559622634498
development_metadata,annotation_role,1304011,0,1304011,0
development_metadata,black_box_warning,1304011,0,1304011,0
development_metadata,development_metadata_id,1304011,0,1304011,0
development_metadata,first_approval,1304011,1301842,2169,0.99833667047287178
development_metadata,max_phase,1304011,1297416,6595,0.9949425273253063
development_metadata,molecule_chembl_id,1304011,0,1304011,0
development_metadata,molecule_id,1304011,0,1304011,0
development_metadata,molecule_pref_name,1304011,1289688,14323,0.98901619694925891
development_metadata,molecule_row_id,1304011,0,1304011,0
development_metadata,molecule_type,1304011,386993,917018,0.29677126956751132
development_metadata,semantic_role,1304011,0,1304011,0
development_metadata,snapshot_id,1304011,0,1304011,0
development_metadata,source_id,1304011,0,1304011,0
development_metadata,therapeutic_flag,1304011,0,1304011,0
development_metadata,withdrawn_flag,1304011,0,1304011,0
kd_free_energy_sensitivity,access_class,67848,0,67848,0
kd_free_energy_sensitivity,assay_id,67848,0,67848,0
kd_free_energy_sensitivity,delta_g_kcal_mol,67848,0,67848,0
kd_free_energy_sensitivity,formula,67848,0,67848,0
kd_free_energy_sensitivity,gas_constant_kcal_mol_k,67848,0,67848,0
kd_free_energy_sensitivity,kd_molar,67848,0,67848,0
kd_free_energy_sensitivity,kd_nM,67848,0,67848,0
kd_free_energy_sensitivity,label_lineage_digest,67848,0,67848,0
kd_free_energy_sensitivity,molecule_id,67848,0,67848,0
kd_free_energy_sensitivity,observation_id,67848,0,67848,0
kd_free_energy_sensitivity,observation_kind,67848,0,67848,0
kd_free_energy_sensitivity,protein_id,67848,0,67848,0
kd_free_energy_sensitivity,roundtrip_kd_molar,67848,0,67848,0
kd_free_energy_sensitivity,roundtrip_relative_error,67848,0,67848,0
kd_free_energy_sensitivity,source_kd_unit,67848,0,67848,0
kd_free_energy_sensitivity,source_kd_value,67848,0,67848,0
kd_free_energy_sensitivity,source_observation_id,67848,0,67848,0
kd_free_energy_sensitivity,source_record_id,67848,0,67848,0
kd_free_energy_sensitivity,source_relation,67848,0,67848,0
kd_free_energy_sensitivity,source_snapshot_id,67848,0,67848,0
kd_free_energy_sensitivity,standard_state,67848,0,67848,0
kd_free_energy_sensitivity,temperature_k,67848,0,67848,0
kd_free_energy_sensitivity,temperature_source,67848,0,67848,0
molecules,canonical_smiles,1304011,12234,1291777,0.0093818226993483949
molecules,formal_charge,1304011,1304011,0,1
molecules,fragment_count,1304011,12234,1291777,0.0093818226993483949
molecules,full_structure_id,1304011,12234,1291777,0.0093818226993483949
molecules,identity_resolution_status,1304011,0,1304011,0
molecules,molecule_id,1304011,0,1304011,0
molecules,source_count,1304011,0,1304011,0
molecules,standard_inchi_key,1304011,12234,1291777,0.0093818226993483949
molecules,standardization_status,1304011,0,1304011,0
molecules,standardization_version,1304011,0,1304011,0
molecules,standardized_smiles,1304011,12234,1291777,0.0093818226993483949
molecules,structure_id,1304011,12234,1291777,0.0093818226993483949
molecules,submitted_smiles,1304011,12234,1291777,0.0093818226993483949
observations,access_class,3938372,0,3938372,0
observations,activity_origin_description,3938372,0,3938372,0
observations,activity_origin_id,3938372,0,3938372,0
observations,activity_origin_name,3938372,0,3938372,0
observations,assay_id,3938372,0,3938372,0
observations,canonical_unit,3938372,123417,3814955,0.031337060084725366
observations,canonical_value,3938372,178444,3759928,0.045309076948546252
observations,chembl_activity_id,3938372,0,3938372,0
observations,chembl_data_validity_comment,3938372,3841799,96573,0.97547895424810049
observations,chembl_potential_duplicate,3938372,0,3938372,0
observations,chembl_standard_flag,3938372,0,3938372,0
observations,conflict_group_id,3938372,3914553,23819,0.99395206953533088
observations,construct_id,3938372,3938372,0,1
observations,cross_source_mirror,3938372,0,3938372,0
observations,dedup_group_id,3938372,0,3938372,0
observations,development_stage,3938372,0,3938372,0
observations,document_chembl_release_id,3938372,0,3938372,0
observations,document_doi,3938372,1285289,2653083,0.32635032952702286
observations,document_id,3938372,0,3938372,0
observations,document_patent_id,3938372,2904284,1034088,0.73743262444482138
observations,document_pubmed_id,3938372,1394695,2543677,0.35412982826406442
observations,document_title,3938372,1133,3937239,0.00028768232152777846
observations,document_type,3938372,0,3938372,0
observations,document_year,3938372,277505,3660867,0.070461855812503235
observations,endpoint,3938372,0,3938372,0
observations,endpoint_family,3938372,0,3938372,0
observations,evidence_domain,3938372,0,3938372,0
observations,evidence_stage,3938372,3323508,614864,0.8438786381784148
observations,exclusion_reason,3938372,2758395,1179977,0.70038965338977632
observations,inclusion_status,3938372,0,3938372,0
observations,label_text,3938372,2582669,1355703,0.6557707093184697
