dataset,dimension,population_rows,unique_values,singleton_values,values_with_2_to_5_rows,values_with_6_to_10_rows,values_with_over_10_rows,top_1_share,top_10_share,top_100_share,hhi,effective_value_count_inverse_hhi,gini_count_concentration
development_metadata,molecule_id,1304011,1304011,1304011,0,0,0,7.6686469669350946e-07,7.6686469669350948e-06,7.6686469669350955e-05,7.6686469669350946e-07,1304011,0
observations,assay_id,3938372,430776,198183,121419,37632,73542,0.010145308772254119,0.037556381164603039,0.068314775749979947,0.00030987875220038789,3227.0686289369546,0.76393284004640627
observations,canonical_target_id,3938372,9163,946,2679,745,4793,0.065842434386594262,0.18513639646026328,0.44404667715492596,0.0077684308818716987,128.72612438807764,0.91012902148123853
observations,molecule_id,3938372,1304011,585227,582178,99484,37122,0.00096004135719022989,0.0065077651374730473,0.029682823257935004,1.6581895773080931e-05,60306.735350695017,0.5078687936427253
observations,protein_id,3938372,9169,946,2679,746,4798,0.065842434386594262,0.18513639646026328,0.44404667715492596,0.0077684046132922117,128.72655967081573,0.91014998826365967
observations,source_id,3938372,1,0,0,0,1,1,1,1,1,1,0
tasks/default,assay_id,2548198,209026,79511,54685,21711,53119,0.0012373449786868996,0.0082984132316248575,0.043074360783581185,6.6025503295980364e-05,15145.662661853274,0.74646346538504105
tasks/default,canonical_target_id,2548198,8409,1560,1998,598,4253,0.0097774976669787825,0.067816943581307257,0.3411391108540231,0.0018329825803062151,545.55892169632159,0.88738954312349549
tasks/default,molecule_id,2548198,1149938,628867,476330,33703,11038,0.00085040487434649898,0.0054285420520697372,0.02929481931937785,1.6614586608673424e-05,60188.075909030638,0.42803678223123853
tasks/default,protein_id,2548198,8415,1560,1998,599,4258,0.0097774976669787825,0.067816943581307257,0.3411391108540231,0.00183293276967832,545.57374746237974,0.88741988849639553
tasks/default,source_id,2548198,1,0,0,0,1,1,1,1,1,1,0
tasks/derived_sensitivity,assay_id,67839,14754,7499,4560,1167,1528,0.010377511460959036,0.057960760034788249,0.15595748758089004,0.00067851474286964185,1473.8073277091974,0.64923356029443879
tasks/derived_sensitivity,canonical_target_id,67839,3682,1263,1290,220,909,0.030248087383363553,0.14471026990374269,0.42917790651395216,0.0040968415328664076,244.09047603565404,0.81148553074414553
tasks/derived_sensitivity,molecule_id,67839,28912,20912,7003,508,489,0.026887188785212048,0.093810345081737648,0.26033697430681468,0.0018488033032651101,540.89042259602911,0.53057035286425114
tasks/derived_sensitivity,protein_id,67839,3683,1263,1290,221,909,0.030248087383363553,0.14471026990374269,0.42917790651395216,0.0040968080700996791,244.09246976895091,0.81148283567060009
tasks/derived_sensitivity,source_id,67839,1,0,0,0,1,1,1,1,1,1,0
