group_kind,summary_kind,group_size,group_count,rows,repeated_group_count,rows_in_repeated_groups,maximum_group_size
dedup,overall,all,3912359,3938372,22939,48952,16
dedup,size_histogram,1,3889420,3889420,,,
dedup,size_histogram,2,20725,41450,,,
dedup,size_histogram,3,1717,5151,,,
dedup,size_histogram,4,330,1320,,,
dedup,size_histogram,5,101,505,,,
dedup,size_histogram,6,34,204,,,
dedup,size_histogram,7,9,63,,,
dedup,size_histogram,8,4,32,,,
dedup,size_histogram,9,6,54,,,
dedup,size_histogram,11,4,44,,,
dedup,size_histogram,12,3,36,,,
dedup,size_histogram,14,1,14,,,
dedup,size_histogram,15,1,15,,,
dedup,size_histogram,16,4,64,,,
conflict,overall,all,9780,23819,9780,23819,70
conflict,size_histogram,2,7099,14198,,,
conflict,size_histogram,3,1869,5607,,,
conflict,size_histogram,4,544,2176,,,
conflict,size_histogram,5,134,670,,,
conflict,size_histogram,6,76,456,,,
conflict,size_histogram,7,20,140,,,
conflict,size_histogram,8,17,136,,,
conflict,size_histogram,9,3,27,,,
conflict,size_histogram,10,3,30,,,
conflict,size_histogram,11,2,22,,,
conflict,size_histogram,12,1,12,,,
conflict,size_histogram,13,2,26,,,
conflict,size_histogram,14,1,14,,,
conflict,size_histogram,15,1,15,,,
conflict,size_histogram,16,1,16,,,
conflict,size_histogram,19,1,19,,,
conflict,size_histogram,24,1,24,,,
conflict,size_histogram,31,2,62,,,
conflict,size_histogram,35,1,35,,,
conflict,size_histogram,64,1,64,,,
conflict,size_histogram,70,1,70,,,
global_tenfold_conflict,overall,all,9780,23669,9780,23669,69
global_tenfold_conflict,size_histogram,2,7147,14294,,,
global_tenfold_conflict,size_histogram,3,1865,5595,,,
global_tenfold_conflict,size_histogram,4,507,2028,,,
global_tenfold_conflict,size_histogram,5,139,695,,,
global_tenfold_conflict,size_histogram,6,75,450,,,
global_tenfold_conflict,size_histogram,7,17,119,,,
global_tenfold_conflict,size_histogram,8,10,80,,,
global_tenfold_conflict,size_histogram,9,3,27,,,
global_tenfold_conflict,size_histogram,10,3,30,,,
global_tenfold_conflict,size_histogram,11,2,22,,,
global_tenfold_conflict,size_histogram,12,2,24,,,
global_tenfold_conflict,size_histogram,14,1,14,,,
global_tenfold_conflict,size_histogram,15,1,15,,,
global_tenfold_conflict,size_histogram,16,1,16,,,
global_tenfold_conflict,size_histogram,19,1,19,,,
global_tenfold_conflict,size_histogram,24,1,24,,,
global_tenfold_conflict,size_histogram,25,1,25,,,
global_tenfold_conflict,size_histogram,29,1,29,,,
global_tenfold_conflict,size_histogram,35,1,35,,,
global_tenfold_conflict,size_histogram,59,1,59,,,
global_tenfold_conflict,size_histogram,69,1,69,,,
