layer,evidence_domain,endpoint,document_decade,evidence_stage,development_stage,rows
derived,binding,standard_binding_free_energy,1970s,<missing>,unknown,118
derived,binding,standard_binding_free_energy,1980s,<missing>,unknown,958
derived,binding,standard_binding_free_energy,1980s,preclinical_in_vivo,unknown,25
derived,binding,standard_binding_free_energy,1990s,<missing>,unknown,2864
derived,binding,standard_binding_free_energy,1990s,preclinical_in_vitro,unknown,25
derived,binding,standard_binding_free_energy,1990s,preclinical_in_vivo,unknown,19
derived,binding,standard_binding_free_energy,2000s,<missing>,unknown,9340
derived,binding,standard_binding_free_energy,2000s,preclinical_in_vitro,unknown,395
derived,binding,standard_binding_free_energy,2000s,preclinical_in_vivo,unknown,1
derived,binding,standard_binding_free_energy,2010s,<missing>,unknown,29241
derived,binding,standard_binding_free_energy,2010s,preclinical_in_vitro,unknown,5574
derived,binding,standard_binding_free_energy,2020s,<missing>,unknown,14405
derived,binding,standard_binding_free_energy,2020s,preclinical_in_vitro,unknown,3601
derived,binding,standard_binding_free_energy,2020s,preclinical_in_vivo,unknown,818
derived,binding,standard_binding_free_energy,<missing_or_invalid>,<missing>,unknown,275
derived,binding,standard_binding_free_energy,<missing_or_invalid>,preclinical_in_vitro,unknown,144
derived,herg,standard_binding_free_energy,2010s,<missing>,unknown,44
derived,herg,standard_binding_free_energy,2020s,<missing>,unknown,1
source,binding,Activity,2010s,preclinical_in_vitro,unknown,2
source,binding,EC50,1980s,<missing>,unknown,62
source,binding,EC50,1990s,<missing>,unknown,1694
source,binding,EC50,1990s,preclinical_in_vitro,unknown,27
source,binding,EC50,1990s,preclinical_in_vivo,unknown,6
source,binding,EC50,2000s,<missing>,unknown,8790
source,binding,EC50,2000s,preclinical_in_vitro,unknown,985
source,binding,EC50,2010s,<missing>,unknown,57533
source,binding,EC50,2010s,preclinical_in_vitro,unknown,11183
source,binding,EC50,2020s,<missing>,unknown,32608
source,binding,EC50,2020s,preclinical_in_vitro,unknown,11260
source,binding,EC50,<missing_or_invalid>,<missing>,unknown,6362
source,binding,EC50,<missing_or_invalid>,preclinical_in_vitro,unknown,231
source,binding,IC50,1970s,<missing>,unknown,436
source,binding,IC50,1980s,<missing>,unknown,8530
source,binding,IC50,1980s,preclinical_in_vitro,unknown,84
source,binding,IC50,1980s,preclinical_in_vivo,unknown,7
source,binding,IC50,1990s,<missing>,unknown,66449
source,binding,IC50,1990s,preclinical_ex_vivo,unknown,4
source,binding,IC50,1990s,preclinical_in_vitro,unknown,4571
source,binding,IC50,1990s,preclinical_in_vivo,unknown,184
source,binding,IC50,2000s,<missing>,unknown,182367
source,binding,IC50,2000s,preclinical_ex_vivo,unknown,99
source,binding,IC50,2000s,preclinical_in_vitro,unknown,31051
source,binding,IC50,2000s,preclinical_in_vivo,unknown,88
source,binding,IC50,2010s,<missing>,unknown,636605
source,binding,IC50,2010s,preclinical_ex_vivo,unknown,276
source,binding,IC50,2010s,preclinical_in_vitro,unknown,223923
source,binding,IC50,2010s,preclinical_in_vivo,unknown,1102
source,binding,IC50,2020s,<missing>,unknown,367222
source,binding,IC50,2020s,preclinical_in_vitro,unknown,109999
source,binding,IC50,2020s,preclinical_in_vivo,unknown,415
source,binding,IC50,<missing_or_invalid>,<missing>,unknown,19399
source,binding,IC50,<missing_or_invalid>,preclinical_in_vitro,unknown,588
source,binding,Inhibition,2010s,<missing>,unknown,3
source,binding,Inhibition,2010s,preclinical_in_vitro,unknown,2
source,binding,Kd,1970s,<missing>,unknown,128
source,binding,Kd,1980s,<missing>,unknown,1026
source,binding,Kd,1980s,preclinical_in_vivo,unknown,25
source,binding,Kd,1990s,<missing>,unknown,3300
source,binding,Kd,1990s,preclinical_in_vitro,unknown,28
source,binding,Kd,1990s,preclinical_in_vivo,unknown,30
source,binding,Kd,2000s,<missing>,unknown,21660
source,binding,Kd,2000s,preclinical_in_vitro,unknown,452
source,binding,Kd,2000s,preclinical_in_vivo,unknown,1
source,binding,Kd,2010s,<missing>,unknown,124555
source,binding,Kd,2010s,preclinical_in_vitro,unknown,6441
source,binding,Kd,2020s,<missing>,unknown,23880
source,binding,Kd,2020s,preclinical_in_vitro,unknown,4467
source,binding,Kd,2020s,preclinical_in_vivo,unknown,874
source,binding,Kd,<missing_or_invalid>,<missing>,unknown,276
source,binding,Kd,<missing_or_invalid>,preclinical_in_vitro,unknown,147
source,binding,Ki,1970s,<missing>,unknown,612
source,binding,Ki,1980s,<missing>,unknown,5393
source,binding,Ki,1980s,preclinical_in_vitro,unknown,33
source,binding,Ki,1980s,preclinical_in_vivo,unknown,7
source,binding,Ki,1990s,<missing>,unknown,45305
source,binding,Ki,1990s,preclinical_ex_vivo,unknown,2
source,binding,Ki,1990s,preclinical_in_vitro,unknown,2441
source,binding,Ki,1990s,preclinical_in_vivo,unknown,150
source,binding,Ki,2000s,<missing>,unknown,137104
source,binding,Ki,2000s,preclinical_ex_vivo,unknown,33
source,binding,Ki,2000s,preclinical_in_vitro,unknown,19228
source,binding,Ki,2000s,preclinical_in_vivo,unknown,50
source,binding,Ki,2010s,<missing>,unknown,189059
source,binding,Ki,2010s,preclinical_in_vitro,unknown,61044
source,binding,Ki,2010s,preclinical_in_vivo,unknown,64
source,binding,Ki,2020s,<missing>,unknown,74501
source,binding,Ki,2020s,preclinical_in_vitro,unknown,21038
source,binding,Ki,2020s,preclinical_in_vivo,unknown,54
source,binding,Ki,<missing_or_invalid>,<missing>,unknown,110756
source,binding,k_off,2010s,<missing>,unknown,7
source,binding,kon,2010s,<missing>,unknown,7
source,herg,% Ctrl,2020s,<missing>,unknown,29
source,herg,% of control,2020s,<missing>,unknown,2
source,herg,% of inhibition,2020s,<missing>,unknown,2
source,herg,% of inhibition or stimulation,2020s,<missing>,unknown,1
source,herg,%max,2010s,preclinical_in_vitro,unknown,2
source,herg,AC50,2020s,<missing>,unknown,1823
source,herg,Activity,2000s,<missing>,unknown,292
source,herg,Activity,2000s,preclinical_in_vitro,unknown,16
